Year,District,Rural/Urban,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2015,Akola,Rural,Others,0,5,0,2,0
2015,Akola,Rural,Private Unaided (Recognized),79,23,1,8,22
2015,Akola,Urban,Government Aided,23,39,34,41,11
2015,Akola,Urban,Local Body,57,37,3,6,0
2015,Akola,Urban,Others,1,1,0,0,0
2015,Akola,Urban,Private Unaided (Recognized),67,37,5,20,26
2016,Akola,Rural,Government Aided,11,30,81,73,65
2016,Akola,Rural,Central Govt,0,0,0,0,0
2016,Akola,Rural,Local Body,571,327,3,1,0
2016,Akola,Rural,Others,2,4,1,2,0
2016,Akola,Rural,Private Unaided (Recognized),87,28,1,8,24
2016,Akola,Urban,Government Aided,24,40,35,40,11
2016,Akola,Urban,Local Body,56,38,3,6,0
2016,Akola,Urban,Others,4,1,0,0,0
2016,Akola,Urban,Private Unaided (Recognized),68,39,4,22,26
2017,Akola,Rural,Government Aided,12,29,85,65,73
2017,Akola,Rural,Local Body,560,338,4,0,0
2017,Akola,Rural,Others,4,1,1,2,4
2017,Akola,Rural,Private Unaided (Recognized),94,30,8,13,12
2017,Akola,Urban,Government Aided,19,45,40,38,20
2017,Akola,Urban,Local Body,41,53,2,5,1
2017,Akola,Urban,Others,10,3,0,0,0
2017,Akola,Urban,Private Unaided (Recognized),45,49,8,25,19
2018,Akola,Rural,Government Aided,11,29,82,65,78
2018,Akola,Rural,Local Body,548,338,2,1,1
2018,Akola,Rural,Others,1,0,0,2,4
2018,Akola,Rural,Private Unaided (Recognized),90,30,9,15,14
2018,Akola,Urban,Government Aided,19,47,39,40,18
2018,Akola,Urban,Local Body,40,52,3,6,0
2018,Akola,Urban,Others,7,3,0,0,0
2018,Akola,Urban,Private Unaided (Recognized),54,47,10,25,18
2019,Akola,Rural,Government Aided,12,29,82,65,79
2019,Akola,Rural,Local Body,545,340,2,1,1
2019,Akola,Rural,Others,1,0,0,2,4
2019,Akola,Rural,Private Unaided (Recognized),88,32,9,16,13
2019,Akola,Urban,Government Aided,20,47,39,40,17
2019,Akola,Urban,Local Body,39,52,3,6,0
2019,Akola,Urban,Others,7,3,0,0,0
2019,Akola,Urban,Private Unaided (Recognized),53,49,11,27,17
2020,Akola,Rural,Government Aided,11,28,81,66,80
2020,Akola,Rural,Local Body,542,344,2,1,1
2020,Akola,Rural,Others,1,0,0,2,4
2020,Akola,Rural,Private Unaided (Recognized),89,30,10,15,12
2020,Akola,Urban,Government Aided,21,48,39,41,19
2020,Akola,Urban,Local Body,37,53,3,6,0
2020,Akola,Urban,Others,7,3,0,0,0
2020,Akola,Urban,Private Unaided (Recognized),51,48,16,24,14
2021,Akola,Rural,Government Aided,8,27,81,63,79
2021,Akola,Rural,Local Body,533,346,2,1,1
2021,Akola,Rural,Others,0,1,1,1,4
2021,Akola,Rural,Private Unaided (Recognized),83,20,9,13,12
2021,Akola,Urban,Government Aided,24,49,39,45,20
2021,Akola,Urban,Local Body,44,53,3,6,0
2021,Akola,Urban,Others,7,1,0,0,0
2021,Akola,Urban,Private Unaided (Recognized),51,57,21,22,14
2012,Amravati,Rural,Government Aided,23,8,109,128,89
2012,Amravati,Rural,Local Body,935,641,7,6,4
2012,Amravati,Rural,Others,24,31,10,18,7
2012,Amravati,Rural,Private Unaided (Recognized),29,6,3,20,38
2012,Amravati,Urban,Government Aided,55,42,59,54,10
2012,Amravati,Urban,Local Body,64,26,7,7,1
2012,Amravati,Urban,Others,59,53,1,9,1
2012,Amravati,Urban,Private Unaided (Recognized),76,23,4,22,10
2013,Amravati,Rural,Government Aided,32,30,108,136,1
2013,Amravati,Rural,Local Body,936,640,6,6,0
2013,Amravati,Rural,Others,7,9,9,8,140
2013,Amravati,Rural,Private Unaided (Recognized),51,6,5,22,0
2013,Amravati,Urban,Government Aided,66,47,59,57,0
2013,Amravati,Urban,Central Govt,0,0,0,0,0
2013,Amravati,Urban,Local Body,94,58,8,11,0
2013,Amravati,Urban,Others,7,4,0,1,22
2013,Amravati,Urban,Private Unaided (Recognized),87,23,5,23,0
2014,Amravati,Rural,Government Aided,31,33,107,140,97
2014,Amravati,Rural,Local Body,939,639,6,6,4
2014,Amravati,Rural,Others,2,7,8,8,0
2014,Amravati,Rural,Private Unaided (Recognized),69,8,7,19,40
2014,Amravati,Urban,Government Aided,61,48,61,57,10
2014,Amravati,Urban,Central Govt,0,0,0,0,0
2014,Amravati,Urban,Local Body,92,58,8,11,3
2014,Amravati,Urban,Others,7,4,0,1,0
2014,Amravati,Urban,Private Unaided (Recognized),103,23,4,22,12
2015,Amravati,Rural,Government Aided,32,32,110,140,100
2015,Amravati,Rural,Local Body,935,639,6,6,4
2015,Amravati,Rural,Others,2,7,8,8,1
2015,Amravati,Rural,Private Unaided (Recognized),74,11,4,22,37
2015,Amravati,Urban,Government Aided,61,50,61,57,10
2015,Amravati,Urban,Central Govt,3,0,0,0,0
2015,Amravati,Urban,Local Body,92,59,8,11,3
2015,Amravati,Urban,Others,3,2,0,1,0
2015,Amravati,Urban,Private Unaided (Recognized),108,22,4,22,11
2016,Amravati,Rural,Government Aided,32,31,109,140,97
2016,Amravati,Rural,Local Body,932,639,6,6,4
2016,Amravati,Rural,Others,3,6,8,8,1
2016,Amravati,Rural,Private Unaided (Recognized),82,14,5,22,39
2016,Amravati,Urban,Government Aided,60,48,62,57,9
2016,Amravati,Urban,Central Govt,0,0,0,0,0
2016,Amravati,Urban,Local Body,93,60,8,11,3
2016,Amravati,Urban,Others,6,2,0,1,0
2016,Amravati,Urban,Private Unaided (Recognized),115,28,4,23,13
2017,Amravati,Rural,Government Aided,31,32,108,142,113
2017,Amravati,Rural,Local Body,920,651,4,6,4
2017,Amravati,Rural,Others,2,4,8,10,4
2017,Amravati,Rural,Private Unaided (Recognized),81,27,9,21,21
2017,Amravati,Urban,Government Aided,59,47,60,61,11
2017,Amravati,Urban,Local Body,87,62,6,9,5
2017,Amravati,Urban,Others,0,5,2,1,1
2017,Amravati,Urban,Private Unaided (Recognized),81,53,7,31,11
2018,Amravati,Rural,Government Aided,32,32,109,139,122
2018,Amravati,Rural,Local Body,906,653,4,6,4
2018,Amravati,Rural,Others,2,2,8,9,6
2018,Amravati,Rural,Private Unaided (Recognized),77,29,13,27,13
2018,Amravati,Urban,Government Aided,59,47,61,60,12
2018,Amravati,Urban,Local Body,86,62,6,11,4
2018,Amravati,Urban,Others,0,4,2,0,1
2018,Amravati,Urban,Private Unaided (Recognized),76,49,11,40,8
2019,Amravati,Rural,Government Aided,31,31,109,139,122
2019,Amravati,Rural,Local Body,900,656,4,7,4
2019,Amravati,Rural,Others,2,3,9,8,6
2019,Amravati,Rural,Private Unaided (Recognized),76,34,16,30,11
2019,Amravati,Urban,Government Aided,58,48,61,61,13
2019,Amravati,Urban,Local Body,84,62,6,11,4
2019,Amravati,Urban,Others,0,2,1,0,1
2019,Amravati,Urban,Private Unaided (Recognized),75,43,12,47,8
2020,Amravati,Rural,Government Aided,30,30,109,139,123
2020,Amravati,Rural,Local Body,898,658,4,7,4
2020,Amravati,Rural,Others,1,2,9,9,6
2020,Amravati,Rural,Private Unaided (Recognized),77,33,16,32,10
2020,Amravati,Urban,Government Aided,58,47,61,61,14
2020,Amravati,Urban,Local Body,85,61,6,11,4
2020,Amravati,Urban,Others,0,2,1,1,1
2020,Amravati,Urban,Private Unaided (Recognized),70,46,13,50,7
2021,Amravati,Rural,Government Aided,28,26,103,136,118
2021,Amravati,Rural,Local Body,891,651,4,7,4
2021,Amravati,Rural,Others,1,2,8,9,6
2021,Amravati,Rural,Private Unaided (Recognized),65,26,14,30,10
2021,Amravati,Urban,Government Aided,59,49,65,65,20
2021,Amravati,Urban,Local Body,90,66,6,11,4
2021,Amravati,Urban,Others,0,1,0,1,2
2021,Amravati,Urban,Private Unaided (Recognized),72,45,14,59,7
2012,Beed,Rural,Government Aided,18,17,122,159,40
2012,Beed,Rural,Local Body,1680,494,0,42,5
2012,Beed,Rural,Others,28,38,4,11,5
2012,Beed,Rural,Private Unaided (Recognized),55,17,12,52,31
2012,Beed,Urban,Government Aided,32,69,18,39,10
2012,Beed,Urban,Local Body,33,29,1,9,1
2012,Beed,Urban,Others,12,7,2,4,1
2012,Beed,Urban,Private Unaided (Recognized),52,18,2,14,17
2013,Beed,Rural,Government Aided,28,44,131,162,1
2013,Beed,Rural,Central Govt,0,0,0,0,0
2013,Beed,Rural,Local Body,1697,514,0,43,0
2013,Beed,Rural,Others,3,3,0,3,81
2013,Beed,Rural,Private Unaided (Recognized),74,25,7,58,0
2013,Beed,Urban,Government Aided,40,81,20,44,0
2013,Beed,Urban,Central Govt,1,0,0,0,0
2013,Beed,Urban,Local Body,38,32,1,11,0
2013,Beed,Urban,Others,0,0,0,1,28
2013,Beed,Urban,Private Unaided (Recognized),53,15,2,16,0
2014,Beed,Rural,Government Aided,28,41,127,159,44
2014,Beed,Rural,Central Govt,0,0,0,0,0
2014,Beed,Rural,Local Body,1915,514,0,42,6
2014,Beed,Rural,Others,4,4,0,2,0
2014,Beed,Rural,Private Unaided (Recognized),89,21,9,57,35
2014,Beed,Urban,Government Aided,49,93,24,50,13
2014,Beed,Urban,Central Govt,1,0,0,0,0
2014,Beed,Urban,Local Body,50,38,1,15,2
2014,Beed,Urban,Others,1,0,0,0,1
2014,Beed,Urban,Private Unaided (Recognized),62,18,2,14,19
2015,Beed,Rural,Government Aided,25,45,128,170,48
2015,Beed,Rural,Central Govt,4,0,0,0,0
2015,Beed,Rural,Local Body,1907,515,0,42,6
2015,Beed,Rural,Others,0,4,0,2,0
2015,Beed,Rural,Private Unaided (Recognized),102,27,9,46,31
2015,Beed,Urban,Government Aided,52,95,24,52,10
2015,Beed,Urban,Central Govt,0,1,0,0,0
2015,Beed,Urban,Local Body,49,38,1,15,0
2015,Beed,Urban,Others,0,0,0,0,1
2015,Beed,Urban,Private Unaided (Recognized),62,21,3,14,22
2016,Beed,Rural,Government Aided,26,46,130,171,50
2016,Beed,Rural,Central Govt,0,0,0,0,0
2016,Beed,Rural,Local Body,1899,513,0,42,6
2016,Beed,Rural,Others,2,4,0,2,0
2016,Beed,Rural,Private Unaided (Recognized),104,32,9,46,28
2016,Beed,Urban,Government Aided,52,95,25,52,19
2016,Beed,Urban,Local Body,48,38,1,15,3
2016,Beed,Urban,Others,1,1,0,0,1
2016,Beed,Urban,Private Unaided (Recognized),67,25,2,13,12
2017,Beed,Rural,Government Aided,19,54,136,197,46
2017,Beed,Rural,Local Body,1851,534,0,41,6
2017,Beed,Rural,Others,2,2,0,2,2
2017,Beed,Rural,Private Unaided (Recognized),101,52,21,43,10
2017,Beed,Urban,Government Aided,42,108,27,53,17
2017,Beed,Urban,Local Body,46,37,1,15,3
2017,Beed,Urban,Others,1,2,0,1,1
2017,Beed,Urban,Private Unaided (Recognized),38,48,0,16,10
2018,Beed,Rural,Government Aided,20,53,136,197,47
2018,Beed,Rural,Local Body,1841,532,0,41,5
2018,Beed,Rural,Others,4,2,1,3,2
2018,Beed,Rural,Private Unaided (Recognized),92,54,26,46,9
2018,Beed,Urban,Government Aided,43,107,27,54,17
2018,Beed,Urban,Local Body,46,37,1,15,3
2018,Beed,Urban,Others,8,3,2,1,1
2018,Beed,Urban,Private Unaided (Recognized),35,50,2,19,10
2019,Beed,Rural,Government Aided,21,53,138,196,47
2019,Beed,Rural,Local Body,1808,531,0,41,5
2019,Beed,Rural,Others,2,1,0,3,2
2019,Beed,Rural,Private Unaided (Recognized),90,56,37,50,8
2019,Beed,Urban,Government Aided,43,108,27,56,18
2019,Beed,Urban,Local Body,46,37,1,15,3
2019,Beed,Urban,Others,3,3,1,0,1
2019,Beed,Urban,Private Unaided (Recognized),36,49,7,16,9
2020,Beed,Rural,Government Aided,21,58,137,195,47
2020,Beed,Rural,Local Body,1799,532,0,39,5
2020,Beed,Rural,Others,1,1,0,3,2
2020,Beed,Rural,Private Unaided (Recognized),84,55,43,50,10
2020,Beed,Urban,Government Aided,43,108,28,57,18
2020,Beed,Urban,Local Body,49,37,1,17,3
2020,Beed,Urban,Others,1,3,0,0,1
2020,Beed,Urban,Private Unaided (Recognized),38,46,9,18,8
2021,Beed,Rural,Government Aided,19,58,134,195,45
2021,Beed,Rural,Local Body,1777,524,0,39,5
2021,Beed,Rural,Others,1,1,0,3,0
2021,Beed,Rural,Private Unaided (Recognized),83,52,36,46,11
2021,Beed,Urban,Government Aided,44,109,31,63,18
2021,Beed,Urban,Local Body,71,45,1,17,3
2021,Beed,Urban,Others,1,3,0,0,3
2021,Beed,Urban,Private Unaided (Recognized),38,55,18,20,7
2012,Bhandara,Rural,Government Aided,50,15,53,82,32
2012,Bhandara,Rural,Local Body,515,252,18,10,1
2012,Bhandara,Rural,Others,21,17,4,9,4
2012,Bhandara,Rural,Private Unaided (Recognized),23,17,4,7,11
2012,Bhandara,Urban,Government Aided,19,14,8,11,3
2012,Bhandara,Urban,Local Body,22,6,7,1,0
2012,Bhandara,Urban,Others,8,3,0,1,0
2012,Bhandara,Urban,Private Unaided (Recognized),13,9,4,7,1
2013,Bhandara,Rural,Government Aided,50,25,55,85,1
2013,Bhandara,Rural,Central Govt,0,0,1,1,0
2013,Bhandara,Rural,Local Body,515,252,18,10,0
2013,Bhandara,Rural,Others,11,2,0,1,48
2013,Bhandara,Rural,Private Unaided (Recognized),31,24,5,11,0
2013,Bhandara,Urban,Government Aided,21,16,8,11,0
2013,Bhandara,Urban,Local Body,21,6,7,1,0
2013,Bhandara,Urban,Others,6,1,0,1,4
2013,Bhandara,Urban,Private Unaided (Recognized),12,8,4,6,0
2014,Bhandara,Rural,Government Aided,49,26,56,86,35
2014,Bhandara,Rural,Central Govt,0,0,1,1,0
2014,Bhandara,Rural,Local Body,513,252,18,10,1
2014,Bhandara,Rural,Others,7,1,0,1,0
2014,Bhandara,Rural,Private Unaided (Recognized),44,22,4,12,13
2014,Bhandara,Urban,Government Aided,21,16,8,10,3
2014,Bhandara,Urban,Local Body,21,5,7,1,0
2014,Bhandara,Urban,Others,6,1,0,1,0
2014,Bhandara,Urban,Private Unaided (Recognized),11,8,4,6,1
2015,Bhandara,Rural,Government Aided,51,26,56,86,37
2015,Bhandara,Rural,Central Govt,2,1,1,1,0
2015,Bhandara,Rural,Local Body,512,252,18,10,1
2015,Bhandara,Rural,Others,4,2,0,1,0
2015,Bhandara,Rural,Private Unaided (Recognized),39,26,4,12,10
2015,Bhandara,Urban,Government Aided,20,16,8,10,3
2015,Bhandara,Urban,Central Govt,1,0,0,0,0
2015,Bhandara,Urban,Local Body,17,5,7,1,0
2015,Bhandara,Urban,Others,4,0,0,1,0
2015,Bhandara,Urban,Private Unaided (Recognized),11,9,4,6,1
2016,Bhandara,Rural,Government Aided,50,26,56,87,37
2016,Bhandara,Rural,Central Govt,0,0,1,1,0
2016,Bhandara,Rural,Local Body,513,252,18,9,1
2016,Bhandara,Rural,Others,5,3,0,1,0
2016,Bhandara,Rural,Private Unaided (Recognized),38,23,4,12,10
2016,Bhandara,Urban,Government Aided,20,17,8,10,3
2016,Bhandara,Urban,Local Body,15,5,7,2,0
2016,Bhandara,Urban,Others,2,0,0,0,0
2016,Bhandara,Urban,Private Unaided (Recognized),13,9,4,7,1
2017,Bhandara,Rural,Government Aided,45,22,56,80,35
2017,Bhandara,Rural,Local Body,512,245,17,8,1
2017,Bhandara,Rural,Others,1,1,1,2,1
2017,Bhandara,Rural,Private Unaided (Recognized),30,24,5,15,9
2017,Bhandara,Urban,Government Aided,24,19,11,12,3
2017,Bhandara,Urban,Local Body,16,8,8,2,0
2017,Bhandara,Urban,Others,5,2,0,1,0
2017,Bhandara,Urban,Private Unaided (Recognized),8,16,7,8,1
2018,Bhandara,Rural,Government Aided,44,23,57,82,34
2018,Bhandara,Rural,Local Body,512,244,17,8,1
2018,Bhandara,Rural,Others,0,2,1,2,1
2018,Bhandara,Rural,Private Unaided (Recognized),29,27,9,18,8
2018,Bhandara,Urban,Government Aided,24,19,10,11,3
2018,Bhandara,Urban,Local Body,16,8,8,2,0
2018,Bhandara,Urban,Others,4,1,0,0,0
2018,Bhandara,Urban,Private Unaided (Recognized),7,17,8,8,1
2019,Bhandara,Rural,Government Aided,44,27,55,82,34
2019,Bhandara,Rural,Local Body,511,244,17,8,1
2019,Bhandara,Rural,Others,0,1,1,2,1
2019,Bhandara,Rural,Private Unaided (Recognized),22,30,10,19,8
2019,Bhandara,Urban,Government Aided,24,19,12,12,3
2019,Bhandara,Urban,Local Body,16,8,8,2,0
2019,Bhandara,Urban,Others,2,1,0,0,0
2019,Bhandara,Urban,Private Unaided (Recognized),6,19,9,9,1
2020,Bhandara,Rural,Government Aided,44,27,55,82,34
2020,Bhandara,Rural,Local Body,509,245,17,8,1
2020,Bhandara,Rural,Others,1,1,1,2,1
2020,Bhandara,Rural,Private Unaided (Recognized),20,27,16,20,8
2020,Bhandara,Urban,Government Aided,24,19,12,12,3
2020,Bhandara,Urban,Local Body,16,8,8,2,0
2020,Bhandara,Urban,Others,2,0,0,0,0
2020,Bhandara,Urban,Private Unaided (Recognized),6,16,9,11,1
2021,Bhandara,Rural,Government Aided,41,27,53,82,34
2021,Bhandara,Rural,Local Body,506,245,16,8,1
2021,Bhandara,Rural,Others,0,1,1,2,1
2021,Bhandara,Rural,Private Unaided (Recognized),15,26,16,22,8
2021,Bhandara,Urban,Government Aided,26,18,14,12,3
2021,Bhandara,Urban,Local Body,20,7,9,2,0
2021,Bhandara,Urban,Others,1,0,0,0,0
2021,Bhandara,Urban,Private Unaided (Recognized),7,19,9,7,1
2012,Buldhana,Rural,Government Aided,6,8,95,115,35
2012,Buldhana,Rural,Local Body,836,571,6,16,5
2012,Buldhana,Rural,Others,27,26,2,8,8
2012,Buldhana,Rural,Private Unaided (Recognized),45,21,9,30,37
2012,Buldhana,Urban,Government Aided,22,24,39,19,1
2012,Buldhana,Urban,Local Body,87,20,7,9,1
2012,Buldhana,Urban,Others,20,8,0,1,1
2012,Buldhana,Urban,Private Unaided (Recognized),25,26,4,8,10
2013,Buldhana,Rural,Government Aided,13,29,94,113,1
2013,Buldhana,Rural,Central Govt,0,0,0,0,0
2013,Buldhana,Rural,Local Body,840,571,6,16,0
2013,Buldhana,Rural,Others,7,6,1,4,81
2013,Buldhana,Rural,Private Unaided (Recognized),87,21,12,34,3
2013,Buldhana,Urban,Government Aided,28,28,38,20,0
2013,Buldhana,Urban,Local Body,87,19,7,9,0
2013,Buldhana,Urban,Others,6,3,0,0,13
2013,Buldhana,Urban,Private Unaided (Recognized),42,25,4,7,0
2014,Buldhana,Rural,Government Aided,15,31,100,120,45
2014,Buldhana,Rural,Central Govt,0,0,0,0,0
2014,Buldhana,Rural,Local Body,841,571,6,16,5
2014,Buldhana,Rural,Others,3,4,0,3,0
2014,Buldhana,Rural,Private Unaided (Recognized),98,21,6,26,33
2014,Buldhana,Urban,Government Aided,31,33,38,20,2
2014,Buldhana,Urban,Local Body,88,19,7,9,1
2014,Buldhana,Urban,Others,3,2,0,0,0
