Year,District,Select Schooling Level,Social Category,Overall,Boys,Girls
2013,Hingoli,Primary (I-V),Overall,2.76,2.83,2.69
2013,Hingoli,Primary (I-V),General,2.83,3.16,2.45
2013,Hingoli,Primary (I-V),OBC,1.67,1.22,2.13
2013,Hingoli,Primary (I-V),SC,2.03,2.35,1.7
2013,Hingoli,Primary (I-V),ST,6.58,6.7,6.47
2013,Hingoli,Upper Primary (VI-VIII),Overall,5.47,4.19,6.84
2013,Hingoli,Upper Primary (VI-VIII),General,3.94,2.98,4.93
2013,Hingoli,Upper Primary (VI-VIII),OBC,7.51,5.77,9.44
2013,Hingoli,Upper Primary (VI-VIII),SC,2.24,1.8,2.71
2013,Hingoli,Upper Primary (VI-VIII),ST,11.21,8.25,14.48
2013,Hingoli,Secondary (IX-X),Overall,19.36,17.04,22.29
2013,Hingoli,Secondary (IX-X),General,18.22,16.76,19.99
2013,Hingoli,Secondary (IX-X),OBC,22.82,21.2,24.93
2013,Hingoli,Secondary (IX-X),SC,15.76,11.12,21.24
2013,Hingoli,Secondary (IX-X),ST,20.59,16.87,26.52
2013,Jalgaon,Primary (I-V),Overall,2.68,2.26,3.2
2013,Jalgaon,Primary (I-V),General,1.5,0.63,2.5
2013,Jalgaon,Primary (I-V),OBC,1.94,1.37,2.66
2013,Jalgaon,Primary (I-V),SC,3.2,3.36,3.04
2013,Jalgaon,Primary (I-V),ST,4.96,4.97,4.94
2013,Jalgaon,Upper Primary (VI-VIII),Overall,2.95,1.68,4.51
2013,Jalgaon,Upper Primary (VI-VIII),General,3.29,2.56,4.14
2013,Jalgaon,Upper Primary (VI-VIII),OBC,1.02,0.0,3.05
2013,Jalgaon,Upper Primary (VI-VIII),SC,2.81,2.4,3.27
2013,Jalgaon,Upper Primary (VI-VIII),ST,8.88,7.46,10.72
2013,Jalgaon,Secondary (IX-X),Overall,21.65,21.57,21.73
2013,Jalgaon,Secondary (IX-X),General,26.33,26.33,26.35
2013,Jalgaon,Secondary (IX-X),OBC,17.57,17.78,17.31
2013,Jalgaon,Secondary (IX-X),SC,23.55,23.53,23.57
2013,Jalgaon,Secondary (IX-X),ST,30.71,29.19,33.01
2013,Jalna,Primary (I-V),Overall,3.08,3.65,2.46
2013,Jalna,Primary (I-V),General,5.96,7.0,4.8
2013,Jalna,Primary (I-V),OBC,0.0,0.0,0.0
2013,Jalna,Primary (I-V),SC,3.78,4.03,3.51
2013,Jalna,Primary (I-V),ST,11.26,11.69,10.77
2013,Jalna,Upper Primary (VI-VIII),Overall,5.09,3.69,6.68
2013,Jalna,Upper Primary (VI-VIII),General,9.31,8.55,10.15
2013,Jalna,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Jalna,Upper Primary (VI-VIII),SC,6.39,3.9,9.27
2013,Jalna,Upper Primary (VI-VIII),ST,17.52,12.27,24.04
2013,Jalna,Secondary (IX-X),Overall,14.96,12.73,17.88
2013,Jalna,Secondary (IX-X),General,16.62,13.3,20.77
2013,Jalna,Secondary (IX-X),OBC,10.32,9.14,11.88
2013,Jalna,Secondary (IX-X),SC,16.52,15.15,18.46
2013,Jalna,Secondary (IX-X),ST,34.69,32.16,38.54
2013,Kolhapur,Primary (I-V),Overall,0.2,0.15,0.25
2013,Kolhapur,Primary (I-V),General,0.32,0.14,0.51
2013,Kolhapur,Primary (I-V),OBC,0.0,0.0,0.0
2013,Kolhapur,Primary (I-V),SC,0.72,1.2,0.16
2013,Kolhapur,Primary (I-V),ST,6.87,6.62,7.19
2013,Kolhapur,Upper Primary (VI-VIII),Overall,0.0,0.0,0.0
2013,Kolhapur,Upper Primary (VI-VIII),General,0.0,0.0,0.0
2013,Kolhapur,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Kolhapur,Upper Primary (VI-VIII),SC,0.8,0.79,0.8
2013,Kolhapur,Upper Primary (VI-VIII),ST,12.08,13.95,9.67
2013,Kolhapur,Secondary (IX-X),Overall,16.17,17.66,14.25
2013,Kolhapur,Secondary (IX-X),General,12.84,14.42,10.77
2013,Kolhapur,Secondary (IX-X),OBC,21.26,22.86,19.16
2013,Kolhapur,Secondary (IX-X),SC,23.71,24.8,22.44
2013,Kolhapur,Secondary (IX-X),ST,26.28,26.49,25.99
2013,Latur,Primary (I-V),Overall,1.26,0.45,2.18
2013,Latur,Primary (I-V),General,2.72,2.19,3.34
2013,Latur,Primary (I-V),OBC,0.0,0.0,0.0
2013,Latur,Primary (I-V),SC,3.63,3.32,3.97
2013,Latur,Primary (I-V),ST,18.87,16.09,22.07
2013,Latur,Upper Primary (VI-VIII),Overall,2.68,1.24,4.41
2013,Latur,Upper Primary (VI-VIII),General,4.73,3.64,6.02
