Year,District,Type of School,Central Govt,Government Aided,Local body,Others,Private Unaided
2021,Mumbai Suburban,Secondary School (VI-X),,,151.0,,
2021,Mumbai Suburban,Secondary School (I-X),,,1568.0,,100.0
2021,Mumbai Suburban,Primary School (I-V),,,,783.0,
2021,Mumbai Suburban,Upper Primary School (I-VIII),,,,465.0,
2021,Mumbai Suburban,Secondary School (I-X),,,,18.0,
2021,Nagpur,Primary School (I-V),,1292.0,2228.0,72.0,1505.0
2021,Nagpur,Upper Primary School (I-VIII),,2386.0,2703.0,188.0,2856.0
2021,Nagpur,Secondary School (VI-X),,546.0,87.0,12.0,456.0
2021,Nagpur,Secondary School (I-X),,2945.0,237.0,53.0,3833.0
2021,Nagpur,Higher Secondary School (I-XII),,5215.0,236.0,279.0,3936.0
2021,Nagpur,Higher Secondary School (XI-XII),,653.0,,10.0,425.0
2021,Nanded,Primary School (I-V),,823.0,3275.0,22.0,685.0
2021,Nanded,Upper Primary School (I-VIII),,2445.0,4735.0,39.0,696.0
2021,Nanded,Secondary School (VI-X),,595.0,89.0,27.0,149.0
2021,Nanded,Secondary School (I-X),,2580.0,866.0,122.0,1014.0
2021,Nanded,Higher Secondary School (I-XII),,3205.0,,177.0,1104.0
2021,Nanded,Higher Secondary School (XI-XII),,440.0,,,385.0
2021,Nandurbar,Primary School (I-V),,260.0,3252.0,5.0,281.0
2021,Nandurbar,Upper Primary School (I-VIII),,631.0,874.0,115.0,256.0
2021,Nandurbar,Secondary School (VI-X),,185.0,48.0,20.0,34.0
2021,Nandurbar,Secondary School (I-X),,1720.0,32.0,481.0,550.0
2021,Nandurbar,Higher Secondary School (I-XII),,1925.0,23.0,227.0,54.0
2021,Nandurbar,Higher Secondary School (XI-XII),,108.0,,,78.0
2021,Nashik,Primary School (I-V),,1166.0,6809.0,49.0,1408.0
2021,Nashik,Upper Primary School (I-VIII),,2436.0,5758.0,52.0,2428.0
2021,Nashik,Secondary School (VI-X),,1348.0,78.0,18.0,482.0
2021,Nashik,Secondary School (I-X),,4418.0,22.0,589.0,2674.0
2021,Nashik,Higher Secondary School (I-XII),,5927.0,22.0,572.0,1383.0
2021,Nashik,Higher Secondary School (XI-XII),,855.0,,,637.0
2021,Palghar,Primary School (I-V),,241.0,3022.0,104.0,677.0
2021,Palghar,Upper Primary School (I-VIII),,712.0,2316.0,419.0,3334.0
2021,Palghar,Secondary School (VI-X),,381.0,54.0,22.0,979.0
2021,Palghar,Secondary School (I-X),,1168.0,346.0,710.0,1836.0
2021,Palghar,Higher Secondary School (I-XII),,1241.0,,589.0,1202.0
2021,Palghar,Higher Secondary School (XI-XII),,120.0,,5.0,575.0
2021,Parbhani,Primary School (I-V),,484.0,1573.0,3.0,383.0
2021,Parbhani,Upper Primary School (I-VIII),,1759.0,3237.0,27.0,708.0
2021,Parbhani,Secondary School (VI-X),,441.0,78.0,19.0,194.0
2021,Parbhani,Secondary School (I-X),,1405.0,278.0,7.0,293.0
2021,Parbhani,Higher Secondary School (I-XII),,1582.0,25.0,,327.0
2021,Parbhani,Higher Secondary School (XI-XII),,267.0,,,595.0
2021,Pune,Primary School (I-V),,1424.0,6542.0,78.0,2136.0
2021,Pune,Upper Primary School (I-VIII),,2105.0,8243.0,121.0,7251.0
2021,Pune,Secondary School (VI-X),,1195.0,268.0,32.0,1299.0
2021,Pune,Secondary School (I-X),,4443.0,276.0,143.0,9650.0
2021,Pune,Higher Secondary School (I-XII),,8459.0,100.0,848.0,8399.0
2021,Pune,Higher Secondary School (XI-XII),,1065.0,,,1499.0
2021,Raigad,Primary School (I-V),,,,25.0,
2021,Raigad,Upper Primary School (I-VIII),,,,29.0,
2021,Raigad,Secondary School (VI-X),,,,9.0,
2021,Raigad,Secondary School (I-X),,,,39.0,
2021,Raigad,Higher Secondary School (I-XII),,,,155.0,
2021,Raigad,Primary School (I-V),,338.0,3500.0,,677.0
2021,Raigad,Upper Primary School (I-VIII),,282.0,2949.0,,1685.0
2021,Raigad,Secondary School (VI-X),,476.0,28.0,,361.0
2021,Raigad,Secondary School (I-X),,1403.0,29.0,,1888.0
2021,Raigad,Higher Secondary School (I-XII),,2708.0,,,2158.0
2021,Raigad,Higher Secondary School (XI-XII),,90.0,,,207.0
2021,Ratnagiri,Primary School (I-V),,141.0,2643.0,6.0,214.0
2021,Ratnagiri,Upper Primary School (I-VIII),,22.0,3794.0,,572.0
2021,Ratnagiri,Secondary School (VI-X),,609.0,,,151.0
2021,Ratnagiri,Secondary School (I-X),,754.0,,8.0,509.0
2021,Ratnagiri,Higher Secondary School (I-XII),,1641.0,10.0,,242.0
2021,Ratnagiri,Higher Secondary School (XI-XII),,167.0,,1.0,172.0
2021,Sangli,Primary School (I-V),,531.0,2692.0,,583.0
2021,Sangli,Upper Primary School (I-VIII),,885.0,3127.0,,798.0
2021,Sangli,Secondary School (VI-X),,575.0,,15.0,255.0
2021,Sangli,Secondary School (I-X),,2532.0,28.0,,630.0
2021,Sangli,Higher Secondary School (I-XII),,3418.0,,,382.0
2021,Sangli,Higher Secondary School (XI-XII),,444.0,,,368.0
2021,Satara,Primary School (I-V),,367.0,3905.0,16.0,354.0
2021,Satara,Upper Primary School (I-VIII),,412.0,3901.0,17.0,699.0
2021,Satara,Secondary School (VI-X),,734.0,,5.0,169.0
2021,Satara,Secondary School (I-X),,2605.0,6.0,24.0,1169.0
2021,Satara,Higher Secondary School (I-XII),,2916.0,12.0,,883.0
2021,Satara,Higher Secondary School (XI-XII),,563.0,,9.0,211.0
2021,Sindhudurg,Primary School (I-V),,56.0,1576.0,12.0,96.0
2021,Sindhudurg,Upper Primary School (I-VIII),,24.0,1930.0,10.0,126.0
2021,Sindhudurg,Secondary School (VI-X),,271.0,,,39.0
2021,Sindhudurg,Secondary School (I-X),,603.0,,,321.0
2021,Sindhudurg,Higher Secondary School (I-XII),,981.0,,,41.0
2021,Sindhudurg,Higher Secondary School (XI-XII),,98.0,,,75.0
2021,Solapur,Primary School (I-V),,1163.0,5234.0,,877.0
2021,Solapur,Upper Primary School (I-VIII),,2102.0,4803.0,5.0,1001.0
2021,Solapur,Secondary School (VI-X),,746.0,21.0,5.0,328.0
2021,Solapur,Secondary School (I-X),,3803.0,49.0,20.0,1494.0
2021,Solapur,Higher Secondary School (I-XII),,5883.0,36.0,35.0,716.0
2021,Solapur,Higher Secondary School (XI-XII),,492.0,,,440.0
2021,Thane,Primary School (I-V),,1089.0,2098.0,291.0,2132.0
2021,Thane,Upper Primary School (I-VIII),,3511.0,4567.0,435.0,9475.0
2021,Thane,Secondary School (VI-X),,1279.0,76.0,12.0,2800.0
2021,Thane,Secondary School (I-X),,2321.0,50.0,181.0,3478.0
2021,Thane,Higher Secondary School (I-XII),,3203.0,,261.0,5351.0
2021,Thane,Higher Secondary School (XI-XII),,497.0,,7.0,1224.0
2021,Wardha,Primary School (I-V),,181.0,1356.0,7.0,293.0
2021,Wardha,Upper Primary School (I-VIII),,202.0,1406.0,4.0,449.0
2021,Wardha,Secondary School (VI-X),,251.0,,14.0,74.0
2021,Wardha,Secondary School (I-X),,846.0,11.0,36.0,871.0
2021,Wardha,Higher Secondary School (I-XII),,1485.0,117.0,22.0,435.0
2021,Wardha,Higher Secondary School (XI-XII),,146.0,,,185.0
2021,Washim,Primary School (I-V),,105.0,1259.0,24.0,328.0
2021,Washim,Upper Primary School (I-VIII),,498.0,1865.0,14.0,314.0
2021,Washim,Secondary School (VI-X),,200.0,,8.0,51.0
2021,Washim,Secondary School (I-X),,673.0,11.0,35.0,452.0
2021,Washim,Higher Secondary School (I-XII),,1940.0,119.0,16.0,200.0
2021,Washim,Higher Secondary School (XI-XII),,117.0,,,117.0
2021,Yavatmal,Primary School (I-V),,287.0,2711.0,6.0,489.0
2021,Yavatmal,Upper Primary School (I-VIII),,964.0,4441.0,,735.0
2021,Yavatmal,Secondary School (VI-X),,626.0,72.0,55.0,99.0
2021,Yavatmal,Secondary School (I-X),,1330.0,151.0,88.0,963.0
2021,Yavatmal,Higher Secondary School (I-XII),,2495.0,86.0,126.0,588.0
2021,Yavatmal,Higher Secondary School (XI-XII),,216.0,,2.0,276.0
2024,Ahilyanagar,Primary School (I-V),,541.0,7600.0,3.0,622.0
2024,Ahilyanagar,Upper Primary School (I-VIII),,816.0,3440.0,9.0,1055.0
2024,Ahilyanagar,Higher Secondary School (I-XII),,5883.0,,187.0,2600.0
2024,Ahilyanagar,Secondary School (I-X),,3661.0,6.0,152.0,1408.0
2024,Ahilyanagar,Secondary School (VI-X),,713.0,,20.0,278.0
2024,Ahilyanagar,Higher Secondary School (XI-XII),,751.0,,18.0,582.0
2024,Akola,Primary School (I-V),,154.0,1318.0,4.0,576.0
2024,Akola,Upper Primary School (I-VIII),,809.0,2254.0,5.0,860.0
2024,Akola,Higher Secondary School (I-XII),,2103.0,51.0,16.0,780.0
2024,Akola,Secondary School (I-X),,933.0,53.0,9.0,869.0
2024,Akola,Secondary School (VI-X),,426.0,9.0,22.0,111.0
2024,Akola,Higher Secondary School (XI-XII),,196.0,,5.0,199.0
2024,Amravati,Primary School (I-V),,425.0,2029.0,,649.0
