Year,District,Select Class,Social Category,Boys,Girls
2012,Beed,Class 2,General,13443,11257
2012,Beed,Class 2,OBC,11092,9364
2012,Beed,Class 2,SC,4339,4035
2012,Beed,Class 2,ST,658,603
2012,Beed,Class 3,Overall,29814,25806
2012,Beed,Class 3,General,13491,11506
2012,Beed,Class 3,OBC,11360,9606
2012,Beed,Class 3,SC,4307,4142
2012,Beed,Class 3,ST,656,552
2012,Beed,Class 4,Overall,30224,27049
2012,Beed,Class 4,General,13410,11907
2012,Beed,Class 4,OBC,11365,10167
2012,Beed,Class 4,SC,4770,4366
2012,Beed,Class 4,ST,679,609
2012,Beed,Class 5,Overall,28623,25532
2012,Beed,Class 5,General,12807,11224
2012,Beed,Class 5,OBC,10810,9740
2012,Beed,Class 5,SC,4424,4067
2012,Beed,Class 5,ST,582,501
2012,Beed,Class 6,Overall,27714,23891
2012,Beed,Class 6,General,12442,10726
2012,Beed,Class 6,OBC,10343,8892
2012,Beed,Class 6,SC,4349,3819
2012,Beed,Class 6,ST,580,454
2012,Beed,Class 7,Overall,26285,23124
2012,Beed,Class 7,General,12127,10593
2012,Beed,Class 7,OBC,9744,8662
2012,Beed,Class 7,SC,3924,3505
2012,Beed,Class 7,ST,490,364
2012,Beed,Class 8,Overall,23862,20839
2012,Beed,Class 8,General,10952,9669
2012,Beed,Class 8,OBC,9025,7801
2012,Beed,Class 8,SC,3470,3047
2012,Beed,Class 8,ST,415,322
2012,Beed,Class 9,Overall,23375,18359
2012,Beed,Class 9,General,10587,8591
2012,Beed,Class 9,OBC,9080,6980
2012,Beed,Class 9,SC,3314,2530
2012,Beed,Class 9,ST,394,258
2012,Beed,Class 10,Overall,22213,16509
2012,Beed,Class 10,General,10370,8203
2012,Beed,Class 10,OBC,8418,5872
2012,Beed,Class 10,SC,3088,2227
2012,Beed,Class 10,ST,337,207
2012,Beed,Class 11,Overall,17077,12367
2012,Beed,Class 11,General,8125,6376
2012,Beed,Class 11,OBC,6432,4287
2012,Beed,Class 11,SC,2271,1548
2012,Beed,Class 11,ST,249,156
2012,Beed,Class 12,Overall,18232,11886
2012,Beed,Class 12,General,8820,6073
2012,Beed,Class 12,OBC,6677,4150
2012,Beed,Class 12,SC,2482,1517
2012,Beed,Class 12,ST,253,146
2012,Bhandara,Pre-Primary,Overall,3165,2685
2012,Bhandara,Pre-Primary,General,340,339
2012,Bhandara,Pre-Primary,OBC,2190,1770
2012,Bhandara,Pre-Primary,SC,526,474
2012,Bhandara,Pre-Primary,ST,109,102
2012,Bhandara,Class 1,Overall,9802,9448
2012,Bhandara,Class 1,General,377,347
2012,Bhandara,Class 1,OBC,7167,6805
2012,Bhandara,Class 1,SC,1474,1517
2012,Bhandara,Class 1,ST,784,779
2012,Bhandara,Class 2,Overall,9532,8889
