Year,District ,Gender Mix,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2017,Gondia,Girls,4,8,3,3,2
2017,Hingoli,Co-Ed,592,427,56,92,40
2017,Hingoli,Boys,5,0,1,1,0
2017,Hingoli,Girls,10,7,1,3,2
2017,Jalgaon,Co-Ed,1616,689,186,463,97
2017,Jalgaon,Boys,63,30,2,4,2
2017,Jalgaon,Girls,58,38,10,20,2
2017,Jalna,Co-Ed,1186,709,98,160,65
2017,Jalna,Boys,8,1,2,0,3
2017,Jalna,Girls,5,6,1,4,8
2017,Kolhapur,Co-Ed,1388,1114,159,331,362
2017,Kolhapur,Boys,30,60,1,8,2
2017,Kolhapur,Girls,40,57,7,13,10
2017,Latur,Co-Ed,1033,878,149,271,177
2017,Latur,Boys,4,3,1,4,4
2017,Latur,Girls,5,13,4,15,4
2017,Mumbai City,Co-Ed,9,30,326,838,163
2017,Mumbai City,Boys,0,1,3,36,2
2017,Mumbai City,Girls,0,2,8,68,7
2017,Mumbai Suburban,Co-Ed,1352,938,25,71,8
2017,Mumbai Suburban,Boys,32,1,0,0,0
2017,Mumbai Suburban,Girls,55,2,0,0,0
2017,Nagpur,Co-Ed,1732,1163,297,434,218
2017,Nagpur,Boys,5,6,1,2,2
2017,Nagpur,Girls,14,6,16,22,2
2017,Nanded,Co-Ed,1839,1076,175,344,153
2017,Nanded,Boys,7,2,1,2,2
2017,Nanded,Girls,13,16,5,15,6
2017,Nandurbar,Co-Ed,1330,280,86,236,38
2017,Nandurbar,Boys,19,0,1,0,1
2017,Nandurbar,Girls,16,0,6,7,7
2017,Nashik,Co-Ed,3085,1169,233,423,354
2017,Nashik,Boys,18,48,1,6,3
2017,Nashik,Girls,22,53,11,19,5
2017,Palghar,Co-Ed,1748,964,85,240,217
2017,Palghar,Boys,3,0,0,2,0
2017,Palghar,Girls,1,5,2,1,8
2017,Parbhani,Co-Ed,783,726,95,168,120
2017,Parbhani,Boys,8,0,1,1,3
2017,Parbhani,Girls,3,9,1,3,8
2017,Pune,Co-Ed,3473,1849,410,654,455
2017,Pune,Boys,24,50,5,11,3
2017,Pune,Girls,31,51,20,27,7
2017,Raigad,Co-Ed,2263,891,133,224,183
2017,Raigad,Boys,4,8,2,1,0
2017,Raigad,Girls,6,9,2,2,3
2017,Ratnagiri,Co-Ed,1768,1071,92,110,181
2017,Ratnagiri,Boys,3,5,2,2,0
2017,Ratnagiri,Girls,4,4,0,2,2
2017,Sangli,Co-Ed,1438,667,146,255,175
2017,Sangli,Boys,21,42,1,3,4
2017,Sangli,Girls,29,42,9,26,8
2017,Satara,Co-Ed,2050,965,166,329,216
2017,Satara,Boys,18,15,0,3,1
2017,Satara,Girls,16,11,7,10,3
2017,Sindhudurg,Co-Ed,984,517,56,92,77
2017,Sindhudurg,Boys,1,3,1,0,0
2017,Sindhudurg,Girls,1,1,0,0,0
2017,Solapur,Co-Ed,2525,1095,284,430,200
2017,Solapur,Boys,19,26,1,2,2
2017,Solapur,Girls,23,25,6,9,0
2017,Thane,Co-Ed,1408,1862,183,277,670
2017,Thane,Boys,3,12,1,4,2
2017,Thane,Girls,7,25,6,9,1
2017,Wardha,Co-Ed,781,375,83,131,69
2017,Wardha,Boys,5,2,1,0,1
2017,Wardha,Girls,6,1,1,4,2
2017,Washim,Co-Ed,627,401,125,100,57
2017,Washim,Boys,5,0,1,0,2
2017,Washim,Girls,7,1,4,6,0
2017,Yavatmal,Co-Ed,1520,1053,160,200,180
2017,Yavatmal,Boys,11,5,1,1,3
2017,Yavatmal,Girls,14,8,9,8,8
2018,Ahilyanagar,Co-Ed,3316,818,280,471,232
2018,Ahilyanagar,Boys,17,5,2,4,2
2018,Ahilyanagar,Girls,19,8,8,13,1
2018,Akola,Co-Ed,743,536,139,143,129
2018,Akola,Boys,12,4,2,2,2
2018,Akola,Girls,15,6,4,9,2
2018,Amravati,Co-Ed,1172,862,202,269,159
2018,Amravati,Boys,27,6,2,3,4
2018,Amravati,Girls,39,10,10,20,7
2018,Beed,Co-Ed,2061,816,189,365,88
2018,Beed,Boys,13,3,1,2,2
2018,Beed,Girls,15,19,5,9,4
2018,Bhandara,Co-Ed,629,339,106,127,47
2018,Bhandara,Boys,3,1,1,0,0
2018,Bhandara,Girls,4,1,3,4,1
2018,Buldhana,Co-Ed,1057,701,180,208,101
2018,Buldhana,Boys,20,4,1,0,3
2018,Buldhana,Girls,27,9,4,8,2
2018,Chandrapur,Co-Ed,1172,727,127,191,140
2018,Chandrapur,Boys,4,0,1,0,1
2018,Chandrapur,Girls,4,1,5,9,1
2018,Chhatrapati Sambhaji Nagar,Co-Ed,1713,1500,282,288,233
2018,Chhatrapati Sambhaji Nagar,Boys,4,2,1,3,2
2018,Chhatrapati Sambhaji Nagar,Girls,6,4,8,11,2
2018,Dharashiv,Co-Ed,742,557,68,180,145
2018,Dharashiv,Boys,14,6,1,2,2
2018,Dharashiv,Girls,11,16,1,8,4
2018,Dhule,Co-Ed,1192,225,138,244,49
2018,Dhule,Boys,30,6,2,4,2
2018,Dhule,Girls,31,9,11,15,2
2018,Gadchiroli,Co-Ed,1181,466,101,123,81
2018,Gadchiroli,Boys,6,5,1,0,1
2018,Gadchiroli,Girls,11,4,3,0,7
2018,Gondia,Co-Ed,708,544,115,90,70
2018,Gondia,Boys,0,8,1,0,1
2018,Gondia,Girls,4,8,3,3,2
2018,Hingoli,Co-Ed,575,433,69,91,41
2018,Hingoli,Boys,4,0,1,1,0
2018,Hingoli,Girls,8,5,1,3,2
2018,Jalgaon,Co-Ed,1596,696,190,469,97
2018,Jalgaon,Boys,61,31,1,4,2
2018,Jalgaon,Girls,58,38,10,20,2
2018,Jalna,Co-Ed,1165,724,122,192,65
2018,Jalna,Boys,7,1,2,0,2
2018,Jalna,Girls,4,5,2,3,8
2018,Kolhapur,Co-Ed,1372,1108,163,336,362
2018,Kolhapur,Boys,28,56,1,7,4
2018,Kolhapur,Girls,38,55,7,13,6
2018,Latur,Co-Ed,1007,886,168,278,172
2018,Latur,Boys,4,3,1,4,4
2018,Latur,Girls,5,13,4,13,5
2018,Mumbai City,Co-Ed,14,26,329,843,173
2018,Mumbai City,Boys,0,1,3,36,2
2018,Mumbai City,Girls,0,2,7,67,7
2018,Mumbai Suburban,Co-Ed,1320,918,0,92,12
2018,Mumbai Suburban,Boys,32,1,0,0,0
2018,Mumbai Suburban,Girls,54,2,0,0,0
2018,Nagpur,Co-Ed,1686,1188,310,452,212
2018,Nagpur,Boys,5,6,1,1,2
2018,Nagpur,Girls,14,5,17,22,3
2018,Nanded,Co-Ed,1796,1062,189,343,153
2018,Nanded,Boys,7,2,1,1,2
2018,Nanded,Girls,12,15,5,14,7
2018,Nandurbar,Co-Ed,1331,274,77,238,46
2018,Nandurbar,Boys,19,0,1,0,1
2018,Nandurbar,Girls,16,0,6,7,7
2018,Nashik,Co-Ed,3026,1171,244,433,352
2018,Nashik,Boys,13,39,1,6,3
2018,Nashik,Girls,15,44,11,19,5
2018,Palghar,Co-Ed,1744,961,92,259,212
2018,Palghar,Boys,3,0,0,2,0
2018,Palghar,Girls,1,4,2,1,8
2018,Parbhani,Co-Ed,761,726,95,167,120
2018,Parbhani,Boys,8,1,1,1,3
2018,Parbhani,Girls,3,9,1,3,8
2018,Pune,Co-Ed,3406,1829,470,685,446
2018,Pune,Boys,23,50,5,10,3
2018,Pune,Girls,31,51,19,26,8
2018,Raigad,Co-Ed,2165,892,136,235,178
2018,Raigad,Boys,4,7,1,2,1
2018,Raigad,Girls,6,9,2,2,3
2018,Ratnagiri,Co-Ed,1668,1062,91,115,179
2018,Ratnagiri,Boys,2,5,1,1,0
2018,Ratnagiri,Girls,4,4,0,2,2
2018,Sangli,Co-Ed,1432,662,150,263,172
2018,Sangli,Boys,20,42,1,3,4
2018,Sangli,Girls,27,42,9,24,8
2018,Satara,Co-Ed,2032,961,164,334,213
2018,Satara,Boys,18,15,0,3,2
2018,Satara,Girls,16,11,7,10,3
2018,Sindhudurg,Co-Ed,954,519,56,95,76
2018,Sindhudurg,Boys,0,3,1,0,0
2018,Sindhudurg,Girls,1,1,0,0,0
2018,Solapur,Co-Ed,2503,1094,274,420,219
2018,Solapur,Boys,17,26,1,2,1
2018,Solapur,Girls,24,24,6,9,0
2018,Thane,Co-Ed,1447,1844,193,280,672
2018,Thane,Boys,3,12,1,4,2
2018,Thane,Girls,6,26,6,9,1
2018,Wardha,Co-Ed,771,376,83,134,70
2018,Wardha,Boys,5,2,1,0,2
2018,Wardha,Girls,6,1,1,4,2
2018,Washim,Co-Ed,606,407,127,99,54
2018,Washim,Boys,4,0,1,0,2
2018,Washim,Girls,7,1,4,6,0
2018,Yavatmal,Co-Ed,1507,1054,162,206,178
2018,Yavatmal,Boys,11,4,1,1,4
2018,Yavatmal,Girls,14,7,8,8,7
2019,Ahilyanagar,Co-Ed,3294,818,296,480,229
2019,Ahilyanagar,Boys,16,6,2,4,2
2019,Ahilyanagar,Girls,19,7,8,13,1
2019,Akola,Co-Ed,738,542,140,147,127
2019,Akola,Boys,12,4,2,1,2
2019,Akola,Girls,15,6,4,9,2
2019,Amravati,Co-Ed,1160,862,208,281,158
2019,Amravati,Boys,27,6,1,3,4
2019,Amravati,Girls,39,11,9,19,7
2019,Beed,Co-Ed,2021,816,205,367,87
2019,Beed,Boys,13,3,1,1,2
2019,Beed,Girls,15,19,5,9,4
2019,Bhandara,Co-Ed,618,347,109,130,47
2019,Bhandara,Boys,3,1,1,0,0
2019,Bhandara,Girls,4,1,2,4,1
2019,Buldhana,Co-Ed,1053,699,194,204,99
2019,Buldhana,Boys,20,4,1,1,3
2019,Buldhana,Girls,26,9,4,8,2
2019,Chandrapur,Co-Ed,1159,725,134,204,138
2019,Chandrapur,Boys,2,0,1,0,1
2019,Chandrapur,Girls,3,1,5,9,1
2019,Chhatrapati Sambhaji Nagar,Co-Ed,1705,1581,339,296,235
2019,Chhatrapati Sambhaji Nagar,Boys,4,2,1,3,2
2019,Chhatrapati Sambhaji Nagar,Girls,5,4,8,11,2
2019,Dharashiv,Co-Ed,735,558,73,184,145
2019,Dharashiv,Boys,14,6,1,2,2
2019,Dharashiv,Girls,11,16,1,8,4
2019,Dhule,Co-Ed,1199,221,139,248,48
2019,Dhule,Boys,30,6,2,4,2
2019,Dhule,Girls,31,9,11,15,2
2019,Gadchiroli,Co-Ed,1157,469,105,124,80
2019,Gadchiroli,Boys,6,5,1,0,1
2019,Gadchiroli,Girls,11,4,2,1,7
2019,Gondia,Co-Ed,702,546,117,97,68
2019,Gondia,Boys,0,8,1,0,1
2019,Gondia,Girls,4,8,2,2,2
2019,Hingoli,Co-Ed,572,432,82,93,41
2019,Hingoli,Boys,4,0,1,1,0
2019,Hingoli,Girls,8,5,2,3,2
2019,Jalgaon,Co-Ed,1584,705,205,477,98
2019,Jalgaon,Boys,61,31,1,4,2
2019,Jalgaon,Girls,58,39,10,19,2
2019,Jalna,Co-Ed,1134,728,139,195,63
2019,Jalna,Boys,3,1,2,0,2
2019,Jalna,Girls,2,3,2,3,8
2019,Kolhapur,Co-Ed,1363,1111,169,340,362
2019,Kolhapur,Boys,28,55,1,8,4
2019,Kolhapur,Girls,37,54,7,13,7
2019,Latur,Co-Ed,998,895,178,286,178
2019,Latur,Boys,4,3,1,4,3
2019,Latur,Girls,5,13,4,13,5
2019,Mumbai City,Co-Ed,13,22,348,849,177
2019,Mumbai City,Boys,0,1,3,35,2
2019,Mumbai City,Girls,0,2,7,66,6
2019,Mumbai Suburban,Co-Ed,1295,925,0,99,11
2019,Mumbai Suburban,Boys,32,1,0,0,0
2019,Mumbai Suburban,Girls,54,2,0,0,0
2019,Nagpur,Co-Ed,1664,1198,328,470,211
2019,Nagpur,Boys,5,5,1,2,2
2019,Nagpur,Girls,14,5,17,21,3
2019,Nanded,Co-Ed,1779,1056,198,357,154
2019,Nanded,Boys,7,3,1,1,2
2019,Nanded,Girls,12,15,5,14,7
2019,Nandurbar,Co-Ed,1337,276,77,240,45
2019,Nandurbar,Boys,19,0,1,0,1
2019,Nandurbar,Girls,16,0,6,7,7
2019,Nashik,Co-Ed,3006,1173,266,459,349
2019,Nashik,Boys,13,37,1,6,3
2019,Nashik,Girls,15,41,11,19,5
2019,Palghar,Co-Ed,1721,929,111,271,211
2019,Palghar,Boys,3,0,0,2,0
2019,Palghar,Girls,1,3,2,2,8
2019,Parbhani,Co-Ed,757,720,101,171,122
2019,Parbhani,Boys,7,1,1,1,3
2019,Parbhani,Girls,3,9,1,3,8
2019,Pune,Co-Ed,3381,1847,487,710,438
2019,Pune,Boys,23,50,5,10,3
2019,Pune,Girls,30,51,19,26,7
2019,Raigad,Co-Ed,2135,903,136,240,177
2019,Raigad,Boys,4,7,1,2,1
2019,Raigad,Girls,6,9,2,2,3
2019,Ratnagiri,Co-Ed,1660,1068,91,118,180
2019,Ratnagiri,Boys,2,6,1,0,0
2019,Ratnagiri,Girls,3,4,0,2,2
2019,Sangli,Co-Ed,1427,662,155,273,174
2019,Sangli,Boys,20,42,1,3,4
2019,Sangli,Girls,27,42,9,24,7
2019,Satara,Co-Ed,2024,972,168,341,212
2019,Satara,Boys,19,12,0,3,1
2019,Satara,Girls,17,8,7,9,3
2019,Sindhudurg,Co-Ed,925,523,55,97,76
2019,Sindhudurg,Boys,0,3,1,0,0
2019,Sindhudurg,Girls,1,1,0,0,0
2019,Solapur,Co-Ed,2491,1104,279,427,221
2019,Solapur,Boys,17,25,1,2,2
2019,Solapur,Girls,23,23,6,9,0
2019,Thane,Co-Ed,1447,1837,217,294,660
2019,Thane,Boys,3,12,1,4,2
2019,Thane,Girls,5,26,6,9,2
2019,Wardha,Co-Ed,766,374,86,137,72
2019,Wardha,Boys,3,2,1,0,2
2019,Wardha,Girls,4,1,1,4,1
2019,Washim,Co-Ed,601,403,130,102,54
2019,Washim,Boys,4,0,1,0,2
2019,Washim,Girls,7,1,4,6,0
2019,Yavatmal,Co-Ed,1489,1058,162,221,177
2019,Yavatmal,Boys,11,4,1,1,4
2019,Yavatmal,Girls,14,6,8,8,7
2020,Ahilyanagar,Co-Ed,3269,814,317,481,225
2020,Ahilyanagar,Boys,16,6,1,4,2
2020,Ahilyanagar,Girls,17,7,9,13,1
2020,Akola,Co-Ed,733,544,146,146,126
2020,Akola,Boys,12,4,1,1,2
2020,Akola,Girls,14,6,4,8,2
2020,Amravati,Co-Ed,1151,863,209,291,158
2020,Amravati,Boys,28,6,1,1,4
2020,Amravati,Girls,40,10,9,18,7
2020,Beed,Co-Ed,2008,819,212,369,88
2020,Beed,Boys,13,3,1,1,2
2020,Beed,Girls,15,18,5,9,4
2020,Bhandara,Co-Ed,615,341,115,133,47
2020,Bhandara,Boys,3,1,1,0,0
2020,Bhandara,Girls,4,1,2,4,1
2020,Buldhana,Co-Ed,1048,696,204,208,98
2020,Buldhana,Boys,20,4,1,1,3
2020,Buldhana,Girls,26,9,4,8,2
2020,Chandrapur,Co-Ed,1146,723,138,209,140
2020,Chandrapur,Boys,2,0,1,0,1
2020,Chandrapur,Girls,3,1,5,9,1
2020,Chhatrapati Sambhaji Nagar,Co-Ed,1700,1584,377,302,237
2020,Chhatrapati Sambhaji Nagar,Boys,4,2,1,3,2
2020,Chhatrapati Sambhaji Nagar,Girls,5,4,8,11,2
2020,Dharashiv,Co-Ed,728,556,78,184,145
2020,Dharashiv,Boys,14,6,0,2,2
2020,Dharashiv,Girls,11,15,1,8,4
2020,Dhule,Co-Ed,1198,220,140,254,48
2020,Dhule,Boys,29,7,2,4,2
2020,Dhule,Girls,31,9,11,14,2
2020,Gadchiroli,Co-Ed,1148,476,107,122,79
2020,Gadchiroli,Boys,6,5,0,0,1
2020,Gadchiroli,Girls,11,4,2,1,7
2020,Gondia,Co-Ed,692,539,130,102,68
2020,Gondia,Boys,0,8,0,0,1
2020,Gondia,Girls,4,8,2,2,2
2020,Hingoli,Co-Ed,566,439,81,96,41
2020,Hingoli,Boys,4,0,1,1,0
2020,Hingoli,Girls,8,4,2,3,2
2020,Jalgaon,Co-Ed,1565,715,207,480,98
2020,Jalgaon,Boys,59,31,1,4,2
2020,Jalgaon,Girls,56,38,10,19,1
2020,Jalna,Co-Ed,1123,728,156,195,63
2020,Jalna,Boys,2,1,1,0,2
2020,Jalna,Girls,2,3,2,3,8
2020,Kolhapur,Co-Ed,1357,1110,172,341,359
2020,Kolhapur,Boys,28,54,1,8,6
2020,Kolhapur,Girls,36,54,6,13,7
2020,Latur,Co-Ed,994,890,189,290,179
2020,Latur,Boys,4,3,0,4,3
2020,Latur,Girls,5,13,4,12,5
2020,Mumbai City,Co-Ed,13,19,355,851,174
2020,Mumbai City,Boys,0,1,4,35,1
2020,Mumbai City,Girls,0,1,7,66,5
2020,Mumbai Suburban,Co-Ed,1281,916,0,113,10
2020,Mumbai Suburban,Boys,30,1,0,0,0
2020,Mumbai Suburban,Girls,54,2,0,0,0
2020,Nagpur,Co-Ed,1628,1170,349,470,208
2020,Nagpur,Boys,5,4,1,3,2
2020,Nagpur,Girls,14,4,17,21,3
2020,Nanded,Co-Ed,1773,1051,210,357,156
2020,Nanded,Boys,7,3,1,1,2
2020,Nanded,Girls,12,15,5,14,7
2020,Nandurbar,Co-Ed,1334,286,77,243,45
2020,Nandurbar,Boys,19,0,1,0,1
2020,Nandurbar,Girls,16,0,6,7,7
2020,Nashik,Co-Ed,2988,1177,277,455,350
2020,Nashik,Boys,13,37,0,6,3
2020,Nashik,Girls,15,41,11,19,5
2020,Palghar,Co-Ed,1709,918,118,277,211
2020,Palghar,Boys,3,0,0,2,0
2020,Palghar,Girls,1,3,2,2,8
2020,Parbhani,Co-Ed,746,723,106,171,121
2020,Parbhani,Boys,7,1,1,1,3
2020,Parbhani,Girls,3,8,1,3,8
2020,Pune,Co-Ed,3338,1834,522,724,438
2020,Pune,Boys,23,50,5,10,3
2020,Pune,Girls,30,49,20,27,7
2020,Raigad,Co-Ed,2099,910,141,244,175
2020,Raigad,Boys,3,7,0,2,1
2020,Raigad,Girls,6,9,2,2,3
2020,Ratnagiri,Co-Ed,1610,1061,91,123,179
2020,Ratnagiri,Boys,2,6,0,0,0
2020,Ratnagiri,Girls,2,4,0,2,2
2020,Sangli,Co-Ed,1418,664,156,278,176
2020,Sangli,Boys,20,41,1,3,4
2020,Sangli,Girls,27,42,9,24,5
2020,Satara,Co-Ed,2009,970,171,343,211
2020,Satara,Boys,19,12,0,4,2
2020,Satara,Girls,17,8,7,9,3
2020,Sindhudurg,Co-Ed,927,523,55,96,76
2020,Sindhudurg,Boys,0,3,0,0,0
2020,Sindhudurg,Girls,1,1,0,0,0
2020,Solapur,Co-Ed,2478,1105,279,430,217
2020,Solapur,Boys,17,25,1,2,2
2020,Solapur,Girls,23,23,6,9,0
2020,Thane,Co-Ed,1435,1846,226,298,661
2020,Thane,Boys,3,12,0,4,2
2020,Thane,Girls,5,24,6,10,2
2020,Wardha,Co-Ed,764,373,87,137,70
2020,Wardha,Boys,3,2,0,0,2
2020,Wardha,Girls,4,1,1,4,1
2020,Washim,Co-Ed,599,400,134,105,54
2020,Washim,Boys,4,0,1,0,2
2020,Washim,Girls,7,1,4,6,0
2020,Yavatmal,Co-Ed,1478,1057,170,223,175
2020,Yavatmal,Boys,11,3,0,1,4
2020,Yavatmal,Girls,13,6,8,8,7
2021,Ahilyanagar,Co-Ed,3240,816,325,479,223
2021,Ahilyanagar,Boys,16,6,1,4,2
2021,Ahilyanagar,Girls,17,7,9,13,1
2021,Akola,Co-Ed,724,544,151,143,126
2021,Akola,Boys,12,4,1,1,2
2021,Akola,Girls,14,6,4,7,2
2021,Amravati,Co-Ed,1138,850,207,302,160
2021,Amravati,Boys,28,6,1,1,4
2021,Amravati,Girls,40,10,6,15,7
2021,Beed,Co-Ed,2006,827,214,373,86
2021,Beed,Boys,13,3,1,1,2
2021,Beed,Girls,15,17,5,9,4
2021,Bhandara,Co-Ed,609,341,115,131,47
2021,Bhandara,Boys,3,1,1,0,0
2021,Bhandara,Girls,4,1,2,4,1
2021,Buldhana,Co-Ed,1042,694,207,209,98
2021,Buldhana,Boys,20,4,1,1,3
2021,Buldhana,Girls,26,9,4,8,2
2021,Chandrapur,Co-Ed,1139,717,144,207,139
2021,Chandrapur,Boys,2,0,1,0,1
2021,Chandrapur,Girls,3,1,5,9,1
2021,Chhatrapati Sambhaji Nagar,Co-Ed,1660,1588,385,302,234
2021,Chhatrapati Sambhaji Nagar,Boys,4,2,1,3,2
2021,Chhatrapati Sambhaji Nagar,Girls,5,4,8,11,2
2021,Dharashiv,Co-Ed,719,556,79,182,145
2021,Dharashiv,Boys,14,6,0,2,2
2021,Dharashiv,Girls,11,15,1,7,4
2021,Dhule,Co-Ed,1189,221,142,256,48
2021,Dhule,Boys,29,7,2,4,2
2021,Dhule,Girls,31,9,11,15,2
2021,Gadchiroli,Co-Ed,1141,471,109,125,79
2021,Gadchiroli,Boys,6,5,0,0,1
2021,Gadchiroli,Girls,11,4,2,1,7
2021,Gondia,Co-Ed,684,538,133,99,68
2021,Gondia,Boys,0,8,0,0,1
2021,Gondia,Girls,4,8,2,2,2
2021,Hingoli,Co-Ed,561,440,80,96,42
2021,Hingoli,Boys,4,0,1,1,0
2021,Hingoli,Girls,8,4,2,3,2
2021,Jalgaon,Co-Ed,1564,721,208,480,98
2021,Jalgaon,Boys,55,31,1,3,2
2021,Jalgaon,Girls,52,38,10,19,1
2021,Jalna,Co-Ed,1114,728,159,199,61
2021,Jalna,Boys,2,1,1,0,2
2021,Jalna,Girls,2,3,2,3,8
2021,Kolhapur,Co-Ed,1348,1110,174,339,358
2021,Kolhapur,Boys,28,54,1,8,6
2021,Kolhapur,Girls,35,54,6,13,7
2021,Latur,Co-Ed,980,884,189,290,177
2021,Latur,Boys,4,3,0,4,3
2021,Latur,Girls,5,13,4,12,5
2021,Mumbai City,Co-Ed,10,15,360,845,174
2021,Mumbai City,Boys,0,1,3,34,1
2021,Mumbai City,Girls,0,0,7,66,3
2021,Mumbai Suburban,Co-Ed,1258,898,0,113,11
2021,Mumbai Suburban,Boys,30,1,0,0,0
2021,Mumbai Suburban,Girls,53,2,0,0,0
2021,Nagpur,Co-Ed,1601,1147,360,475,208
2021,Nagpur,Boys,5,2,1,3,2
2021,Nagpur,Girls,14,3,17,21,3
2021,Nanded,Co-Ed,1762,1044,214,356,155
2021,Nanded,Boys,7,3,1,1,2
2021,Nanded,Girls,12,14,5,15,7
2021,Nandurbar,Co-Ed,1334,287,77,244,45
2021,Nandurbar,Boys,19,0,1,0,1
2021,Nandurbar,Girls,16,0,6,7,7
2021,Nashik,Co-Ed,2950,1184,285,464,351
2021,Nashik,Boys,13,36,0,6,3
2021,Nashik,Girls,15,39,11,19,5
2021,Palghar,Co-Ed,1701,904,119,277,210
2021,Palghar,Boys,3,0,0,2,0
2021,Palghar,Girls,1,3,2,2,8
2021,Parbhani,Co-Ed,743,725,111,170,122
2021,Parbhani,Boys,7,1,1,1,3
2021,Parbhani,Girls,3,8,1,3,8
2021,Pune,Co-Ed,3314,1811,544,727,436
2021,Pune,Boys,22,50,5,10,4
2021,Pune,Girls,29,48,20,27,7
2021,Raigad,Co-Ed,2072,913,146,248,173
2021,Raigad,Boys,3,7,0,2,1
2021,Raigad,Girls,6,7,2,2,3
2021,Ratnagiri,Co-Ed,1580,1053,94,124,177
2021,Ratnagiri,Boys,1,5,0,0,0
2021,Ratnagiri,Girls,2,4,0,1,2
2021,Sangli,Co-Ed,1412,662,160,279,176
2021,Sangli,Boys,19,41,0,3,4
2021,Sangli,Girls,26,42,9,24,5
2021,Satara,Co-Ed,2003,965,174,340,212
2021,Satara,Boys,19,12,0,3,2
2021,Satara,Girls,17,8,7,9,3
2021,Sindhudurg,Co-Ed,922,522,54,99,75
2021,Sindhudurg,Boys,0,3,0,0,0
2021,Sindhudurg,Girls,1,1,0,0,0
2021,Solapur,Co-Ed,2452,1098,279,435,215
2021,Solapur,Boys,17,24,1,2,2
2021,Solapur,Girls,23,23,6,9,0
2021,Thane,Co-Ed,1411,1836,236,298,655
2021,Thane,Boys,3,12,0,4,2
2021,Thane,Girls,5,23,6,10,2
2021,Wardha,Co-Ed,756,373,87,136,70
2021,Wardha,Boys,3,2,0,0,2
2021,Wardha,Girls,4,1,1,4,1
2021,Washim,Co-Ed,591,406,135,107,55
2021,Washim,Boys,4,0,1,0,2
2021,Washim,Girls,7,1,4,6,0
2021,Yavatmal,Co-Ed,1466,1061,175,220,175
2021,Yavatmal,Boys,11,3,0,1,4
2021,Yavatmal,Girls,13,6,8,8,7
2024,Ahilyanagar,Co-Ed,3174,786,372,479,217
2024,Ahilyanagar,Boys,15,6,1,3,2
2024,Ahilyanagar,Girls,17,7,9,13,1
2024,Akola,Co-Ed,698,542,155,153,122
2024,Akola,Boys,12,4,1,1,2
2024,Akola,Girls,14,6,4,7,2
2024,Amravati,Co-Ed,1106,836,235,311,159
2024,Amravati,Boys,27,6,1,1,4
2024,Amravati,Girls,40,9,6,16,6
2024,Beed,Co-Ed,1952,840,261,377,87
2024,Beed,Boys,12,3,1,1,2
2024,Beed,Girls,15,13,5,9,4
2024,Bhandara,Co-Ed,598,332,117,130,46
2024,Bhandara,Boys,3,1,1,0,0
2024,Bhandara,Girls,4,1,2,3,1
2024,Buldhana,Co-Ed,1013,707,224,220,99
2024,Buldhana,Boys,15,4,1,0,3
2024,Buldhana,Girls,21,7,5,6,2
2024,Chandrapur,Co-Ed,1112,700,158,215,134
2024,Chandrapur,Boys,2,0,1,0,1
2024,Chandrapur,Girls,3,1,5,9,1
2024,Chhatrapati Sambhaji Nagar,Co-Ed,1534,1530,441,356,227
2024,Chhatrapati Sambhaji Nagar,Boys,3,2,1,3,2
2024,Chhatrapati Sambhaji Nagar,Girls,5,3,8,11,2
2024,Dharashiv,Co-Ed,704,548,92,184,148
2024,Dharashiv,Boys,13,6,0,2,2
2024,Dharashiv,Girls,9,15,1,7,4
2024,Dhule,Co-Ed,1173,227,152,263,46
2024,Dhule,Boys,26,7,2,4,2
2024,Dhule,Girls,29,9,11,15,2
2024,Gadchiroli,Co-Ed,1105,467,114,128,81
2024,Gadchiroli,Boys,3,4,0,0,2
2024,Gadchiroli,Girls,6,4,2,0,6
2024,Gondia,Co-Ed,668,534,155,93,67
2024,Gondia,Boys,0,8,0,0,1
2024,Gondia,Girls,4,8,1,2,2
2024,Hingoli,Co-Ed,545,428,95,115,41
2024,Hingoli,Boys,4,0,1,1,0
2024,Hingoli,Girls,8,3,2,3,2
2024,Jalgaon,Co-Ed,1528,712,238,516,84
2024,Jalgaon,Boys,54,31,1,3,2
2024,Jalgaon,Girls,51,38,9,16,1
2024,Jalna,Co-Ed,1071,718,203,216,64
2024,Jalna,Boys,1,0,0,0,2
2024,Jalna,Girls,1,2,2,3,8
2024,Kolhapur,Co-Ed,1322,1094,196,346,359
2024,Kolhapur,Boys,28,48,2,6,6
2024,Kolhapur,Girls,35,50,6,13,6
2024,Latur,Co-Ed,935,866,214,307,175
2024,Latur,Boys,4,3,0,4,4
2024,Latur,Girls,5,13,3,12,5
2024,Mumbai City,Co-Ed,7,10,403,829,149
2024,Mumbai City,Boys,0,1,2,30,1
2024,Mumbai City,Girls,0,0,7,63,3
2024,Mumbai Suburban,Co-Ed,1120,863,0,125,11
2024,Mumbai Suburban,Boys,29,1,0,0,0
2024,Mumbai Suburban,Girls,52,1,0,0,0
2024,Nagpur,Co-Ed,1527,1073,410,511,203
2024,Nagpur,Boys,5,2,1,3,2
2024,Nagpur,Girls,14,1,15,17,3
2024,Nanded,Co-Ed,1735,1020,234,388,152
2024,Nanded,Boys,6,3,0,1,2
