Year,District,Social Category,Gender,Pre-Primary,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12
2012,Buldhana,SC,Total,2021,9510,9756,9968,10662,10902,11157,11371,10361,9515,7599,4886,3288
2012,Buldhana,SC,Boys,1282,5046,4982,5271,5478,5692,5898,5955,5509,5122,4103,2826,2014
2012,Buldhana,SC,Girls,739,4464,4774,4697,5184,5210,5259,5416,4852,4393,3496,2060,1274
2012,Buldhana,ST,Total,456,3072,3177,3242,3198,2781,2576,2421,1854,1563,1187,734,537
2012,Buldhana,ST,Boys,280,1634,1697,1745,1681,1467,1334,1270,1020,924,715,454,372
2012,Buldhana,ST,Girls,176,1438,1480,1497,1517,1314,1242,1151,834,639,472,280,165
2012,Chandrapur,Overall,Total,19317,34591,34198,35201,36427,36891,36967,38495,37229,37293,35237,26935,23312
2012,Chandrapur,Overall,Boys,10572,17727,17688,18298,18850,19324,19473,20364,19490,19764,17859,12960,11721
2012,Chandrapur,Overall,Girls,8745,16864,16510,16903,17577,17567,17494,18131,17739,17529,17378,13975,11591
2012,Chandrapur,General,Total,4246,3104,3274,3188,3290,3129,3121,3054,2900,2876,2781,2160,2044
2012,Chandrapur,General,Boys,2287,1621,1782,1721,1748,1697,1707,1637,1580,1497,1435,1048,1026
2012,Chandrapur,General,Girls,1959,1483,1492,1467,1542,1432,1414,1417,1320,1379,1346,1112,1018
2012,Chandrapur,OBC,Total,9516,19068,18659,19328,20040,20458,20613,21706,20641,20893,19901,15281,13123
2012,Chandrapur,OBC,Boys,5321,9757,9628,9926,10388,10806,10834,11511,10835,11020,10077,7302,6548
2012,Chandrapur,OBC,Girls,4195,9311,9031,9402,9652,9652,9779,10195,9806,9873,9824,7979,6575
2012,Chandrapur,SC,Total,3973,5618,5721,5869,5991,6182,6203,6430,6638,6575,6210,5324,4682
2012,Chandrapur,SC,Boys,2113,2905,2943,3073,3093,3144,3229,3380,3460,3570,3129,2566,2328
2012,Chandrapur,SC,Girls,1860,2713,2778,2796,2898,3038,2974,3050,3178,3005,3081,2758,2354
2012,Chandrapur,ST,Total,1582,6801,6544,6816,7106,7122,7030,7305,7050,6949,6345,4170,3463
2012,Chandrapur,ST,Boys,851,3444,3335,3578,3621,3677,3703,3836,3615,3677,3218,2044,1819
2012,Chandrapur,ST,Girls,731,3357,3209,3238,3485,3445,3327,3469,3435,3272,3127,2126,1644
2012,Chh. Sambhaji Nagar,Overall,Total,20062,84922,81623,82945,83634,80221,77811,74782,67061,61026,54834,36511,32868
2012,Chh. Sambhaji Nagar,Overall,Boys,11370,45599,43862,44289,44378,42891,42035,40324,36991,34106,30887,20555,19828
2012,Chh. Sambhaji Nagar,Overall,Girls,8692,39323,37761,38656,39256,37330,35776,34458,30070,26920,23947,15956,13040
2012,Chh. Sambhaji Nagar,General,Total,11580,43785,42389,42703,41826,40202,39194,38018,33855,30991,27883,19328,17478
2012,Chh. Sambhaji Nagar,General,Boys,6513,23498,22636,22768,22133,21321,21061,20247,18401,16899,15374,10708,10156
2012,Chh. Sambhaji Nagar,General,Girls,5067,20287,19753,19935,19693,18881,18133,17771,15454,14092,12509,8620,7322
2012,Chh. Sambhaji Nagar,OBC,Total,4718,22755,21550,22404,23215,22543,21756,21113,19639,17895,16519,10769,9618
2012,Chh. Sambhaji Nagar,OBC,Boys,2770,12404,11835,12134,12542,12336,11917,11685,11135,10334,9607,6243,5974
2012,Chh. Sambhaji Nagar,OBC,Girls,1948,10351,9715,10270,10673,10207,9839,9428,8504,7561,6912,4526,3644
2012,Chh. Sambhaji Nagar,SC,Total,2992,13457,12965,13020,13448,12930,12967,12392,10904,9923,8693,5313,4793
2012,Chh. Sambhaji Nagar,SC,Boys,1632,7150,6904,6806,7008,6842,6920,6572,5905,5518,4837,2916,3050
2012,Chh. Sambhaji Nagar,SC,Girls,1360,6307,6061,6214,6440,6088,6047,5820,4999,4405,3856,2397,1743
2012,Chh. Sambhaji Nagar,ST,Total,772,4925,4719,4818,5145,4546,3894,3259,2663,2217,1739,1101,979
2012,Chh. Sambhaji Nagar,ST,Boys,455,2547,2487,2581,2695,2392,2137,1820,1550,1355,1069,688,648
2012,Chh. Sambhaji Nagar,ST,Girls,317,2378,2232,2237,2450,2154,1757,1439,1113,862,670,413,331
2012,Dharashiv,Overall,Total,53029,30326,28764,29341,30153,29910,29387,29249,26381,24725,22864,15233,12915
2012,Dharashiv,Overall,Boys,28345,16290,15499,15435,15835,15845,15735,15362,13954,13303,12395,8073,7033
2012,Dharashiv,Overall,Girls,24684,14036,13265,13906,14318,14065,13652,13887,12427,11422,10469,7160,5882
2012,Dharashiv,General,Total,29249,15386,14506,15083,15287,15589,15506,15592,14285,13797,13069,8904,7630
2012,Dharashiv,General,Boys,15809,8422,7866,8081,8168,8291,8350,8197,7503,7378,6987,4608,3998
2012,Dharashiv,General,Girls,13440,6964,6640,7002,7119,7298,7156,7395,6782,6419,6082,4296,3632
2012,Dharashiv,OBC,Total,13716,8831,8306,8348,8479,8151,7742,7707,6816,6126,5552,3738,3234
2012,Dharashiv,OBC,Boys,7252,4703,4471,4320,4417,4287,4078,4024,3575,3290,3066,2054,1856
2012,Dharashiv,OBC,Girls,6464,4128,3835,4028,4062,3864,3664,3683,3241,2836,2486,1684,1378
2012,Dharashiv,SC,Total,8103,5017,4843,4883,5263,5231,5284,5076,4586,4203,3754,2239,1761
2012,Dharashiv,SC,Boys,4251,2565,2542,2500,2696,2720,2861,2640,2435,2270,2057,1213,1012
2012,Dharashiv,SC,Girls,3852,2452,2301,2383,2567,2511,2423,2436,2151,1933,1697,1026,749
2012,Dharashiv,ST,Total,1961,1092,1109,1027,1124,939,855,874,694,599,489,352,290
2012,Dharashiv,ST,Boys,1033,600,620,534,554,547,446,501,441,365,285,198,167
2012,Dharashiv,ST,Girls,928,492,489,493,570,392,409,373,253,234,204,154,123
2012,Dhule,Overall,Total,11318,43662,42582,43577,41906,39516,37683,37181,34234,32628,29115,18297,18860
2012,Dhule,Overall,Boys,6326,23164,22652,23213,22196,21406,20547,20311,18833,18287,16299,10027,10502
2012,Dhule,Overall,Girls,4992,20498,19930,20364,19710,18110,17136,16870,15401,14341,12816,8270,8358
2012,Dhule,General,Total,2943,4515,4740,4701,4916,4772,4878,5074,4894,4729,4556,2818,2616
2012,Dhule,General,Boys,1649,2384,2515,2537,2530,2511,2400,2629,2494,2485,2367,1406,1359
2012,Dhule,General,Girls,1294,2131,2225,2164,2386,2261,2478,2445,2400,2244,2189,1412,1257
2012,Dhule,OBC,Total,6421,16649,17004,17523,17294,17353,17250,17914,16952,16986,16047,10987,11237
2012,Dhule,OBC,Boys,3592,9147,9224,9566,9289,9525,9630,9840,9459,9554,8878,5982,6146
2012,Dhule,OBC,Girls,2829,7502,7780,7957,8005,7828,7620,8074,7493,7432,7169,5005,5091
2012,Dhule,SC,Total,1007,2623,2720,2644,2823,2876,2772,2704,2719,2549,2414,1458,1549
2012,Dhule,SC,Boys,573,1323,1418,1390,1422,1520,1439,1416,1419,1393,1373,767,793
2012,Dhule,SC,Girls,434,1300,1302,1254,1401,1356,1333,1288,1300,1156,1041,691,756
2012,Dhule,ST,Total,947,19875,18118,18709,16873,14515,12783,11489,9669,8364,6098,3034,3458
2012,Dhule,ST,Boys,512,10310,9495,9720,8955,7850,7078,6426,5461,4855,3681,1872,2204
2012,Dhule,ST,Girls,435,9565,8623,8989,7918,6665,5705,5063,4208,3509,2417,1162,1254
2012,Gadchiroli,Overall,Total,4659,19616,19287,19946,20172,19382,19213,19533,18439,18211,16785,11702,12024
2012,Gadchiroli,Overall,Boys,2608,10157,9844,10334,10391,10057,10116,10146,9567,9435,8774,6007,6293
2012,Gadchiroli,Overall,Girls,2051,9459,9443,9612,9781,9325,9097,9387,8872,8776,8011,5695,5731
2012,Gadchiroli,General,Total,989,1510,1469,1611,1659,1690,1619,1656,1618,1705,1590,1105,1129
2012,Gadchiroli,General,Boys,545,778,770,836,830,896,835,833,840,872,801,570,560
2012,Gadchiroli,General,Girls,444,732,699,775,829,794,784,823,778,833,789,535,569
2012,Gadchiroli,OBC,Total,2142,6811,6797,6855,7034,7331,7608,7815,7765,7609,7062,5360,5258
2012,Gadchiroli,OBC,Boys,1225,3533,3505,3515,3643,3775,3997,3981,3965,3842,3591,2639,2671
2012,Gadchiroli,OBC,Girls,917,3278,3292,3340,3391,3556,3611,3834,3800,3767,3471,2721,2587
2012,Gadchiroli,SC,Total,814,1981,1946,2144,2176,2179,2277,2418,2275,2276,2345,1707,1811
2012,Gadchiroli,SC,Boys,452,1067,984,1134,1128,1143,1205,1249,1183,1187,1240,861,1002
2012,Gadchiroli,SC,Girls,362,914,962,1010,1048,1036,1072,1169,1092,1089,1105,846,809
2012,Gadchiroli,ST,Total,714,9314,9075,9336,9303,8182,7709,7644,6781,6621,5788,3530,3826
2012,Gadchiroli,ST,Boys,386,4779,4585,4849,4790,4243,4079,4083,3579,3534,3142,1937,2060
2012,Gadchiroli,ST,Girls,328,4535,4490,4487,4513,3939,3630,3561,3202,3087,2646,1593,1766
2012,Gondia,Overall,Total,5840,21545,21324,21974,23073,24051,23490,25244,24728,24281,23646,18347,18988
2012,Gondia,Overall,Boys,3202,11009,10913,11142,11726,12438,11911,13091,12487,12304,11944,8786,9260
2012,Gondia,Overall,Girls,2638,10536,10411,10832,11347,11613,11579,12153,12241,11977,11702,9561,9728
2012,Gondia,General,Total,1230,1310,1309,1423,1373,1371,1280,1355,1452,1365,1381,1131,1161
2012,Gondia,General,Boys,673,689,675,731,735,697,659,689,762,751,712,556,563
2012,Gondia,General,Girls,557,621,634,692,638,674,621,666,690,614,669,575,598
2012,Gondia,OBC,Total,3252,13512,13342,13770,14667,15331,14826,15954,15476,15278,15088,11725,12304
2012,Gondia,OBC,Boys,1820,6896,6867,7003,7428,7992,7541,8275,7809,7728,7629,5549,5967
2012,Gondia,OBC,Girls,1432,6616,6475,6767,7239,7339,7285,7679,7667,7550,7459,6176,6337
2012,Gondia,SC,Total,979,2881,2813,2837,2879,2962,3121,3195,3400,3169,3269,2638,2715
2012,Gondia,SC,Boys,516,1505,1418,1438,1456,1539,1618,1728,1770,1605,1651,1291,1374
2012,Gondia,SC,Girls,463,1376,1395,1399,1423,1423,1503,1467,1630,1564,1618,1347,1341
2012,Gondia,ST,Total,379,3842,3860,3944,4154,4387,4263,4740,4400,4469,3908,2853,2808
2012,Gondia,ST,Boys,193,1919,1953,1970,2107,2210,2093,2399,2146,2220,1952,1390,1356
2012,Gondia,ST,Girls,186,1923,1907,1974,2047,2177,2170,2341,2254,2249,1956,1463,1452
2012,Hingoli,Overall,Total,1826,24924,24317,25754,26720,25167,24080,22387,18569,16068,14050,7572,6963
2012,Hingoli,Overall,Boys,971,13164,12781,13371,13805,12985,12320,11630,9705,8890,7934,4273,4168
2012,Hingoli,Overall,Girls,855,11760,11536,12383,12915,12182,11760,10757,8864,7178,6116,3299,2795
2012,Hingoli,General,Total,535,9103,9028,9491,9589,9113,8893,8355,7119,6241,5371,2997,2782
2012,Hingoli,General,Boys,289,4996,4863,4975,5027,4717,4489,4254,3625,3406,2955,1660,1591
2012,Hingoli,General,Girls,246,4107,4165,4516,4562,4396,4404,4101,3494,2835,2416,1337,1191
2012,Hingoli,OBC,Total,822,8136,7626,8222,8603,7857,7659,7241,5925,5022,4446,2362,2147
2012,Hingoli,OBC,Boys,436,4196,3904,4272,4414,4114,4006,3853,3147,2804,2568,1274,1257
2012,Hingoli,OBC,Girls,386,3940,3722,3950,4189,3743,3653,3388,2778,2218,1878,1088,890
2012,Hingoli,SC,Total,285,4692,4673,4932,5272,5180,4948,4490,3805,3401,2952,1538,1363
2012,Hingoli,SC,Boys,151,2430,2410,2510,2708,2613,2507,2320,1989,1841,1602,888,837
2012,Hingoli,SC,Girls,134,2262,2263,2422,2564,2567,2441,2170,1816,1560,1350,650,526
2012,Hingoli,ST,Total,184,2993,2990,3109,3256,3017,2580,2301,1720,1404,1281,675,671
2012,Hingoli,ST,Boys,95,1542,1604,1614,1656,1541,1318,1203,944,839,809,451,483
2012,Hingoli,ST,Girls,89,1451,1386,1495,1600,1476,1262,1098,776,565,472,224,188
