Year,District,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X),Higher Secondary School (XI-XII),Total
2012,Sangli,Others,182.0,357.0,,67.0,7.0,,613
2012,Sangli,Local body,2994.0,3974.0,,,,,6968
2012,Sangli,Private Unaided,355.0,576.0,87.0,197.0,413.0,97.0,1769
2012,Satara,Government Aided,320.0,247.0,3254.0,3502.0,710.0,562.0,8660
2012,Satara,Others,228.0,164.0,36.0,124.0,51.0,,603
2012,Satara,Local body,4638.0,4789.0,32.0,10.0,,,9469
2012,Satara,Private Unaided,372.0,650.0,303.0,433.0,410.0,59.0,2292
2012,Sindhudurg,Government Aided,61.0,18.0,1129.0,902.0,330.0,93.0,2565
2012,Sindhudurg,Others,62.0,34.0,,10.0,14.0,13.0,133
2012,Sindhudurg,Local body,1976.0,2429.0,,,,,4408
2012,Sindhudurg,Private Unaided,67.0,60.0,27.0,202.0,36.0,22.0,414
2012,Solapur,Government Aided,1187.0,1628.0,5316.0,4332.0,559.0,544.0,13756
2012,Solapur,Others,415.0,824.0,181.0,196.0,99.0,15.0,1730
2012,Solapur,Local body,5427.0,5762.0,33.0,53.0,,,11275
2012,Solapur,Private Unaided,412.0,374.0,361.0,798.0,487.0,92.0,2617
2012,Wardha,Government Aided,181.0,182.0,1828.0,1364.0,201.0,156.0,3922
2012,Wardha,Others,153.0,88.0,56.0,88.0,15.0,,400
2012,Wardha,Local body,1571.0,1693.0,206.0,9.0,,,3479
2012,Wardha,Private Unaided,194.0,419.0,125.0,383.0,83.0,86.0,1316
2012,Washim,Government Aided,55.0,174.0,1658.0,649.0,119.0,113.0,2814
2012,Washim,Others,99.0,172.0,105.0,94.0,23.0,8.0,501
2012,Washim,Local body,1372.0,2159.0,175.0,12.0,4.0,,3722
2012,Washim,Private Unaided,233.0,275.0,126.0,214.0,116.0,5.0,983
2012,Yavatmal,Government Aided,199.0,343.0,2452.0,1299.0,424.0,233.0,5087
2012,Yavatmal,Others,162.0,612.0,219.0,271.0,114.0,11.0,1389
2012,Yavatmal,Local body,3138.0,5979.0,188.0,257.0,31.0,,9598
2012,Yavatmal,Private Unaided,500.0,399.0,319.0,401.0,178.0,242.0,2117
2013,Ahilyanagar,Government Aided,615.0,896.0,5804.0,5197.0,58.0,,12575
2013,Ahilyanagar,Central Govt,,,81.0,,,,104
2013,Ahilyanagar,Others,34.0,97.0,63.0,182.0,1191.0,920.0,2487
2013,Ahilyanagar,Local body,8113.0,3844.0,,15.0,,,11972
2013,Ahilyanagar,Private Unaided,837.0,778.0,312.0,634.0,90.0,,2651
2013,Akola,Government Aided,126.0,518.0,2449.0,1309.0,55.0,,4462
2013,Akola,Central Govt,,,,,,,20
2013,Akola,Others,5.0,16.0,,34.0,548.0,335.0,938
2013,Akola,Local body,1703.0,2666.0,106.0,121.0,,,4596
2013,Akola,Private Unaided,535.0,750.0,160.0,455.0,24.0,,1924
2013,Amravati,Government Aided,549.0,689.0,3717.0,2343.0,3.0,,7301
2013,Amravati,Central Govt,,,,,,,38
2013,Amravati,Others,54.0,78.0,147.0,99.0,768.0,483.0,1629
2013,Amravati,Local body,2538.0,4503.0,325.0,215.0,,,7581
2013,Amravati,Private Unaided,689.0,320.0,149.0,781.0,,,1953
2013,Beed,Government Aided,579.0,1392.0,3289.0,2719.0,5.0,,7984
2013,Beed,Central Govt,1.0,,,,,,26
2013,Beed,Others,34.0,17.0,,38.0,556.0,680.0,1325
2013,Beed,Local body,4035.0,3746.0,27.0,873.0,,,8681
