Year,District,Social Category,Gender,Primary (I-V),Upper Primary (VI-VIII),Secondary (IX-X)
2013,Dharashiv,SC,Overall,4.3,4.23,21.64
2013,Dharashiv,SC,Boys,4.02,3.48,20.45
2013,Dharashiv,SC,Girls,4.58,5.08,23.06
2013,Dharashiv,ST,Overall,10.91,12.67,30.14
2013,Dharashiv,ST,Boys,10.16,10.09,31.69
2013,Dharashiv,ST,Girls,11.78,16.14,27.85
2013,Dhule,Overall,Overall,2.16,2.57,16.18
2013,Dhule,Overall,Boys,1.7,1.78,15.9
2013,Dhule,Overall,Girls,2.7,3.51,16.53
2013,Dhule,General,Overall,0.76,5.98,19.44
2013,Dhule,General,Boys,0.81,2.0,18.65
2013,Dhule,General,Girls,0.7,10.08,20.3
2013,Dhule,OBC,Overall,0.62,0.0,9.95
2013,Dhule,OBC,Boys,0.76,0.11,10.15
2013,Dhule,OBC,Girls,0.46,0.0,9.68
2013,Dhule,SC,Overall,4.69,5.12,20.63
2013,Dhule,SC,Boys,3.18,3.54,19.67
2013,Dhule,SC,Girls,6.3,6.86,21.85
2013,Dhule,ST,Overall,3.65,5.21,26.8
2013,Dhule,ST,Boys,2.64,3.84,25.53
2013,Dhule,ST,Girls,4.77,6.96,28.6
2013,Gadchiroli,Overall,Overall,3.56,2.76,12.42
2013,Gadchiroli,Overall,Boys,3.54,2.68,12.71
2013,Gadchiroli,Overall,Girls,3.59,2.86,12.1
2013,Gadchiroli,General,Overall,0.0,0.0,7.34
2013,Gadchiroli,General,Boys,0.0,0.0,9.39
2013,Gadchiroli,General,Girls,0.0,0.0,5.24
2013,Gadchiroli,OBC,Overall,1.61,2.19,11.37
2013,Gadchiroli,OBC,Boys,1.76,2.25,11.23
2013,Gadchiroli,OBC,Girls,1.46,2.13,11.52
2013,Gadchiroli,SC,Overall,4.71,4.69,10.13
2013,Gadchiroli,SC,Boys,5.28,5.5,9.72
2013,Gadchiroli,SC,Girls,4.08,3.81,10.57
2013,Gadchiroli,ST,Overall,5.67,3.73,15.86
2013,Gadchiroli,ST,Boys,5.53,3.42,16.28
2013,Gadchiroli,ST,Girls,5.83,4.1,15.37
2013,Gondia,Overall,Overall,1.03,1.09,8.67
2013,Gondia,Overall,Boys,1.09,1.23,10.24
2013,Gondia,Overall,Girls,0.97,0.93,7.07
2013,Gondia,General,Overall,0.0,0.0,3.5
2013,Gondia,General,Boys,0.0,0.0,6.7
2013,Gondia,General,Girls,0.0,0.0,0.0
2013,Gondia,OBC,Overall,0.47,0.9,8.44
2013,Gondia,OBC,Boys,0.4,1.32,10.29
2013,Gondia,OBC,Girls,0.52,0.46,6.53
2013,Gondia,SC,Overall,2.25,1.76,6.36
2013,Gondia,SC,Boys,2.26,2.35,6.67
2013,Gondia,SC,Girls,2.24,1.11,6.07
2013,Gondia,ST,Overall,2.89,2.6,13.01
2013,Gondia,ST,Boys,3.15,2.38,14.07
2013,Gondia,ST,Girls,2.62,2.81,11.97
2013,Hingoli,Overall,Overall,2.76,5.47,19.36
2013,Hingoli,Overall,Boys,2.83,4.19,17.04
2013,Hingoli,Overall,Girls,2.69,6.84,22.29
2013,Hingoli,General,Overall,2.83,3.94,18.22
2013,Hingoli,General,Boys,3.16,2.98,16.76
2013,Hingoli,General,Girls,2.45,4.93,19.99
2013,Hingoli,OBC,Overall,1.67,7.51,22.82
2013,Hingoli,OBC,Boys,1.22,5.77,21.2
2013,Hingoli,OBC,Girls,2.13,9.44,24.93
2013,Hingoli,SC,Overall,2.03,2.24,15.76
2013,Hingoli,SC,Boys,2.35,1.8,11.12
2013,Hingoli,SC,Girls,1.7,2.71,21.24
2013,Hingoli,ST,Overall,6.58,11.21,20.59
2013,Hingoli,ST,Boys,6.7,8.25,16.87
2013,Hingoli,ST,Girls,6.47,14.48,26.52
2013,Jalgaon,Overall,Overall,2.68,2.95,21.65
2013,Jalgaon,Overall,Boys,2.26,1.68,21.57
2013,Jalgaon,Overall,Girls,3.2,4.51,21.73
2013,Jalgaon,General,Overall,1.5,3.29,26.33
2013,Jalgaon,General,Boys,0.63,2.56,26.33
2013,Jalgaon,General,Girls,2.5,4.14,26.35
2013,Jalgaon,OBC,Overall,1.94,1.02,17.57
2013,Jalgaon,OBC,Boys,1.37,0.0,17.78
2013,Jalgaon,OBC,Girls,2.66,3.05,17.31
2013,Jalgaon,SC,Overall,3.2,2.81,23.55
2013,Jalgaon,SC,Boys,3.36,2.4,23.53
2013,Jalgaon,SC,Girls,3.04,3.27,23.57
2013,Jalgaon,ST,Overall,4.96,8.88,30.71
2013,Jalgaon,ST,Boys,4.97,7.46,29.19
2013,Jalgaon,ST,Girls,4.94,10.72,33.01
2013,Jalna,Overall,Overall,3.08,5.09,14.96
2013,Jalna,Overall,Boys,3.65,3.69,12.73
2013,Jalna,Overall,Girls,2.46,6.68,17.88
2013,Jalna,General,Overall,5.96,9.31,16.62
2013,Jalna,General,Boys,7.0,8.55,13.3
2013,Jalna,General,Girls,4.8,10.15,20.77
2013,Jalna,OBC,Overall,0.0,0.0,10.32
2013,Jalna,OBC,Boys,0.0,0.0,9.14
2013,Jalna,OBC,Girls,0.0,0.0,11.88
2013,Jalna,SC,Overall,3.78,6.39,16.52
2013,Jalna,SC,Boys,4.03,3.9,15.15
2013,Jalna,SC,Girls,3.51,9.27,18.46
2013,Jalna,ST,Overall,11.26,17.52,34.69
2013,Jalna,ST,Boys,11.69,12.27,32.16
2013,Jalna,ST,Girls,10.77,24.04,38.54
2013,Kolhapur,Overall,Overall,0.2,0.0,16.17
2013,Kolhapur,Overall,Boys,0.15,0.0,17.66
2013,Kolhapur,Overall,Girls,0.25,0.0,14.25
2013,Kolhapur,General,Overall,0.32,0.0,12.84
2013,Kolhapur,General,Boys,0.14,0.0,14.42
2013,Kolhapur,General,Girls,0.51,0.0,10.77
2013,Kolhapur,OBC,Overall,0.0,0.0,21.26
2013,Kolhapur,OBC,Boys,0.0,0.0,22.86
2013,Kolhapur,OBC,Girls,0.0,0.0,19.16
2013,Kolhapur,SC,Overall,0.72,0.8,23.71
2013,Kolhapur,SC,Boys,1.2,0.79,24.8
2013,Kolhapur,SC,Girls,0.16,0.8,22.44
2013,Kolhapur,ST,Overall,6.87,12.08,26.28
2013,Kolhapur,ST,Boys,6.62,13.95,26.49
2013,Kolhapur,ST,Girls,7.19,9.67,25.99
2013,Latur,Overall,Overall,1.26,2.68,14.56
2013,Latur,Overall,Boys,0.45,1.24,14.4
2013,Latur,Overall,Girls,2.18,4.41,14.79
2013,Latur,General,Overall,2.72,4.73,15.81
2013,Latur,General,Boys,2.19,3.64,16.79
2013,Latur,General,Girls,3.34,6.02,14.54
2013,Latur,OBC,Overall,0.0,0.0,7.1
2013,Latur,OBC,Boys,0.0,0.0,6.03
2013,Latur,OBC,Girls,0.0,0.0,8.68
2013,Latur,SC,Overall,3.63,4.52,19.82
2013,Latur,SC,Boys,3.32,3.08,18.69
2013,Latur,SC,Girls,3.97,6.13,21.28
2013,Latur,ST,Overall,18.87,22.33,32.49
2013,Latur,ST,Boys,16.09,21.04,32.07
2013,Latur,ST,Girls,22.07,24.05,33.12
2013,Mumbai,Overall,Overall,0.0,0.0,4.73
2013,Mumbai,Overall,Boys,0.0,0.0,6.42
2013,Mumbai,Overall,Girls,0.0,0.0,2.76
2013,Mumbai,General,Overall,0.0,0.0,3.57
2013,Mumbai,General,Boys,0.0,0.0,4.99
2013,Mumbai,General,Girls,0.0,0.0,1.91
2013,Mumbai,OBC,Overall,0.0,0.0,5.45
2013,Mumbai,OBC,Boys,0.0,0.0,7.05
2013,Mumbai,OBC,Girls,0.0,0.0,3.69
2013,Mumbai,SC,Overall,0.0,0.0,12.15
2013,Mumbai,SC,Boys,0.0,0.0,15.57
2013,Mumbai,SC,Girls,0.0,0.0,8.22
2013,Mumbai,ST,Overall,0.0,4.45,16.72
2013,Mumbai,ST,Boys,0.0,4.91,26.96
2013,Mumbai,ST,Girls,0.0,3.9,4.57
2013,Mumbai Suburban,Overall,Overall,15.39,31.69,58.62
2013,Mumbai Suburban,Overall,Boys,15.4,30.53,60.4
2013,Mumbai Suburban,Overall,Girls,15.38,32.86,56.79
2013,Mumbai Suburban,General,Overall,15.03,28.32,58.99
2013,Mumbai Suburban,General,Boys,14.9,26.85,60.96
2013,Mumbai Suburban,General,Girls,15.17,29.8,56.97
2013,Mumbai Suburban,OBC,Overall,21.07,38.52,58.42
2013,Mumbai Suburban,OBC,Boys,22.78,37.48,58.82
2013,Mumbai Suburban,OBC,Girls,19.27,39.52,58.01
2013,Mumbai Suburban,SC,Overall,12.0,38.34,57.46
2013,Mumbai Suburban,SC,Boys,11.58,38.26,59.79
2013,Mumbai Suburban,SC,Girls,12.43,38.43,54.91
2013,Mumbai Suburban,ST,Overall,23.93,43.65,55.23
2013,Mumbai Suburban,ST,Boys,23.84,43.73,55.46
2013,Mumbai Suburban,ST,Girls,24.03,43.57,55.0
2013,Nagpur,Overall,Overall,2.51,0.68,13.51
2013,Nagpur,Overall,Boys,2.73,0.31,15.89
2013,Nagpur,Overall,Girls,2.26,1.09,10.99
2013,Nagpur,General,Overall,2.67,0.0,6.49
2013,Nagpur,General,Boys,3.14,0.07,7.8
2013,Nagpur,General,Girls,2.15,0.0,5.09
2013,Nagpur,OBC,Overall,0.86,0.18,13.87
2013,Nagpur,OBC,Boys,0.92,0.0,16.46
2013,Nagpur,OBC,Girls,0.8,1.01,11.13
2013,Nagpur,SC,Overall,3.6,0.34,14.85
2013,Nagpur,SC,Boys,4.09,0.0,17.59
