Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2019,Dharashiv,Rural,Upper Primary School (I-VIII),,36.0,424.0,0.0,17.0
2019,Dharashiv,Rural,Secondary School (VI-X),,109.0,0.0,1.0,11.0
2019,Dharashiv,Rural,Secondary School (I-X),,100.0,34.0,2.0,12.0
2019,Dharashiv,Rural,Higher Secondary School (I-XII),,46.0,2.0,0.0,6.0
2019,Dharashiv,Urban,Primary School (I-V),,32.0,48.0,4.0,38.0
2019,Dharashiv,Urban,Upper Primary School (I-VIII),,50.0,24.0,2.0,27.0
2019,Dharashiv,Urban,Secondary School (VI-X),,16.0,1.0,2.0,11.0
2019,Dharashiv,Urban,Secondary School (I-X),,27.0,12.0,0.0,7.0
2019,Dharashiv,Urban,Higher Secondary School (I-XII),,15.0,2.0,0.0,4.0
2020,Dharashiv,Rural,Primary School (I-V),,14.0,564.0,0.0,52.0
2020,Dharashiv,Rural,Upper Primary School (I-VIII),,36.0,425.0,0.0,16.0
2020,Dharashiv,Rural,Secondary School (VI-X),,108.0,0.0,1.0,12.0
2020,Dharashiv,Rural,Secondary School (I-X),,100.0,34.0,2.0,12.0
2020,Dharashiv,Rural,Higher Secondary School (I-XII),,46.0,2.0,0.0,9.0
2020,Dharashiv,Urban,Primary School (I-V),,32.0,48.0,4.0,39.0
2020,Dharashiv,Urban,Upper Primary School (I-VIII),,49.0,24.0,2.0,25.0
2020,Dharashiv,Urban,Secondary School (VI-X),,16.0,1.0,2.0,11.0
2020,Dharashiv,Urban,Secondary School (I-X),,26.0,12.0,0.0,8.0
2020,Dharashiv,Urban,Higher Secondary School (I-XII),,14.0,2.0,0.0,6.0
2021,Dharashiv,Rural,Primary School (I-V),,16.0,572.0,0.0,51.0
2021,Dharashiv,Rural,Upper Primary School (I-VIII),,42.0,428.0,0.0,18.0
2021,Dharashiv,Rural,Secondary School (VI-X),,109.0,0.0,2.0,13.0
2021,Dharashiv,Rural,Secondary School (I-X),,103.0,35.0,2.0,11.0
2021,Dharashiv,Rural,Higher Secondary School (I-XII),,49.0,2.0,0.0,10.0
2021,Dharashiv,Urban,Primary School (I-V),,30.0,42.0,4.0,29.0
2021,Dharashiv,Urban,Upper Primary School (I-VIII),,44.0,21.0,2.0,22.0
2021,Dharashiv,Urban,Secondary School (VI-X),,15.0,1.0,1.0,10.0
2021,Dharashiv,Urban,Secondary School (I-X),,23.0,11.0,0.0,6.0
2021,Dharashiv,Urban,Higher Secondary School (I-XII),,12.0,2.0,0.0,5.0
2012,Dhule,Rural,Primary School (I-V),,37.0,1065.0,15.0,46.0
2012,Dhule,Rural,Upper Primary School (I-VIII),,17.0,43.0,46.0,12.0
2012,Dhule,Rural,Secondary School (VI-X),,4.0,0.0,12.0,11.0
2012,Dhule,Rural,Secondary School (I-X),,179.0,0.0,14.0,16.0
2012,Dhule,Rural,Higher Secondary School (I-XII),,94.0,0.0,9.0,2.0
2012,Dhule,Urban,Primary School (I-V),,43.0,14.0,20.0,9.0
2012,Dhule,Urban,Upper Primary School (I-VIII),,43.0,4.0,13.0,9.0
2012,Dhule,Urban,Secondary School (VI-X),,8.0,0.0,0.0,9.0
2012,Dhule,Urban,Secondary School (I-X),,28.0,0.0,5.0,9.0
2012,Dhule,Urban,Higher Secondary School (I-XII),,30.0,1.0,0.0,1.0
2013,Dhule,Rural,Primary School (I-V),0.0,45.0,1066.0,6.0,69.0
2013,Dhule,Rural,Upper Primary School (I-VIII),0.0,49.0,44.0,10.0,16.0
2013,Dhule,Rural,Secondary School (VI-X),1.0,29.0,0.0,1.0,12.0
2013,Dhule,Rural,Secondary School (I-X),0.0,188.0,0.0,8.0,18.0
2013,Dhule,Rural,Higher Secondary School (I-XII),0.0,96.0,0.0,6.0,3.0
2013,Dhule,Urban,Primary School (I-V),0.0,46.0,28.0,0.0,14.0
2013,Dhule,Urban,Upper Primary School (I-VIII),0.0,48.0,11.0,0.0,10.0
2013,Dhule,Urban,Secondary School (VI-X),0.0,8.0,0.0,0.0,11.0
2013,Dhule,Urban,Secondary School (I-X),1.0,29.0,1.0,2.0,9.0
2013,Dhule,Urban,Higher Secondary School (I-XII),0.0,30.0,1.0,0.0,1.0
2014,Dhule,Rural,Primary School (I-V),0.0,45.0,1065.0,3.0,69.0
2014,Dhule,Rural,Upper Primary School (I-VIII),0.0,51.0,44.0,11.0,16.0
2014,Dhule,Rural,Secondary School (VI-X),1.0,29.0,0.0,0.0,14.0
2014,Dhule,Rural,Secondary School (I-X),0.0,193.0,0.0,7.0,14.0
2014,Dhule,Rural,Higher Secondary School (I-XII),0.0,97.0,0.0,6.0,2.0
2014,Dhule,Urban,Primary School (I-V),0.0,47.0,28.0,0.0,13.0
2014,Dhule,Urban,Upper Primary School (I-VIII),0.0,49.0,11.0,0.0,11.0
2014,Dhule,Urban,Secondary School (VI-X),0.0,9.0,0.0,0.0,10.0
2014,Dhule,Urban,Secondary School (I-X),1.0,30.0,1.0,2.0,10.0
2014,Dhule,Urban,Higher Secondary School (I-XII),0.0,30.0,1.0,0.0,1.0
2015,Dhule,Rural,Primary School (I-V),1.0,45.0,1061.0,1.0,74.0
2015,Dhule,Rural,Upper Primary School (I-VIII),0.0,51.0,44.0,10.0,25.0
2015,Dhule,Rural,Secondary School (VI-X),1.0,29.0,0.0,0.0,11.0
2015,Dhule,Rural,Secondary School (I-X),0.0,195.0,0.0,7.0,13.0
2015,Dhule,Rural,Higher Secondary School (I-XII),0.0,96.0,0.0,6.0,4.0
2015,Dhule,Urban,Primary School (I-V),0.0,47.0,27.0,0.0,14.0
2015,Dhule,Urban,Upper Primary School (I-VIII),0.0,50.0,11.0,0.0,11.0
2015,Dhule,Urban,Secondary School (VI-X),0.0,10.0,0.0,0.0,9.0
2015,Dhule,Urban,Secondary School (I-X),1.0,31.0,1.0,2.0,10.0
2015,Dhule,Urban,Higher Secondary School (I-XII),0.0,30.0,1.0,0.0,1.0
2016,Dhule,Rural,Primary School (I-V),0.0,45.0,1059.0,0.0,90.0
2016,Dhule,Rural,Upper Primary School (I-VIII),0.0,55.0,44.0,9.0,19.0
2016,Dhule,Rural,Secondary School (VI-X),1.0,30.0,0.0,0.0,10.0
2016,Dhule,Rural,Secondary School (I-X),0.0,195.0,0.0,8.0,16.0
2016,Dhule,Rural,Higher Secondary School (I-XII),0.0,97.0,0.0,6.0,4.0
2016,Dhule,Urban,Primary School (I-V),0.0,48.0,27.0,1.0,20.0
2016,Dhule,Urban,Upper Primary School (I-VIII),0.0,50.0,11.0,0.0,13.0
2016,Dhule,Urban,Secondary School (VI-X),0.0,11.0,0.0,0.0,9.0
2016,Dhule,Urban,Secondary School (I-X),1.0,30.0,1.0,2.0,11.0
2016,Dhule,Urban,Higher Secondary School (I-XII),0.0,30.0,1.0,0.0,1.0
2017,Dhule,Rural,Primary School (I-V),,47.0,1043.0,0.0,69.0
2017,Dhule,Rural,Upper Primary School (I-VIII),,66.0,60.0,8.0,31.0
2017,Dhule,Rural,Secondary School (VI-X),,23.0,0.0,3.0,3.0
2017,Dhule,Rural,Secondary School (I-X),,189.0,0.0,8.0,22.0
2017,Dhule,Rural,Higher Secondary School (I-XII),,105.0,0.0,6.0,4.0
2017,Dhule,Urban,Primary School (I-V),,47.0,25.0,1.0,20.0
2017,Dhule,Urban,Upper Primary School (I-VIII),,51.0,13.0,0.0,13.0
2017,Dhule,Urban,Secondary School (VI-X),,7.0,0.0,1.0,6.0
2017,Dhule,Urban,Secondary School (I-X),,35.0,1.0,1.0,13.0
2017,Dhule,Urban,Higher Secondary School (I-XII),,31.0,1.0,1.0,3.0
2018,Dhule,Rural,Primary School (I-V),,49.0,1045.0,0.0,67.0
2018,Dhule,Rural,Upper Primary School (I-VIII),,66.0,59.0,8.0,32.0
2018,Dhule,Rural,Secondary School (VI-X),,30.0,0.0,4.0,2.0
2018,Dhule,Rural,Secondary School (I-X),,184.0,0.0,8.0,24.0
2018,Dhule,Rural,Higher Secondary School (I-XII),,105.0,0.0,6.0,4.0
2018,Dhule,Urban,Primary School (I-V),,46.0,24.0,1.0,21.0
2018,Dhule,Urban,Upper Primary School (I-VIII),,50.0,11.0,1.0,13.0
2018,Dhule,Urban,Secondary School (VI-X),,9.0,0.0,1.0,7.0
2018,Dhule,Urban,Secondary School (I-X),,33.0,1.0,1.0,12.0
2018,Dhule,Urban,Higher Secondary School (I-XII),,31.0,1.0,1.0,3.0
2019,Dhule,Rural,Primary School (I-V),,49.0,1049.0,0.0,70.0
2019,Dhule,Rural,Upper Primary School (I-VIII),,66.0,56.0,8.0,31.0
2019,Dhule,Rural,Secondary School (VI-X),,30.0,0.0,2.0,3.0
2019,Dhule,Rural,Secondary School (I-X),,184.0,0.0,9.0,28.0
2019,Dhule,Rural,Higher Secondary School (I-XII),,105.0,0.0,6.0,4.0
2019,Dhule,Urban,Primary School (I-V),,46.0,24.0,1.0,21.0
2019,Dhule,Urban,Upper Primary School (I-VIII),,50.0,11.0,1.0,13.0
2019,Dhule,Urban,Secondary School (VI-X),,9.0,0.0,1.0,7.0
2019,Dhule,Urban,Secondary School (I-X),,33.0,1.0,1.0,11.0
2019,Dhule,Urban,Higher Secondary School (I-XII),,31.0,1.0,1.0,4.0
2020,Dhule,Rural,Primary School (I-V),,49.0,1049.0,0.0,69.0
2020,Dhule,Rural,Upper Primary School (I-VIII),,66.0,56.0,8.0,31.0
2020,Dhule,Rural,Secondary School (VI-X),,30.0,0.0,2.0,3.0
2020,Dhule,Rural,Secondary School (I-X),,184.0,0.0,9.0,32.0
2020,Dhule,Rural,Higher Secondary School (I-XII),,105.0,0.0,7.0,4.0
2020,Dhule,Urban,Primary School (I-V),,46.0,24.0,1.0,20.0
2020,Dhule,Urban,Upper Primary School (I-VIII),,49.0,11.0,2.0,13.0
2020,Dhule,Urban,Secondary School (VI-X),,9.0,0.0,1.0,7.0
2020,Dhule,Urban,Secondary School (I-X),,33.0,1.0,1.0,12.0
2020,Dhule,Urban,Higher Secondary School (I-XII),,31.0,1.0,1.0,4.0
2021,Dhule,Rural,Primary School (I-V),,44.0,1040.0,0.0,59.0
2021,Dhule,Rural,Upper Primary School (I-VIII),,61.0,54.0,8.0,30.0
2021,Dhule,Rural,Secondary School (VI-X),,30.0,0.0,2.0,3.0
2021,Dhule,Rural,Secondary School (I-X),,181.0,0.0,8.0,33.0
2021,Dhule,Rural,Higher Secondary School (I-XII),,100.0,0.0,7.0,5.0
2021,Dhule,Urban,Primary School (I-V),,52.0,34.0,0.0,20.0
2021,Dhule,Urban,Upper Primary School (I-VIII),,55.0,12.0,1.0,16.0
2021,Dhule,Urban,Secondary School (VI-X),,10.0,0.0,1.0,6.0
2021,Dhule,Urban,Secondary School (I-X),,38.0,1.0,1.0,13.0
2021,Dhule,Urban,Higher Secondary School (I-XII),,36.0,1.0,1.0,5.0
2012,Gadchiroli,Rural,Primary School (I-V),,10.0,1147.0,12.0,29.0
2012,Gadchiroli,Rural,Upper Primary School (I-VIII),,13.0,390.0,41.0,23.0
2012,Gadchiroli,Rural,Secondary School (VI-X),,22.0,1.0,10.0,49.0
2012,Gadchiroli,Rural,Secondary School (I-X),,34.0,8.0,50.0,16.0
2012,Gadchiroli,Rural,Higher Secondary School (I-XII),,64.0,4.0,24.0,2.0
2012,Gadchiroli,Urban,Primary School (I-V),,5.0,14.0,2.0,11.0
2012,Gadchiroli,Urban,Upper Primary School (I-VIII),,2.0,5.0,5.0,2.0
2012,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2012,Gadchiroli,Urban,Secondary School (I-X),,4.0,0.0,2.0,4.0
2012,Gadchiroli,Urban,Higher Secondary School (I-XII),,8.0,1.0,0.0,1.0
2013,Gadchiroli,Rural,Primary School (I-V),0.0,14.0,1150.0,6.0,35.0
2013,Gadchiroli,Rural,Upper Primary School (I-VIII),0.0,33.0,390.0,12.0,29.0
2013,Gadchiroli,Rural,Secondary School (VI-X),0.0,0.0,0.0,80.0,0.0
2013,Gadchiroli,Rural,Secondary School (I-X),0.0,57.0,8.0,22.0,21.0
2013,Gadchiroli,Rural,Higher Secondary School (I-XII),0.0,68.0,4.0,19.0,3.0
2013,Gadchiroli,Urban,Primary School (I-V),,5.0,14.0,2.0,12.0
2013,Gadchiroli,Urban,Upper Primary School (I-VIII),,5.0,5.0,0.0,3.0
2013,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2013,Gadchiroli,Urban,Secondary School (I-X),,4.0,0.0,0.0,6.0
2013,Gadchiroli,Urban,Higher Secondary School (I-XII),,8.0,1.0,0.0,1.0
2014,Gadchiroli,Rural,Primary School (I-V),0.0,14.0,1151.0,5.0,36.0
2014,Gadchiroli,Rural,Upper Primary School (I-VIII),0.0,36.0,390.0,6.0,27.0
2014,Gadchiroli,Rural,Secondary School (VI-X),0.0,31.0,1.0,0.0,47.0
2014,Gadchiroli,Rural,Secondary School (I-X),0.0,67.0,8.0,20.0,12.0
2014,Gadchiroli,Rural,Higher Secondary School (I-XII),0.0,70.0,4.0,19.0,1.0
2014,Gadchiroli,Urban,Primary School (I-V),,5.0,13.0,2.0,13.0
2014,Gadchiroli,Urban,Upper Primary School (I-VIII),,4.0,5.0,0.0,3.0
2014,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2014,Gadchiroli,Urban,Secondary School (I-X),,4.0,0.0,0.0,5.0
2014,Gadchiroli,Urban,Higher Secondary School (I-XII),,8.0,1.0,0.0,1.0
2015,Gadchiroli,Rural,Primary School (I-V),2.0,13.0,1148.0,2.0,36.0
2015,Gadchiroli,Rural,Upper Primary School (I-VIII),0.0,35.0,390.0,5.0,29.0
2015,Gadchiroli,Rural,Secondary School (VI-X),0.0,34.0,1.0,2.0,43.0
2015,Gadchiroli,Rural,Secondary School (I-X),0.0,69.0,8.0,21.0,11.0
2015,Gadchiroli,Rural,Higher Secondary School (I-XII),0.0,70.0,4.0,19.0,1.0
2015,Gadchiroli,Urban,Primary School (I-V),1.0,6.0,13.0,0.0,12.0
2015,Gadchiroli,Urban,Upper Primary School (I-VIII),0.0,4.0,5.0,0.0,3.0
2015,Gadchiroli,Urban,Secondary School (VI-X),0.0,0.0,0.0,0.0,0.0
2015,Gadchiroli,Urban,Secondary School (I-X),0.0,4.0,0.0,0.0,5.0
2015,Gadchiroli,Urban,Higher Secondary School (I-XII),0.0,8.0,1.0,0.0,1.0
2016,Gadchiroli,Rural,Primary School (I-V),0.0,13.0,1145.0,3.0,42.0
2016,Gadchiroli,Rural,Upper Primary School (I-VIII),0.0,36.0,390.0,6.0,31.0
2016,Gadchiroli,Rural,Secondary School (VI-X),0.0,31.0,1.0,3.0,45.0
2016,Gadchiroli,Rural,Secondary School (I-X),0.0,64.0,8.0,21.0,15.0
2016,Gadchiroli,Rural,Higher Secondary School (I-XII),0.0,69.0,4.0,19.0,2.0
2016,Gadchiroli,Urban,Primary School (I-V),,6.0,13.0,1.0,12.0
2016,Gadchiroli,Urban,Upper Primary School (I-VIII),,4.0,5.0,0.0,3.0
2016,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2016,Gadchiroli,Urban,Secondary School (I-X),,4.0,0.0,0.0,6.0
2016,Gadchiroli,Urban,Higher Secondary School (I-XII),,8.0,1.0,0.0,1.0
2017,Gadchiroli,Rural,Primary School (I-V),,12.0,1141.0,1.0,36.0
2017,Gadchiroli,Rural,Upper Primary School (I-VIII),,36.0,392.0,4.0,31.0
2017,Gadchiroli,Rural,Secondary School (VI-X),,63.0,6.0,7.0,13.0
2017,Gadchiroli,Rural,Secondary School (I-X),,69.0,3.0,21.0,15.0
2017,Gadchiroli,Rural,Higher Secondary School (I-XII),,68.0,4.0,18.0,0.0
2017,Gadchiroli,Urban,Primary School (I-V),,7.0,13.0,0.0,9.0
2017,Gadchiroli,Urban,Upper Primary School (I-VIII),,3.0,5.0,1.0,8.0
2017,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,1.0,0.0
2017,Gadchiroli,Urban,Secondary School (I-X),,4.0,0.0,1.0,6.0
2017,Gadchiroli,Urban,Higher Secondary School (I-XII),,9.0,1.0,0.0,1.0
2018,Gadchiroli,Rural,Primary School (I-V),,12.0,1125.0,0.0,32.0
2018,Gadchiroli,Rural,Upper Primary School (I-VIII),,35.0,392.0,3.0,30.0
2018,Gadchiroli,Rural,Secondary School (VI-X),,62.0,6.0,8.0,13.0
2018,Gadchiroli,Rural,Secondary School (I-X),,71.0,3.0,21.0,17.0
2018,Gadchiroli,Rural,Higher Secondary School (I-XII),,69.0,4.0,18.0,2.0
2018,Gadchiroli,Urban,Primary School (I-V),,7.0,13.0,0.0,9.0
2018,Gadchiroli,Urban,Upper Primary School (I-VIII),,3.0,5.0,0.0,7.0
2018,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2018,Gadchiroli,Urban,Secondary School (I-X),,4.0,0.0,1.0,6.0
2018,Gadchiroli,Urban,Higher Secondary School (I-XII),,9.0,1.0,0.0,2.0
2019,Gadchiroli,Rural,Primary School (I-V),,14.0,1105.0,0.0,28.0
2019,Gadchiroli,Rural,Upper Primary School (I-VIII),,37.0,392.0,3.0,29.0
2019,Gadchiroli,Rural,Secondary School (VI-X),,62.0,6.0,7.0,13.0
2019,Gadchiroli,Rural,Secondary School (I-X),,70.0,3.0,22.0,18.0
2019,Gadchiroli,Rural,Higher Secondary School (I-XII),,70.0,4.0,18.0,3.0
2019,Gadchiroli,Urban,Primary School (I-V),,7.0,13.0,0.0,7.0
2019,Gadchiroli,Urban,Upper Primary School (I-VIII),,4.0,5.0,0.0,8.0
2019,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2019,Gadchiroli,Urban,Secondary School (I-X),,5.0,0.0,1.0,6.0
2019,Gadchiroli,Urban,Higher Secondary School (I-XII),,9.0,1.0,0.0,3.0
2020,Gadchiroli,Rural,Primary School (I-V),,14.0,1097.0,0.0,26.0
2020,Gadchiroli,Rural,Upper Primary School (I-VIII),,38.0,397.0,3.0,30.0
2020,Gadchiroli,Rural,Secondary School (VI-X),,62.0,9.0,3.0,13.0
2020,Gadchiroli,Rural,Secondary School (I-X),,71.0,1.0,22.0,18.0
2020,Gadchiroli,Rural,Higher Secondary School (I-XII),,69.0,6.0,18.0,2.0
2020,Gadchiroli,Urban,Primary School (I-V),,7.0,13.0,0.0,8.0
2020,Gadchiroli,Urban,Upper Primary School (I-VIII),,4.0,5.0,0.0,8.0
2020,Gadchiroli,Urban,Secondary School (VI-X),,0.0,0.0,0.0,0.0
2020,Gadchiroli,Urban,Secondary School (I-X),,5.0,0.0,1.0,5.0
2020,Gadchiroli,Urban,Higher Secondary School (I-XII),,9.0,1.0,0.0,4.0
2021,Gadchiroli,Rural,Primary School (I-V),,9.0,1052.0,0.0,13.0
2021,Gadchiroli,Rural,Upper Primary School (I-VIII),,27.0,386.0,1.0,11.0
2021,Gadchiroli,Rural,Secondary School (VI-X),,57.0,2.0,2.0,11.0
2021,Gadchiroli,Rural,Secondary School (I-X),,63.0,1.0,22.0,12.0
2021,Gadchiroli,Rural,Higher Secondary School (I-XII),,53.0,3.0,17.0,1.0
2021,Gadchiroli,Urban,Primary School (I-V),,10.0,57.0,0.0,17.0
2021,Gadchiroli,Urban,Upper Primary School (I-VIII),,15.0,16.0,1.0,23.0
2021,Gadchiroli,Urban,Secondary School (VI-X),,5.0,7.0,1.0,2.0
2021,Gadchiroli,Urban,Secondary School (I-X),,12.0,0.0,2.0,14.0
2021,Gadchiroli,Urban,Higher Secondary School (I-XII),,26.0,4.0,1.0,6.0
2012,Gondia,Rural,Primary School (I-V),,22.0,629.0,12.0,40.0
2012,Gondia,Rural,Upper Primary School (I-VIII),,21.0,418.0,42.0,23.0
2012,Gondia,Rural,Secondary School (VI-X),,35.0,0.0,18.0,14.0
2012,Gondia,Rural,Secondary School (I-X),,38.0,8.0,10.0,8.0
2012,Gondia,Rural,Higher Secondary School (I-XII),,71.0,12.0,8.0,8.0
2012,Gondia,Urban,Primary School (I-V),,9.0,22.0,6.0,8.0
2012,Gondia,Urban,Upper Primary School (I-VIII),,9.0,6.0,1.0,27.0
2012,Gondia,Urban,Secondary School (VI-X),,2.0,0.0,0.0,7.0
2012,Gondia,Urban,Secondary School (I-X),,6.0,5.0,1.0,8.0
2012,Gondia,Urban,Higher Secondary School (I-XII),,7.0,2.0,0.0,2.0
2013,Gondia,Rural,Primary School (I-V),0.0,21.0,627.0,7.0,46.0
2013,Gondia,Rural,Upper Primary School (I-VIII),1.0,47.0,418.0,6.0,32.0
2013,Gondia,Rural,Secondary School (VI-X),0.0,0.0,0.0,66.0,0.0
2013,Gondia,Rural,Secondary School (I-X),0.0,43.0,8.0,4.0,10.0
2013,Gondia,Rural,Higher Secondary School (I-XII),0.0,70.0,12.0,8.0,10.0
2013,Gondia,Urban,Primary School (I-V),,10.0,21.0,2.0,11.0
2013,Gondia,Urban,Upper Primary School (I-VIII),,11.0,6.0,0.0,27.0
2013,Gondia,Urban,Secondary School (VI-X),,0.0,0.0,9.0,0.0
2013,Gondia,Urban,Secondary School (I-X),,6.0,5.0,0.0,8.0
2013,Gondia,Urban,Higher Secondary School (I-XII),,7.0,2.0,0.0,2.0
2014,Gondia,Rural,Primary School (I-V),0.0,22.0,626.0,6.0,58.0
2014,Gondia,Rural,Upper Primary School (I-VIII),1.0,48.0,418.0,3.0,34.0
2014,Gondia,Rural,Secondary School (VI-X),0.0,56.0,0.0,1.0,13.0
2014,Gondia,Rural,Secondary School (I-X),0.0,44.0,8.0,4.0,9.0
2014,Gondia,Rural,Higher Secondary School (I-XII),0.0,75.0,12.0,7.0,7.0
2014,Gondia,Urban,Primary School (I-V),,10.0,21.0,2.0,13.0
2014,Gondia,Urban,Upper Primary School (I-VIII),,12.0,6.0,0.0,28.0
2014,Gondia,Urban,Secondary School (VI-X),,2.0,0.0,0.0,8.0
2014,Gondia,Urban,Secondary School (I-X),,6.0,5.0,0.0,7.0
2014,Gondia,Urban,Higher Secondary School (I-XII),,8.0,2.0,0.0,2.0
2015,Gondia,Rural,Primary School (I-V),3.0,22.0,626.0,4.0,61.0
2015,Gondia,Rural,Upper Primary School (I-VIII),1.0,49.0,418.0,2.0,35.0
2015,Gondia,Rural,Secondary School (VI-X),0.0,56.0,0.0,2.0,10.0
2015,Gondia,Rural,Secondary School (I-X),0.0,45.0,8.0,4.0,8.0
2015,Gondia,Rural,Higher Secondary School (I-XII),0.0,76.0,12.0,7.0,5.0
2015,Gondia,Urban,Primary School (I-V),1.0,10.0,20.0,0.0,12.0
2015,Gondia,Urban,Upper Primary School (I-VIII),0.0,12.0,6.0,0.0,29.0
2015,Gondia,Urban,Secondary School (VI-X),0.0,2.0,0.0,0.0,9.0
2015,Gondia,Urban,Secondary School (I-X),0.0,6.0,5.0,0.0,7.0
2015,Gondia,Urban,Higher Secondary School (I-XII),0.0,8.0,2.0,0.0,2.0
2016,Gondia,Rural,Primary School (I-V),0.0,23.0,626.0,4.0,64.0
2016,Gondia,Rural,Upper Primary School (I-VIII),1.0,50.0,418.0,2.0,34.0
2016,Gondia,Rural,Secondary School (VI-X),0.0,57.0,0.0,3.0,8.0
2016,Gondia,Rural,Secondary School (I-X),0.0,46.0,8.0,4.0,8.0
2016,Gondia,Rural,Higher Secondary School (I-XII),0.0,76.0,12.0,7.0,6.0
2016,Gondia,Urban,Primary School (I-V),,10.0,19.0,0.0,14.0
2016,Gondia,Urban,Upper Primary School (I-VIII),,12.0,6.0,0.0,29.0
2016,Gondia,Urban,Secondary School (VI-X),,2.0,0.0,0.0,7.0
2016,Gondia,Urban,Secondary School (I-X),,6.0,5.0,0.0,7.0
2016,Gondia,Urban,Higher Secondary School (I-XII),,8.0,2.0,0.0,2.0
2017,Gondia,Rural,Primary School (I-V),,22.0,620.0,2.0,55.0
2017,Gondia,Rural,Upper Primary School (I-VIII),,47.0,418.0,1.0,42.0
2017,Gondia,Rural,Secondary School (VI-X),,55.0,0.0,4.0,7.0
2017,Gondia,Rural,Secondary School (I-X),,43.0,5.0,5.0,14.0
2017,Gondia,Rural,Higher Secondary School (I-XII),,74.0,15.0,7.0,6.0
2017,Gondia,Urban,Primary School (I-V),,7.0,19.0,0.0,11.0
2017,Gondia,Urban,Upper Primary School (I-VIII),,15.0,7.0,0.0,26.0
2017,Gondia,Urban,Secondary School (VI-X),,2.0,0.0,0.0,7.0
2017,Gondia,Urban,Secondary School (I-X),,7.0,5.0,0.0,11.0
2017,Gondia,Urban,Higher Secondary School (I-XII),,6.0,2.0,0.0,6.0
2018,Gondia,Rural,Primary School (I-V),,22.0,594.0,4.0,53.0
2018,Gondia,Rural,Upper Primary School (I-VIII),,47.0,418.0,1.0,45.0
2018,Gondia,Rural,Secondary School (VI-X),,58.0,0.0,3.0,3.0
2018,Gondia,Rural,Secondary School (I-X),,43.0,5.0,5.0,17.0
2018,Gondia,Rural,Higher Secondary School (I-XII),,74.0,15.0,7.0,9.0
2018,Gondia,Urban,Primary School (I-V),,7.0,19.0,1.0,12.0
2018,Gondia,Urban,Upper Primary School (I-VIII),,15.0,7.0,0.0,27.0
2018,Gondia,Urban,Secondary School (VI-X),,2.0,0.0,0.0,7.0
2018,Gondia,Urban,Secondary School (I-X),,7.0,5.0,0.0,11.0
2018,Gondia,Urban,Higher Secondary School (I-XII),,6.0,2.0,0.0,6.0
2019,Gondia,Rural,Primary School (I-V),,19.0,589.0,3.0,42.0
2019,Gondia,Rural,Upper Primary School (I-VIII),,44.0,409.0,0.0,39.0
2019,Gondia,Rural,Secondary School (VI-X),,56.0,0.0,3.0,3.0
2019,Gondia,Rural,Secondary School (I-X),,38.0,4.0,5.0,15.0
2019,Gondia,Rural,Higher Secondary School (I-XII),,67.0,15.0,7.0,7.0
2019,Gondia,Urban,Primary School (I-V),,10.0,24.0,2.0,17.0
2019,Gondia,Urban,Upper Primary School (I-VIII),,21.0,16.0,0.0,33.0
2019,Gondia,Urban,Secondary School (VI-X),,5.0,0.0,0.0,4.0
2019,Gondia,Urban,Secondary School (I-X),,13.0,5.0,0.0,19.0
2019,Gondia,Urban,Higher Secondary School (I-XII),,13.0,3.0,0.0,8.0
2020,Gondia,Rural,Primary School (I-V),,19.0,589.0,3.0,37.0
2020,Gondia,Rural,Upper Primary School (I-VIII),,44.0,409.0,0.0,34.0
2020,Gondia,Rural,Secondary School (VI-X),,57.0,0.0,3.0,2.0
2020,Gondia,Rural,Secondary School (I-X),,38.0,4.0,5.0,19.0
2020,Gondia,Rural,Higher Secondary School (I-XII),,67.0,15.0,7.0,13.0
2020,Gondia,Urban,Primary School (I-V),,11.0,24.0,1.0,12.0
2020,Gondia,Urban,Upper Primary School (I-VIII),,21.0,16.0,0.0,31.0
2020,Gondia,Urban,Secondary School (VI-X),,5.0,0.0,0.0,4.0
2020,Gondia,Urban,Secondary School (I-X),,13.0,5.0,0.0,20.0
2020,Gondia,Urban,Higher Secondary School (I-XII),,12.0,3.0,0.0,15.0
2021,Gondia,Rural,Primary School (I-V),,19.0,582.0,2.0,32.0
2021,Gondia,Rural,Upper Primary School (I-VIII),,44.0,416.0,0.0,33.0
2021,Gondia,Rural,Secondary School (VI-X),,56.0,0.0,3.0,2.0
2021,Gondia,Rural,Secondary School (I-X),,38.0,4.0,4.0,21.0
2021,Gondia,Rural,Higher Secondary School (I-XII),,66.0,13.0,7.0,14.0
2021,Gondia,Urban,Primary School (I-V),,11.0,29.0,0.0,13.0
2021,Gondia,Urban,Upper Primary School (I-VIII),,22.0,10.0,0.0,29.0
2021,Gondia,Urban,Secondary School (VI-X),,6.0,0.0,0.0,4.0
