Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2014,Akola,Rural,Primary School (I-V),0.0,11.0,568.0,1.0,69.0
2014,Akola,Rural,Upper Primary School (I-VIII),0.0,28.0,328.0,4.0,23.0
2014,Akola,Rural,Secondary School (VI-X),0.0,61.0,0.0,0.0,25.0
2014,Akola,Rural,Secondary School (I-X),0.0,72.0,1.0,2.0,8.0
2014,Akola,Rural,Higher Secondary School (I-XII),0.0,80.0,3.0,0.0,1.0
2014,Akola,Urban,Primary School (I-V),,20.0,76.0,2.0,68.0
2014,Akola,Urban,Upper Primary School (I-VIII),,39.0,39.0,1.0,40.0
2014,Akola,Urban,Secondary School (VI-X),,9.0,0.0,0.0,30.0
2014,Akola,Urban,Secondary School (I-X),,38.0,6.0,0.0,23.0
2014,Akola,Urban,Higher Secondary School (I-XII),,33.0,3.0,0.0,6.0
2015,Akola,Rural,Primary School (I-V),0.0,12.0,570.0,0.0,79.0
2015,Akola,Rural,Upper Primary School (I-VIII),0.0,30.0,328.0,5.0,23.0
2015,Akola,Rural,Secondary School (VI-X),0.0,65.0,0.0,0.0,22.0
2015,Akola,Rural,Secondary School (I-X),0.0,72.0,1.0,2.0,8.0
2015,Akola,Rural,Higher Secondary School (I-XII),0.0,81.0,3.0,0.0,1.0
2015,Akola,Urban,Primary School (I-V),,23.0,57.0,1.0,67.0
2015,Akola,Urban,Upper Primary School (I-VIII),,39.0,37.0,1.0,37.0
2015,Akola,Urban,Secondary School (VI-X),,11.0,0.0,0.0,26.0
2015,Akola,Urban,Secondary School (I-X),,41.0,6.0,0.0,20.0
2015,Akola,Urban,Higher Secondary School (I-XII),,34.0,3.0,0.0,5.0
2016,Akola,Rural,Primary School (I-V),0.0,11.0,571.0,2.0,87.0
2016,Akola,Rural,Upper Primary School (I-VIII),0.0,30.0,327.0,4.0,28.0
2016,Akola,Rural,Secondary School (VI-X),0.0,65.0,0.0,0.0,24.0
2016,Akola,Rural,Secondary School (I-X),0.0,73.0,1.0,2.0,8.0
2016,Akola,Rural,Higher Secondary School (I-XII),0.0,81.0,3.0,1.0,1.0
2016,Akola,Urban,Primary School (I-V),,24.0,56.0,4.0,68.0
2016,Akola,Urban,Upper Primary School (I-VIII),,40.0,38.0,1.0,39.0
2016,Akola,Urban,Secondary School (VI-X),,11.0,0.0,0.0,26.0
2016,Akola,Urban,Secondary School (I-X),,40.0,6.0,0.0,22.0
2016,Akola,Urban,Higher Secondary School (I-XII),,35.0,3.0,0.0,4.0
2017,Akola,Rural,Primary School (I-V),,12.0,560.0,4.0,94.0
2017,Akola,Rural,Upper Primary School (I-VIII),,29.0,338.0,1.0,30.0
2017,Akola,Rural,Secondary School (VI-X),,73.0,0.0,4.0,12.0
2017,Akola,Rural,Secondary School (I-X),,65.0,0.0,2.0,13.0
2017,Akola,Rural,Higher Secondary School (I-XII),,85.0,4.0,1.0,8.0
2017,Akola,Urban,Primary School (I-V),,19.0,41.0,10.0,45.0
2017,Akola,Urban,Upper Primary School (I-VIII),,45.0,53.0,3.0,49.0
2017,Akola,Urban,Secondary School (VI-X),,20.0,1.0,0.0,19.0
2017,Akola,Urban,Secondary School (I-X),,38.0,5.0,0.0,25.0
2017,Akola,Urban,Higher Secondary School (I-XII),,40.0,2.0,0.0,8.0
2018,Akola,Rural,Primary School (I-V),,11.0,548.0,1.0,90.0
2018,Akola,Rural,Upper Primary School (I-VIII),,29.0,338.0,0.0,30.0
2018,Akola,Rural,Secondary School (VI-X),,78.0,1.0,4.0,14.0
2018,Akola,Rural,Secondary School (I-X),,65.0,1.0,2.0,15.0
2018,Akola,Rural,Higher Secondary School (I-XII),,82.0,2.0,0.0,9.0
2018,Akola,Urban,Primary School (I-V),,19.0,40.0,7.0,54.0
2018,Akola,Urban,Upper Primary School (I-VIII),,47.0,52.0,3.0,47.0
2018,Akola,Urban,Secondary School (VI-X),,18.0,0.0,0.0,18.0
2018,Akola,Urban,Secondary School (I-X),,40.0,6.0,0.0,25.0
2018,Akola,Urban,Higher Secondary School (I-XII),,39.0,3.0,0.0,10.0
2019,Akola,Rural,Primary School (I-V),,12.0,545.0,1.0,88.0
2019,Akola,Rural,Upper Primary School (I-VIII),,29.0,340.0,0.0,32.0
2019,Akola,Rural,Secondary School (VI-X),,79.0,1.0,4.0,13.0
2019,Akola,Rural,Secondary School (I-X),,65.0,1.0,2.0,16.0
2019,Akola,Rural,Higher Secondary School (I-XII),,82.0,2.0,0.0,9.0
2019,Akola,Urban,Primary School (I-V),,20.0,39.0,7.0,53.0
2019,Akola,Urban,Upper Primary School (I-VIII),,47.0,52.0,3.0,49.0
2019,Akola,Urban,Secondary School (VI-X),,17.0,0.0,0.0,17.0
2019,Akola,Urban,Secondary School (I-X),,40.0,6.0,0.0,27.0
