Year,District,Social Category,Primary School (I-V),Upper Primary School (VI-VIII),Secondary School (IX-X),Higher Secondary School (XI-XII)
2013,Dharashiv,ST,4892,2353,1106,575
2013,Dhule,Overall,210335,112134,63087,42172
2013,Dhule,General,23487,13940,8917,6247
2013,Dhule,OBC,84585,52612,33527,25802
2013,Dhule,SC,12766,7934,4887,3177
2013,Dhule,ST,89497,37648,15756,6946
2013,Gadchiroli,Overall,95704,56592,35482,25143
2013,Gadchiroli,General,7797,5082,3396,2467
2013,Gadchiroli,OBC,34245,22259,14767,11249
2013,Gadchiroli,SC,9721,6537,4427,3759
2013,Gadchiroli,ST,43941,22714,12892,7668
2013,Gondia,Overall,107305,72060,48507,38372
2013,Gondia,General,6799,4162,2865,2505
2013,Gondia,OBC,67726,45780,30431,24472
2013,Gondia,SC,13700,9119,6549,5633
2013,Gondia,ST,19080,12999,8662,5762
2013,Hingoli,Overall,123600,67717,32033,19736
2013,Hingoli,General,45490,25162,12460,7787
2013,Hingoli,OBC,39988,21362,9867,5986
2013,Hingoli,SC,23683,14136,6967,4310
2013,Hingoli,ST,14439,7057,2739,1653
2013,Jalgaon,Overall,413064,237998,135234,77992
2013,Jalgaon,General,69550,44748,26640,15405
2013,Jalgaon,OBC,207431,125612,76401,47862
2013,Jalgaon,SC,40774,25732,15010,7886
2013,Jalgaon,ST,95309,41906,17183,6839
2013,Jalna,Overall,206677,112096,53909,34195
2013,Jalna,General,90529,48340,24600,16013
2013,Jalna,OBC,76424,41889,19803,12374
2013,Jalna,SC,33763,19079,8227,5026
2013,Jalna,ST,5961,2788,1279,782
2013,Kolhapur,Overall,304227,193609,125637,85615
2013,Kolhapur,General,188439,122080,81289,58955
2013,Kolhapur,OBC,70489,43205,26991,16650
2013,Kolhapur,SC,43303,27522,16864,9755
2013,Kolhapur,ST,1996,802,493,255
2013,Latur,Overall,262677,153882,85019,60424
2013,Latur,General,117992,69353,39471,30145
2013,Latur,OBC,81703,48391,26714,19056
2013,Latur,SC,55363,31990,16426,9926
2013,Latur,ST,7619,4148,2408,1297
2013,Mumbai,Overall,203696,445512,324534,296749
2013,Mumbai,General,180423,366871,255908,237478
2013,Mumbai,OBC,11654,39914,34810,33336
2013,Mumbai,SC,10595,36115,31575,23808
2013,Mumbai,ST,1024,2612,2241,2127
2013,Mumbai Suburban,Overall,756463,114185,28305,0
2013,Mumbai Suburban,General,621815,80320,20138,0
2013,Mumbai Suburban,OBC,60473,13259,3646,0
2013,Mumbai Suburban,SC,67330,18579,4129,0
2013,Mumbai Suburban,ST,6845,2027,392,0
2013,Nagpur,Overall,392012,237825,158768,117753
2013,Nagpur,General,74296,45496,27545,24167
2013,Nagpur,OBC,202422,124187,85345,62246
2013,Nagpur,SC,74010,45857,31957,23393
2013,Nagpur,ST,41284,22285,13921,7947
2013,Nanded,Overall,345350,183377,91858,54637
2013,Nanded,General,115227,60510,30603,20956
2013,Nanded,OBC,125796,65385,32176,18604
2013,Nanded,SC,72088,40810,20994,10416
2013,Nanded,ST,32239,16672,8085,4661
2013,Nandurbar,Overall,175425,85001,44317,27663
2013,Nandurbar,General,12859,7334,4504,3385
2013,Nandurbar,OBC,26286,16130,10161,8042
2013,Nandurbar,SC,5142,3302,1958,1280
2013,Nandurbar,ST,131138,58235,27694,14956
2013,Nashik,Overall,602421,336029,191083,118081
2013,Nashik,General,162692,102788,64865,43022
2013,Nashik,OBC,188419,103032,61871,40403
2013,Nashik,SC,56467,34336,20865,11415
2013,Nashik,ST,194843,95873,43482,23241
2013,Parbhani,Overall,204860,111202,56706,36854
2013,Parbhani,General,91546,48517,25473,16568
2013,Parbhani,OBC,73303,39740,20251,13461
2013,Parbhani,SC,33579,19335,9243,5660
2013,Parbhani,ST,6432,3610,1739,1165
2013,Pune,Overall,839331,480136,286669,190134
2013,Pune,General,444242,257350,159375,110679
2013,Pune,OBC,217124,120929,70425,46773
2013,Pune,SC,139493,81167,45649,26027
2013,Pune,ST,38472,20690,11220,6655
2013,Raigad,Overall,234370,136674,88323,55896
2013,Raigad,General,83562,48139,30905,21015
2013,Raigad,OBC,94487,61163,43677,28280
2013,Raigad,SC,16403,10265,7055,4246
2013,Raigad,ST,39918,17107,6686,2355
2013,Ratnagiri,Overall,121592,89074,58664,40493
2013,Ratnagiri,General,35662,24821,16551,12750
2013,Ratnagiri,OBC,74154,55592,36470,23948
2013,Ratnagiri,SC,9562,7527,5164,3584
