Year,District,Select School Management Type,Social Category,Female,Male
2012,Dharashiv,Private Unaided,ORC,,
2012,Dharashiv,Private Unaided,Others,,
2012,Dharashiv,Local body,General,878.0,2007.0
2012,Dharashiv,Local body,OBC,583.0,1232.0
2012,Dharashiv,Local body,SC,218.0,548.0
2012,Dharashiv,Local body,ST,86.0,266.0
2012,Dharashiv,Local body,ORC,,
2012,Dharashiv,Local body,Others,,
2012,Dharashiv,Others,General,46.0,212.0
2012,Dharashiv,Others,OBC,26.0,147.0
2012,Dharashiv,Others,SC,8.0,65.0
2012,Dharashiv,Others,ST,3.0,13.0
2012,Dharashiv,Others,ORC,,
2012,Dharashiv,Others,Others,,
2012,Dhule,Government Aided,General,498.0,1537.0
2012,Dhule,Government Aided,OBC,899.0,2697.0
2012,Dhule,Government Aided,SC,183.0,343.0
2012,Dhule,Government Aided,ST,145.0,395.0
2012,Dhule,Government Aided,ORC,,
2012,Dhule,Government Aided,Others,1.0,4.0
2012,Dhule,Private Unaided,General,133.0,75.0
2012,Dhule,Private Unaided,OBC,258.0,296.0
2012,Dhule,Private Unaided,SC,19.0,24.0
2012,Dhule,Private Unaided,ST,24.0,47.0
2012,Dhule,Private Unaided,ORC,,
2012,Dhule,Private Unaided,Others,,
2012,Dhule,Local body,General,402.0,518.0
2012,Dhule,Local body,OBC,821.0,947.0
2012,Dhule,Local body,SC,159.0,184.0
2012,Dhule,Local body,ST,235.0,656.0
2012,Dhule,Local body,ORC,,
2012,Dhule,Local body,Others,1.0,1.0
2012,Dhule,Others,General,78.0,191.0
2012,Dhule,Others,OBC,116.0,457.0
2012,Dhule,Others,SC,28.0,61.0
2012,Dhule,Others,ST,34.0,121.0
2012,Dhule,Others,ORC,,1.0
2012,Dhule,Others,Others,,
2012,Gadchiroli,Government Aided,General,82.0,255.0
2012,Gadchiroli,Government Aided,OBC,206.0,1129.0
2012,Gadchiroli,Government Aided,SC,64.0,405.0
2012,Gadchiroli,Government Aided,ST,54.0,204.0
2012,Gadchiroli,Government Aided,ORC,,
2012,Gadchiroli,Government Aided,Others,,2.0
2012,Gadchiroli,Private Unaided,General,124.0,117.0
