Year,District,Taluka,Kharif,Rabi
2012,Amravati,Dharani,5253.0,4924.0
2012,Amravati,Chikhraldara,2101.0,1970.0
2012,Amravati,Anjangaon Su,7880.0,7386.0
2012,Amravati,Achalpur,9455.0,8864.0
2012,Amravati,Chandurbazar,7880.0,7386.0
2012,Amravati,Morshi,10506.0,9849.0
2012,Amravati,Warud,10506.0,9849.0
2012,Amravati,Tivas,7880.0,7386.0
2012,Amravati,Amravati,10506.0,9849.0
2012,Amravati,Bhatkuli,5253.0,4924.0
2012,Amravati,Daryapur,9455.0,8864.0
2012,Amravati,Nandgaon Kh,5253.0,4924.0
2012,Amravati,Chandur Railway,5253.0,4924.0
2012,Amravati,Dhamangaon Re,7880.0,7386.0
2013,Amravati,Dharani,4962.0,4139.0
2013,Amravati,Chikhraldara,2205.0,1840.0
2013,Amravati,Anjangaon Su,8271.0,6898.0
2013,Amravati,Achalpur,9925.0,8277.0
2013,Amravati,Chandurbazar,8822.0,7358.0
2013,Amravati,Morshi,11028.0,9197.0
2013,Amravati,Warud,12130.0,10116.0
2013,Amravati,Tivas,7719.0,6438.0
2013,Amravati,Amravati,11028.0,9197.0
2013,Amravati,Bhatkuli,5514.0,4599.0
2013,Amravati,Daryapur,10476.0,8737.0
2013,Amravati,Nandgaon Kh,6065.0,5059.0
2013,Amravati,Chandur Railway,4962.0,4139.0
2013,Amravati,Dhamangaon Re,7168.0,5979.0
2014,Amravati,Dharani,5456.0,3998.0
2014,Amravati,Chikhraldara,2425.0,1777.0
2014,Amravati,Anjangaon Su,9094.0,6663.0
2014,Amravati,Achalpur,10912.0,7995.0
2014,Amravati,Chandurbazar,9700.0,7108.0
2014,Amravati,Morshi,12125.0,8884.0
2014,Amravati,Warud,13337.0,9773.0
2014,Amravati,Tivas,8487.0,6219.0
2014,Amravati,Amravati,12125.0,8884.0
2014,Amravati,Bhatkuli,6062.0,4442.0
2014,Amravati,Daryapur,11519.0,8440.0
2014,Amravati,Nandgaon Kh,6669.0,4887.0
2014,Amravati,Chandur Railway,5456.0,3998.0
2014,Amravati,Dhamangaon Re,7881.0,5774.0
2015,Amravati,Dharani,5011.0,3004.0
2015,Amravati,Chikhraldara,2227.0,1335.0
2015,Amravati,Anjangaon Su,8351.0,5006.0
2015,Amravati,Achalpur,10021.0,6007.0
2015,Amravati,Chandurbazar,8909.0,5340.0
2015,Amravati,Morshi,11135.0,6675.0
2015,Amravati,Warud,12249.0,7342.0
2015,Amravati,Tivas,7795.0,4672.0
2015,Amravati,Amravati,11135.0,6675.0
2015,Amravati,Bhatkuli,5568.0,3337.0
2015,Amravati,Daryapur,10579.0,6341.0
2015,Amravati,Nandgaon Kh,6125.0,3671.0
2015,Amravati,Chandur Railway,5011.0,3004.0
2015,Amravati,Dhamangaon Re,7238.0,4339.0
2016,Amravati,Dharani,4998.0,2778.0
2016,Amravati,Chikhraldara,2221.0,1235.0
2016,Amravati,Anjangaon Su,8329.0,4630.0
2016,Amravati,Achalpur,9995.0,5557.0
2016,Amravati,Chandurbazar,8885.0,4939.0
2016,Amravati,Morshi,11106.0,6174.0
2016,Amravati,Warud,12216.0,6792.0
2016,Amravati,Tivas,7774.0,4322.0
2016,Amravati,Amravati,11106.0,6174.0
2016,Amravati,Bhatkuli,5552.0,3087.0
2016,Amravati,Daryapur,10550.0,5865.0
2016,Amravati,Nandgaon Kh,6108.0,3395.0
2016,Amravati,Chandur Railway,4998.0,2778.0
2016,Amravati,Dhamangaon Re,7219.0,4013.0
2017,Amravati,Dharani,5498.0,3552.0
2017,Amravati,Chikhraldara,2444.0,1578.0
2017,Amravati,Anjangaon Su,9165.0,5924.0
2017,Amravati,Achalpur,10998.0,7108.0
2017,Amravati,Chandurbazar,9776.0,6318.0
2017,Amravati,Morshi,12220.0,7898.0
2017,Amravati,Warud,13441.0,8687.0
2017,Amravati,Tivas,8554.0,5529.0
2017,Amravati,Amravati,12220.0,7898.0
2017,Amravati,Bhatkuli,6110.0,3949.0
2017,Amravati,Daryapur,11609.0,7503.0
2017,Amravati,Nandgaon Kh,6721.0,4344.0
2017,Amravati,Chandur Railway,5499.0,3554.0
2017,Amravati,Dhamangaon Re,7943.0,5134.0
2018,Amravati,Dharani,4109.0,3011.0
2018,Amravati,Chikhraldara,2054.0,1505.0
2018,Amravati,Anjangaon Su,8218.0,6022.0
2018,Amravati,Achalpur,9245.0,6774.0
2018,Amravati,Chandurbazar,8218.0,6022.0
2018,Amravati,Morshi,10272.0,7527.0
2018,Amravati,Warud,11300.0,8280.0
2018,Amravati,Tivas,7191.0,5269.0
2018,Amravati,Amravati,10272.0,7527.0
2018,Amravati,Bhatkuli,5136.0,3763.0
2018,Amravati,Daryapur,10272.0,7527.0
2018,Amravati,Nandgaon Kh,5136.0,3763.0
2018,Amravati,Chandur Railway,4109.0,3011.0
2018,Amravati,Dhamangaon Re,7191.0,5269.0
2019,Amravati,Dharani,4595.0,3130.0
2019,Amravati,Chikhraldara,2710.0,2433.0
2019,Amravati,Anjangaon Su,8350.0,5230.0
2019,Amravati,Achalpur,10925.0,12675.0
2019,Amravati,Chandurbazar,9169.0,7342.0
2019,Amravati,Morshi,8828.0,7442.0
2019,Amravati,Warud,9057.0,7700.0
2019,Amravati,Tivas,6915.0,5700.0
2019,Amravati,Amravati,11760.0,7964.0
2019,Amravati,Bhatkuli,4570.0,2490.0
2019,Amravati,Daryapur,7035.0,3473.0
2019,Amravati,Nandgaon Kh,4785.0,2930.0
2019,Amravati,Chandur Railway,4905.0,3430.0
2019,Amravati,Dhamangaon Re,7120.0,4647.0
2020,Amravati,Dharani,6417.0,4163.0
