Year,District,Taluka,Total Irrigation Wells,Wells In Use With Diesel Pump,Wells In Use With Electric Pump,Irrigation Wells Not in Use
2013,Amravati,Nandgaon Kh,3252,15.0,2455.0,0
2013,Amravati,Chandur Railway,2935,0.0,2810.0,776
2013,Amravati,Dhamangaon Re,2308,55.0,711.0,297
2014,Amravati,Dharani,132,8.0,15.0,80
2014,Amravati,Chikhraldara,90,465.0,428.0,24
2014,Amravati,Anjangaon Su,1723,0.0,1723.0,47
2014,Amravati,Achalpur,8115,0.0,3580.0,1302
2014,Amravati,Chandurbazar,6371,5022.0,5721.0,709
2014,Amravati,Morshi,10920,15.0,10604.0,699
2014,Amravati,Warud,20206,7.0,0.0,2380
2014,Amravati,Tivas,3624,36.0,3630.0,361
2014,Amravati,Amravati,3374,0.0,3331.0,993
2014,Amravati,Bhatkuli,0,4.0,200.0,0
2014,Amravati,Daryapur,0,0.0,0.0,0
2014,Amravati,Nandgaon Kh,3252,15.0,2455.0,0
2014,Amravati,Chandur Railway,2935,0.0,2810.0,776
2014,Amravati,Dhamangaon Re,2308,55.0,711.0,297
2015,Amravati,Dharani,1436,475.0,1112.0,238
2015,Amravati,Chikhraldara,992,125.0,87.0,357
2015,Amravati,Anjangaon Su,390,0.0,390.0,2328
2015,Amravati,Achalpur,5389,0.0,10831.0,540
2015,Amravati,Chandurbazar,4589,0.0,4572.0,0
2015,Amravati,Morshi,10108,240.0,7723.0,1063
2015,Amravati,Warud,17322,188.0,13523.0,2870
2015,Amravati,Tivas,5405,10.0,3993.0,485
2015,Amravati,Amravati,5145,20.0,4203.0,942
2015,Amravati,Bhatkuli,615,74.0,121.0,47
2015,Amravati,Daryapur,174,0.0,0.0,78
2015,Amravati,Nandgaon Kh,4581,20.0,4350.0,1010
2015,Amravati,Chandur Railway,2325,188.0,2721.0,22
2015,Amravati,Dhamangaon Re,4068,181.0,2318.0,635
2016,Amravati,Dharani,2813,1261.0,1452.0,300
2016,Amravati,Chikhraldara,992,125.0,87.0,357
2016,Amravati,Anjangaon Su,390,0.0,390.0,2328
2016,Amravati,Achalpur,5389,0.0,10831.0,540
2016,Amravati,Chandurbazar,4329,0.0,4312.0,0
2016,Amravati,Morshi,6328,154.0,6986.0,1004
2016,Amravati,Warud,17332,188.0,13523.0,2870
2016,Amravati,Tivas,5041,345.0,608.0,6930
2016,Amravati,Amravati,5023,30.0,4250.0,688
2016,Amravati,Bhatkuli,740,0.0,273.0,2378
2016,Amravati,Daryapur,174,0.0,100.0,74
2016,Amravati,Nandgaon Kh,4581,200.0,4350.0,1010
2016,Amravati,Chandur Railway,2526,210.0,1822.0,26
2016,Amravati,Dhamangaon Re,4068,181.0,2318.0,635
2017,Amravati,Dharani,2813,1261.0,1452.0,300
2017,Amravati,Chikhraldara,992,125.0,87.0,357
2017,Amravati,Anjangaon Su,390,0.0,390.0,2328
2017,Amravati,Achalpur,5389,0.0,10831.0,540
2017,Amravati,Chandurbazar,4329,0.0,4312.0,0
2017,Amravati,Morshi,6328,154.0,6986.0,1004
2017,Amravati,Warud,17332,188.0,13523.0,2870
2017,Amravati,Tivas,5041,345.0,608.0,6930
2017,Amravati,Amravati,5023,30.0,4250.0,688
2017,Amravati,Bhatkuli,740,0.0,273.0,2378
2017,Amravati,Daryapur,174,0.0,100.0,74
2017,Amravati,Nandgaon Kh,4581,200.0,4350.0,1010
2017,Amravati,Chandur Railway,2526,210.0,1822.0,26
2017,Amravati,Dhamangaon Re,4068,181.0,2318.0,635
2018,Amravati,Dharani,2813,1261.0,1452.0,300
2018,Amravati,Chikhraldara,992,125.0,87.0,357
2018,Amravati,Anjangaon Su,390,0.0,390.0,2328
2018,Amravati,Achalpur,5389,0.0,10831.0,540
2018,Amravati,Chandurbazar,4329,0.0,4312.0,0
2018,Amravati,Morshi,6328,154.0,6986.0,1004
2018,Amravati,Warud,17332,188.0,13523.0,2870
2018,Amravati,Tivas,5041,345.0,608.0,6930
2018,Amravati,Amravati,5023,30.0,4250.0,688
2018,Amravati,Bhatkuli,740,0.0,273.0,2378
2018,Amravati,Daryapur,174,0.0,100.0,74
2018,Amravati,Nandgaon Kh,4581,200.0,4350.0,1010
2018,Amravati,Chandur Railway,2526,210.0,1822.0,26
2018,Amravati,Dhamangaon Re,4068,181.0,2318.0,635
2019,Amravati,Dharani,1436,1312.0,2032.0,460
2019,Amravati,Chikhraldara,992,125.0,87.0,357
2019,Amravati,Anjangaon Su,390,0.0,390.0,2328
2019,Amravati,Achalpur,5268,0.0,10831.0,540
2019,Amravati,Chandurbazar,4389,0.0,4389.0,796
2019,Amravati,Morshi,6328,154.0,6986.0,1004
2019,Amravati,Warud,17332,188.0,13523.0,2870
2019,Amravati,Tivas,9033,0.0,0.0,0
2019,Amravati,Amravati,5040,31.0,4350.0,690
2019,Amravati,Bhatkuli,740,0.0,273.0,2378
2019,Amravati,Daryapur,174,0.0,100.0,74
