Year,District,Taluka,Ponds or Village Lakes,Storage Dams,Irrigation Wells,Diesel Pumps,Electric Pumps
2015,Ahilyanagar,Srigonda,98.0,71,0.0,0,0.0
2015,Ahilyanagar,Karjat,106.0,89,0.0,0,0.0
2015,Ahilyanagar,Jamkhed,56.0,67,0.0,0,0.0
2016,Ahilyanagar,Akole,45.0,233,1775.0,0,2193.0
2016,Ahilyanagar,Sangamner,88.0,104,7000.0,0,1570.0
2016,Ahilyanagar,Kopargaon,31.0,65,0.0,0,0.0
2016,Ahilyanagar,Rahata,0.0,27,4942.0,0,35.0
2016,Ahilyanagar,Srirampur,12.0,46,9795.0,0,370.0
2016,Ahilyanagar,Nevasa,10.0,93,2350.0,0,350.0
2016,Ahilyanagar,Shevgaon,36.0,71,0.0,0,0.0
2016,Ahilyanagar,Pathardi,76.0,140,495.0,0,386.0
2016,Ahilyanagar,Nagar,111.0,109,0.0,0,0.0
2016,Ahilyanagar,Rahuri,38.0,41,6270.0,0,114.0
2016,Ahilyanagar,Parner,131.0,116,675.0,0,250.0
2016,Ahilyanagar,Srigonda,98.0,76,0.0,0,0.0
2016,Ahilyanagar,Karjat,106.0,95,0.0,0,0.0
2016,Ahilyanagar,Jamkhed,56.0,70,0.0,0,0.0
2017,Ahilyanagar,Akole,45.0,37,233.0,0,1775.0
2017,Ahilyanagar,Sangamner,88.0,25,107.0,0,7000.0
2017,Ahilyanagar,Kopargaon,31.0,10,66.0,0,0.0
2017,Ahilyanagar,Rahata,0.0,2,27.0,0,4942.0
2017,Ahilyanagar,Srirampur,12.0,11,49.0,0,9795.0
2017,Ahilyanagar,Nevasa,10.0,20,96.0,0,2350.0
2017,Ahilyanagar,Shevgaon,36.0,16,71.0,0,0.0
2017,Ahilyanagar,Pathardi,76.0,20,145.0,0,495.0
