District,Year,Type of Court,Regular,Miscellaneous,All Original Cases
Akola,2016,Criminal Court,12915.0,317.0,43922.0
Akola,2016,District Magistrate And Executive Magistrate,1461.0,33.0,1764.0
Akola,2016,Family Court,686.0,4.0,69.0
Akola,2016,Industrial Court,25.0,19.0,44.0
Akola,2016,Labor Court,259.0,636.0,895.0
Akola,2016,Public Court,398.0,2321.0,2719.0
Akola,2017,Civil Court,562.0,7658.0,1326.0
Akola,2017,Consumer Forum,321.0,1.0,421.0
Akola,2017,Criminal Court,12811.0,31997.0,4488.0
Akola,2017,District Magistrate And Executive Magistrate,,,
Akola,2017,"Family Court
",82.0,9.0,811.0
Akola,2017,Industrial Court,77.0,3.0,17.0
Akola,2017,Labor Court,298.0,66.0,364.0
Akola,2017,Public Court,759.0,2519.0,3278.0
Akola,2018,Civil Court,11863.0,2752.0,14615.0
Akola,2018,Consumer Forum,129.0,54.0,183.0
Akola,2018,Criminal Court,18284.0,31273.0,49557.0
Akola,2018,District Magistrate And Executive Magistrate,28.0,,28.0
Akola,2018,"Family Court
",964.0,7.0,971.0
Akola,2018,Industrial Court,125.0,17.0,142.0
Akola,2018,Labor Court,247.0,114.0,361.0
Akola,2018,Public Court,,564.0,564.0
Akola,2019,Civil Court,11863.0,3132.0,14995.0
Akola,2019,Consumer Forum,538.0,135.0,673.0
Akola,2019,Criminal Court,14736.0,4312.0,57856.0
Akola,2019,District Magistrate And Executive Magistrate,1838.0,,1838.0
Akola,2019,"Family Court
",61.0,7.0,617.0
Akola,2019,Industrial Court,6.0,15.0,75.0
Akola,2019,Labor Court,222.0,38.0,26.0
Akola,2019,Public Court,411.0,11.0,1421.0
Akola,2020,Civil Court,13563.0,3776.0,17339.0
Akola,2020,Consumer Forum,277.0,54.0,331.0
Akola,2020,Criminal Court,16995.0,51937.0,68932.0
Akola,2020,District Magistrate And Executive Magistrate,1638.0,,1638.0
Akola,2020,"Family Court
",254.0,2.0,256.0
Akola,2020,Industrial Court,23.0,,23.0
Akola,2020,Labor Court,39.0,17.0,56.0
Akola,2020,Public Court,396.0,93.0,1326.0
Akola,2021,Civil Court,913.0,627.0,712.0
Akola,2021,Consumer Forum,39.0,33.0,342.0
Akola,2021,Criminal Court,1863.0,2724.0,2967.0
Akola,2021,District Magistrate And Executive Magistrate,132.0,345.0,1377.0
Akola,2021,"Family Court
",1656.0,14.0,167.0
Akola,2021,Industrial Court,56.0,6.0,62.0
Akola,2021,Labor Court,115.0,58.0,173.0
Akola,2021,Public Court,1255.0,51667.0,52922.0
Amravati,2006,Civil Court,27.0,948.0,318.0
Amravati,2006,Consumer Forum,,,
Amravati,2006,Criminal Court,16789.0,1918.0,2777.0
Amravati,2006,District Magistrate And Executive Magistrate,,13955.0,13955.0
Amravati,2006,Family Court,,,
Amravati,2006,Industrial Court,548.0,21.0,569.0
Amravati,2006,Labor Court,64.0,16.0,8.0
Amravati,2006,Public Court,224.0,,224.0
Amravati,2008,Civil Court,2999.0,137.0,436.0
Amravati,2008,Consumer Forum,,,
Amravati,2008,Criminal Court,18355.0,9366.0,27721.0
Amravati,2008,District Magistrate And Executive Magistrate,,1164.0,1164.0
Amravati,2008,Family Court,,,
Amravati,2008,Industrial Court,464.0,44.0,58.0
Amravati,2008,Labor Court,351.0,61.0,412.0
Amravati,2008,Public Court,2998.0,,2998.0
Amravati,2009,Civil Court,4339.0,1271.0,561.0
Amravati,2009,Consumer Forum,262.0,79.0,341.0
Amravati,2009,Criminal Court,1725.0,7518.0,24723.0
Amravati,2009,District Magistrate And Executive Magistrate,,9188.0,9188.0
Amravati,2009,Family Court,,88.0,88.0
Amravati,2009,Industrial Court,,18.0,18.0
Amravati,2009,Labor Court,145.0,29.0,174.0
Amravati,2009,Public Court,1192.0,,1192.0
Amravati,2010,Civil Court,1984.0,1796.0,378.0
Amravati,2010,Consumer Forum,26.0,81.0,341.0
Amravati,2010,Criminal Court,2757.0,927.0,29784.0
Amravati,2010,District Magistrate And Executive Magistrate,,9188.0,9188.0
Amravati,2010,Family Court,,88.0,88.0
Amravati,2010,Industrial Court,,19.0,19.0
Amravati,2010,Labor Court,419.0,44.0,463.0
Amravati,2010,Public Court,398.0,,398.0
Amravati,2011,Civil Court,2144.0,1223.0,3367.0
Amravati,2011,Consumer Forum,22.0,63.0,265.0
Amravati,2011,Criminal Court,19149.0,9638.0,28787.0
Amravati,2011,District Magistrate And Executive Magistrate,,923.0,923.0
Amravati,2011,Family Court,,116.0,116.0
Amravati,2011,Industrial Court,,5.0,5.0
Amravati,2011,Labor Court,161.0,52.0,213.0
Amravati,2011,Public Court,394.0,,394.0
Amravati,2012,Civil Court,2132.0,1288.0,342.0
Amravati,2012,Consumer Forum,131.0,17.0,238.0
Amravati,2012,Criminal Court,1935.0,6968.0,263.0
Amravati,2012,District Magistrate And Executive Magistrate,52.0,4429.0,9449.0
Amravati,2012,Family Court,,,
Amravati,2012,Industrial Court,515.0,9.0,524.0
Amravati,2012,Labor Court,116.0,17.0,133.0
Amravati,2012,Public Court,,,
Amravati,2013,Civil Court,4297.0,3871.0,8168.0
Amravati,2013,Consumer Forum,224.0,184.0,48.0
Amravati,2013,Criminal Court,1878.0,4818.0,23598.0
Amravati,2013,District Magistrate And Executive Magistrate,,,
Amravati,2013,"Family Court
",361.0,99.0,46.0
Amravati,2013,Industrial Court,55.0,15.0,565.0
Amravati,2013,Labor Court,75.0,39.0,744.0
Amravati,2013,Public Court,,,
Amravati,2014,Civil Court,2497.0,2964.0,5461.0
Amravati,2014,Consumer Forum,17.0,144.0,314.0
Amravati,2014,Criminal Court,1628.0,3723.0,23.0
Amravati,2014,District Magistrate And Executive Magistrate,,,
Amravati,2014,"Family Court
",26.0,365.0,571.0
Amravati,2014,Industrial Court,137.0,3.0,14.0
Amravati,2014,Labor Court,74.0,36.0,776.0
Amravati,2014,Public Court,,,
Amravati,2015,Civil Court,2326.0,4127.0,6453.0
Amravati,2015,Consumer Forum,366.0,7.0,436.0
Amravati,2015,Criminal Court,15933.0,2772.0,1875.0
Amravati,2015,District Magistrate And Executive Magistrate,,,
Amravati,2015,"Family Court
",25.0,58.0,713.0
Amravati,2015,Industrial Court,192.0,12.0,24.0
Amravati,2015,Labor Court,794.0,54.0,848.0
Amravati,2015,Public Court,,,
Amravati,2016,Civil Court,2319.0,4593.0,6912.0
Amravati,2016,Consumer Forum,235.0,73.0,38.0
Amravati,2016,Criminal Court,14787.0,4317.0,1914.0
Amravati,2016,District Magistrate And Executive Magistrate,,,
Amravati,2016,Family Court,211.0,372.0,583.0
Amravati,2016,Industrial Court,132.0,8.0,14.0
