Year,District,Taluka,Select Type of Police Establishment,Number
2020,Bhandara,Sakoli,Police Stations,1
2020,Bhandara,Lakhani,Police Stations,2
2020,Bhandara,Pavani,Police Stations,2
2020,Bhandara,Lakhandur,Police Stations,2
2021,Bhandara,Tumsar,Police Stations,3
2021,Bhandara,Mohadi,Police Stations,4
2021,Bhandara,Bhandara,Police Stations,3
2021,Bhandara,Sakoli,Police Stations,1
2021,Bhandara,Lakhani,Police Stations,2
2021,Bhandara,Pavani,Police Stations,2
2021,Bhandara,Lakhandur,Police Stations,2
2018,Buldhana,Jalgaon Jamod,Police Stations,1
2018,Buldhana,Sangrampur,Police Stations,2
2018,Buldhana,Shegaon,Police Stations,3
2018,Buldhana,Nandura,Police Stations,3
2018,Buldhana,Malkapur,Police Stations,3
2018,Buldhana,Motala,Police Stations,2
2018,Buldhana,Khamgaon,Police Stations,5
2018,Buldhana,Mehkar,Police Stations,4
2018,Buldhana,Chikhali,Police Stations,3
2018,Buldhana,Buldhana,Police Stations,3
2018,Buldhana,Deulgaon Raja,Police Stations,2
2018,Buldhana,Sindkhed Raja,Police Stations,2
2018,Buldhana,Lonar,Police Stations,2
2019,Buldhana,Jalgaon Jamod,Police Stations,1
2019,Buldhana,Sangrampur,Police Stations,2
2019,Buldhana,Shegaon,Police Stations,3
2019,Buldhana,Nandura,Police Stations,1
2019,Buldhana,Malkapur,Police Stations,3
2019,Buldhana,Motala,Police Stations,2
2019,Buldhana,Khamgaon,Police Stations,5
2019,Buldhana,Mehkar,Police Stations,4
2019,Buldhana,Chikhali,Police Stations,2
2019,Buldhana,Buldhana,Police Stations,4
2019,Buldhana,Deulgaon Raja,Police Stations,2
2019,Buldhana,Sindkhed Raja,Police Stations,2
2019,Buldhana,Lonar,Police Stations,2
2020,Buldhana,Jalgaon Jamod,Police Stations,1
2020,Buldhana,Sangrampur,Police Stations,2
2020,Buldhana,Shegaon,Police Stations,3
2020,Buldhana,Nandura,Police Stations,1
2020,Buldhana,Malkapur,Police Stations,3
2020,Buldhana,Motala,Police Stations,2
2020,Buldhana,Khamgaon,Police Stations,5
2020,Buldhana,Mehkar,Police Stations,4
2020,Buldhana,Chikhali,Police Stations,2
2020,Buldhana,Buldhana,Police Stations,4
2020,Buldhana,Deulgaon Raja,Police Stations,2
2020,Buldhana,Sindkhed Raja,Police Stations,2
2020,Buldhana,Lonar,Police Stations,2
2021,Buldhana,Jalgaon Jamod,Police Stations,1
2021,Buldhana,Sangrampur,Police Stations,2
2021,Buldhana,Shegaon,Police Stations,3
2021,Buldhana,Nandura,Police Stations,1
2021,Buldhana,Malkapur,Police Stations,3
2021,Buldhana,Motala,Police Stations,2
2021,Buldhana,Khamgaon,Police Stations,5
2021,Buldhana,Mehkar,Police Stations,4
2021,Buldhana,Chikhali,Police Stations,2
2021,Buldhana,Buldhana,Police Stations,4
2021,Buldhana,Deulgaon Raja,Police Stations,2
2021,Buldhana,Sindkhed Raja,Police Stations,2
2021,Buldhana,Lonar,Police Stations,2
2018,Chandrapur,Varora,Police Stations,2
2018,Chandrapur,Chimur,Police Stations,2
2018,Chandrapur,Nagbhid,Police Stations,2
2018,Chandrapur,Bramhapuri,Police Stations,1
2018,Chandrapur,Savali,Police Stations,2
2018,Chandrapur,Sindevahi,Police Stations,1
2018,Chandrapur,Bhadravati,Police Stations,2
2018,Chandrapur,Chandrapur,Police Stations,5
2018,Chandrapur,Mul,Police Stations,1
2018,Chandrapur,Ponbhurna,Police Stations,1
2018,Chandrapur,Ballarpur,Police Stations,2
2018,Chandrapur,Korpana,Police Stations,6
2018,Chandrapur,Rajura,Police Stations,3
2018,Chandrapur,Gondpipari,Police Stations,3
2018,Chandrapur,Jivati,Police Stations,1
2019,Chandrapur,Varora,Police Stations,2
2019,Chandrapur,Chimur,Police Stations,2
2019,Chandrapur,Nagbhid,Police Stations,2
2019,Chandrapur,Bramhapuri,Police Stations,1
2019,Chandrapur,Savali,Police Stations,2
2019,Chandrapur,Sindevahi,Police Stations,1
2019,Chandrapur,Bhadravati,Police Stations,2
