District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Amravati,2010,Public Court,87.0,,87.0
Amravati,2011,Civil Court,174.0,197.0,2171.0
Amravati,2011,Consumer Forum,,,
Amravati,2011,Criminal Court,434.0,255.0,2489.0
Amravati,2011,District Magistrate And Executive Magistrate,,,
Amravati,2011,Family Court,,,
Amravati,2011,Industrial Court,61.0,4.0,65.0
Amravati,2011,Labor Court,,,
Amravati,2011,Public Court,157.0,,157.0
Amravati,2012,Civil Court,81.0,955.0,1765.0
Amravati,2012,Consumer Forum,,,
Amravati,2012,Criminal Court,169.0,1497.0,2566.0
Amravati,2012,District Magistrate And Executive Magistrate,,,
Amravati,2012,Family Court,,,
Amravati,2012,Industrial Court,253.0,,253.0
Amravati,2012,Labor Court,,,
Amravati,2012,Public Court,,,
Amravati,2013,Civil Court,31.0,68.0,369.0
Amravati,2013,Consumer Forum,,,
Amravati,2013,Criminal Court,115.0,191.0,36.0
Amravati,2013,District Magistrate And Executive Magistrate,,,
Amravati,2013,"Family Court
",,,
Amravati,2013,Industrial Court,289.0,2.0,291.0
Amravati,2013,Labor Court,,,
Amravati,2013,Public Court,,,
Amravati,2014,Civil Court,175.0,855.0,193.0
Amravati,2014,Consumer Forum,,,
Amravati,2014,Criminal Court,754.0,19.0,2654.0
Amravati,2014,District Magistrate And Executive Magistrate,,,
Amravati,2014,"Family Court
",,,
Amravati,2014,Industrial Court,74.0,1.0,75.0
Amravati,2014,Labor Court,,,
Amravati,2014,Public Court,,,
Amravati,2015,Civil Court,315.0,39.0,624.0
Amravati,2015,Consumer Forum,,,
Amravati,2015,Criminal Court,27.0,1685.0,1955.0
Amravati,2015,District Magistrate And Executive Magistrate,,,
Amravati,2015,"Family Court
",,,
Amravati,2015,Industrial Court,84.0,,84.0
Amravati,2015,Labor Court,,,
Amravati,2015,Public Court,,,
Amravati,2016,Civil Court,411.0,151.0,1912.0
Amravati,2016,Consumer Forum,,,
Amravati,2016,Criminal Court,498.0,2391.0,2889.0
Amravati,2016,District Magistrate And Executive Magistrate,,,
Amravati,2016,Family Court,,,
Amravati,2016,Industrial Court,141.0,,141.0
Amravati,2016,Labor Court,,,
Amravati,2016,Public Court,,,
Amravati,2017,Civil Court,465.0,228.0,2745.0
Amravati,2017,Consumer Forum,,,
Amravati,2017,Criminal Court,115.0,1999.0,314.0
Amravati,2017,District Magistrate And Executive Magistrate,,,
Amravati,2017,"Family Court
",,,
Amravati,2017,Industrial Court,189.0,,189.0
