Year,District,Cognizable IPC crimes
2017,Yavatmal,6607
2018,Ahilyanagar,12613
2018,Akola,5579
2018,Amravati,9577
2018,Chh. Sambhaji Nagar,15929
2018,Beed,5352
2018,Bhandara,2738
2018,Buldhana,6792
2018,Chandrapur,7916
2018,Dhule,3846
2018,Gadchiroli,1052
2018,Gondia,3351
2018,Hingoli,2642
2018,Jalgaon,7217
2018,Jalna,4110
2018,Kolhapur,7191
2018,Latur,4377
2018,Mumbai,80052
2018,Nagpur,20085
2018,Nanded,6157
2018,Nandurbar,1681
2018,Nashik,13242
2018,Dharashiv,3490
2018,Palghar,6683
2018,Parbhani,3471
2018,Pune,37638
2018,Raigad,2819
2018,Ratnagiri,2101
2018,Sangli,7199
2018,Satara,6918
2018,Sindhudurg,1304
2018,Solapur,11409
2018,Thane,24932
2018,Wardha,5312
2018,Washim,2849
2018,Yavatmal,8667
2019,Ahilyanagar,12543
2019,Akola,5217
2019,Amravati,9732
2019,Chh. Sambhaji Nagar,15243
2019,Beed,4461
2019,Bhandara,3060
2019,Buldhana,7714
2019,Chandrapur,7124
2019,Dhule,4283
2019,Gadchiroli,1268
2019,Gondia,2802
2019,Hingoli,2945
2019,Jalgaon,6286
2019,Jalna,4601
2019,Kolhapur,6379
2019,Latur,4677
2019,Mumbai,74490
2019,Nagpur,22489
2019,Nanded,6674
2019,Nandurbar,2301
2019,Nashik,13900
2019,Dharashiv,3409
2019,Palghar,6678
2019,Parbhani,4367
2019,Pune,38300
2019,Raigad,2697
2019,Ratnagiri,1917
2019,Sangli,7277
2019,Satara,6705
2019,Sindhudurg,1197
2019,Solapur,13088
2019,Thane,22472
2019,Wardha,4619
2019,Washim,3002
2019,Yavatmal,7167
2020,Ahilyanagar,38689
2020,Akola,7524
2020,Amravati,10113
2020,Chh. Sambhaji Nagar,12268
2020,Beed,5719
2020,Bhandara,2727
2020,Buldhana,7792
2020,Chandrapur,5641
2020,Dhule,3537
2020,Gadchiroli,1425
2020,Gondia,2190
2020,Hingoli,2913
2020,Jalgaon,9354
2020,Jalna,6255
2020,Kolhapur,9320
2020,Latur,5146
2020,Mumbai,58444
2020,Nagpur,19799
2020,Nanded,7514
2020,Nandurbar,7134
2020,Nashik,25909
2020,Dharashiv,3622
2020,Palghar,1914
2020,Parbhani,4439
2020,Pune,55814
2020,Raigad,2160
2020,Ratnagiri,1491
2020,Sangli,6603
2020,Satara,7408
2020,Sindhudurg,999
2020,Solapur,14744
2020,Thane,27298
2020,Wardha,4862
2020,Washim,5690
2020,Yavatmal,7560
2021,Ahilyanagar,13192
2021,Akola,10393
2021,Amravati,16456
2021,Chh. Sambhaji Nagar,14313
2021,Beed,6013
2021,Bhandara,2771
2021,Buldhana,9327
2021,Chandrapur,7292
2021,Dhule,3519
2021,Gadchiroli,1555
2021,Gondia,2980
2021,Hingoli,2445
2021,Jalgaon,7208
2021,Jalna,6030
2021,Kolhapur,7548
2021,Latur,5664
2021,Mumbai,70401
2021,Nagpur,19377
2021,Nanded,7297
2021,Nandurbar,4669
2021,Nashik,23444
2021,Dharashiv,4167
2021,Palghar,2204
2021,Parbhani,4340
2021,Pune,28701
2021,Raigad,3344
2021,Ratnagiri,2848
2021,Sangli,8313
2021,Satara,7365
2021,Sindhudurg,1496
2021,Solapur,12051
2021,Thane,29658
2021,Wardha,6087
2021,Washim,5250
2021,Yavatmal,9500
2022,Ahilyanagar,16283
2022,Akola,5944
2022,Amravati,13152
2022,Beed,5973
2022,Bhandara,3159
2022,Buldhana,7928
2022,Chandrapur,8029
2022,Chh. Sambhaji Nagar,14758
2022,Dharashiv,4154
2022,Dhule,3840
2022,Gadchiroli,1592
2022,Gondia,3249
2022,Hingoli,3228
2022,Jalgaon,7643
2022,Jalna,7391
2022,Kolhapur,7126
2022,Latur,5392
2022,Mumbai,83073
2022,Nagpur,22093
2022,Nanded,7195
2022,Nandurbar,2728
2022,Nashik,10752
2022,Palghar,3201
2022,Parbhani,3873
2022,Pune,33968
2022,Raigad,4950
2022,Ratnagiri,1869
2022,Sangli,7867
2022,Satara,7961
2022,Sindhudurg,1162
2022,Solapur,12248
2022,Thane,30014
2022,Wardha,7243
2022,Washim,3673
2022,Yavatmal,11327
