Year,District,Taluka,Establishment,Number of Officers/Employees
2019,Yavatmal,Maregaon,Police Stations,39
2019,Yavatmal,Zari Jamani,Police Stations,56
2019,Yavatmal,Vani,Police Stations,81
2020,Yavatmal,Ner,Police Stations,54
2020,Yavatmal,Babhulgaon,Police Stations,38
2020,Yavatmal,Kalamb,Police Stations,46
2020,Yavatmal,Yavatmal,Police Stations,352
2020,Yavatmal,Darvha,Police Stations,86
2020,Yavatmal,Digras,Police Stations,67
2020,Yavatmal,Pusad,Police Stations,272
2020,Yavatmal,Umarkhed,Police Stations,173
2020,Yavatmal,Mahagaon,Police Stations,50
2020,Yavatmal,Aarni,Police Stations,64
2020,Yavatmal,Ghantaji,Police Stations,57
2020,Yavatmal,Kelapur,Police Stations,63
2020,Yavatmal,Ralegaon,Police Stations,71
2020,Yavatmal,Maregaon,Police Stations,43
2020,Yavatmal,Zari Jamani,Police Stations,56
2020,Yavatmal,Vani,Police Stations,108
2021,Yavatmal,Ner,Police Stations,55
2021,Yavatmal,Babhulgaon,Police Stations,41
2021,Yavatmal,Kalamb,Police Stations,45
2021,Yavatmal,Yavatmal,Police Stations,438
2021,Yavatmal,Darvha,Police Stations,129
2021,Yavatmal,Digras,Police Stations,102
2021,Yavatmal,Pusad,Police Stations,369
2021,Yavatmal,Umarkhed,Police Stations,234
2021,Yavatmal,Mahagaon,Police Stations,44
2021,Yavatmal,Aarni,Police Stations,40
2021,Yavatmal,Ghantaji,Police Stations,37
2021,Yavatmal,Kelapur,Police Stations,105
2021,Yavatmal,Ralegaon,Police Stations,64
2021,Yavatmal,Maregaon,Police Stations,47
2021,Yavatmal,Zari Jamani,Police Stations,61
2021,Yavatmal,Vani,Police Stations,128
2018,Ahilyanagar,Akole,Outposts,9
2018,Ahilyanagar,Sangamner,Outposts,4
2018,Ahilyanagar,Kopargaon,Outposts,6
2018,Ahilyanagar,Rahata,Outposts,14
2018,Ahilyanagar,Srirampur,Outposts,7
2018,Ahilyanagar,Nevasa,Outposts,4
2018,Ahilyanagar,Shevgaon,Outposts,10
2018,Ahilyanagar,Pathardi,Outposts,14
2018,Ahilyanagar,Nagar,Outposts,11
2018,Ahilyanagar,Rahuri,Outposts,4
2018,Ahilyanagar,Parner,Outposts,13
2018,Ahilyanagar,Srigonda,Outposts,2
2018,Ahilyanagar,Karjat,Outposts,21
2018,Ahilyanagar,Jamkhed,Outposts,4
2019,Ahilyanagar,Akole,Outposts,10
2019,Ahilyanagar,Sangamner,Outposts,5
2019,Ahilyanagar,Kopargaon,Outposts,7
2019,Ahilyanagar,Rahata,Outposts,15
2019,Ahilyanagar,Srirampur,Outposts,6
2019,Ahilyanagar,Nevasa,Outposts,4
2019,Ahilyanagar,Shevgaon,Outposts,11
2019,Ahilyanagar,Pathardi,Outposts,12
2019,Ahilyanagar,Nagar,Outposts,14
2019,Ahilyanagar,Rahuri,Outposts,4
2019,Ahilyanagar,Parner,Outposts,14
2019,Ahilyanagar,Srigonda,Outposts,3
2019,Ahilyanagar,Karjat,Outposts,20
2019,Ahilyanagar,Jamkhed,Outposts,4
2020,Ahilyanagar,Akole,Outposts,3
2020,Ahilyanagar,Sangamner,Outposts,6
2020,Ahilyanagar,Kopargaon,Outposts,9
2020,Ahilyanagar,Rahata,Outposts,19
2020,Ahilyanagar,Srirampur,Outposts,17
2020,Ahilyanagar,Nevasa,Outposts,10
2020,Ahilyanagar,Shevgaon,Outposts,12
2020,Ahilyanagar,Pathardi,Outposts,20
2020,Ahilyanagar,Nagar,Outposts,19
2020,Ahilyanagar,Rahuri,Outposts,6
2020,Ahilyanagar,Parner,Outposts,11
2020,Ahilyanagar,Srigonda,Outposts,11
2020,Ahilyanagar,Karjat,Outposts,19
2020,Ahilyanagar,Jamkhed,Outposts,12
2021,Ahilyanagar,Akole,Outposts,21
2021,Ahilyanagar,Sangamner,Outposts,12
