Year,District,Cases
2016,Sangli,531
2016,Satara,754
2016,Sindhudurg,104
2016,Solapur,954
2016,Thane,2807
2016,Wardha,375
2016,Washim,285
2016,Yavatmal,863
2016,Total,31388
2022,Ahilyanagar,2202
2022,Akola,766
2022,Amravati,1481
2022,Beed,1228
2022,Bhandara,295
2022,Buldhana,953
2022,Chandrapur,885
2022,Chh. Sambhaji Nagar,1663
2022,Dharashiv,496
2022,Dhule,698
2022,Gadchiroli,174
2022,Gondia,369
2022,Hingoli,396
2022,Jalgaon,1322
2022,Jalna,1124
2022,Kolhapur,1069
2022,Latur,781
2022,Mumbai,6293
2022,Nagpur,1729
2022,Nanded,879
2022,Nandurbar,334
2022,Nashik,2048
2022,Palghar,362
2022,Parbhani,551
2022,Pune,5434
2022,Raigad,396
2022,Ratnagiri,200
2022,Sangli,836
2022,Satara,982
2022,Sindhudurg,142
2022,Solapur,1556
2022,Thane,5486
2022,Wardha,504
2022,Washim,538
2022,Yavatmal,1159
2017,Ahilyanagar,953
2017,Akola,489
2017,Amravati,1449
2017,Beed,823
2017,Bhandara,225
2017,Buldhana,567
2017,Chandrapur,751
2017,Chh. Sambhaji Nagar,1421
2017,Dharashiv,329
2017,Dhule,348
2017,Gadchiroli,125
2017,Gondia,286
2017,Hingoli,214
2017,Jalgaon,743
2017,Jalna,607
2017,Kolhapur,633
2017,Latur,512
2017,Nagpur,1754
2017,Nanded,554
2017,Nandurbar,142
2017,Nashik,1416
2017,Palghar,691
2017,Parbhani,473
2017,Pune,3111
2017,Raigad,316
2017,Ratnagiri,171
2017,Sangli,493
2017,Satara,754
2017,Sindhudurg,91
2017,Solapur,874
2017,Thane,2908
2017,Wardha,443
2017,Washim,425
2017,Yavatmal,1115
2018,Ahilyanagar,1454
2018,Akola,752
2018,Amravati,1288
2018,Beed,771
2018,Bhandara,355
2018,Buldhana,755
2018,Chandrapur,657
2018,Chh. Sambhaji Nagar,1293
2018,Dharashiv,386
2018,Dhule,401
2018,Gadchiroli,166
2018,Gondia,371
2018,Hingoli,261
2018,Jalgaon,784
2018,Jalna,608
2018,Kolhapur,681
2018,Latur,538
2018,Nagpur,1529
2018,Nanded,642
2018,Nandurbar,208
2018,Nashik,1486
2018,Palghar,1005
2018,Parbhani,523
2018,Pune,3750
2018,Raigad,321
2018,Ratnagiri,249
2018,Sangli,758
2018,Satara,906
2018,Sindhudurg,108
2018,Solapur,1209
2018,Thane,3374
2018,Wardha,407
2018,Washim,317
2018,Yavatmal,942
2019,Ahilyanagar,1670
2019,Akola,724
2019,Amravati,1290
2019,Beed,764
2019,Bhandara,301
2019,Buldhana,750
2019,Chandrapur,652
2019,Chh. Sambhaji Nagar,1304
2019,Dharashiv,398
2019,Dhule,510
2019,Gadchiroli,200
2019,Gondia,376
2019,Hingoli,326
2019,Jalgaon,856
2019,Jalna,794
2019,Kolhapur,773
2019,Latur,566
2019,Nagpur,1521
2019,Nanded,773
2019,Nandurbar,214
2019,Nashik,1906
2019,Palghar,1139
2019,Parbhani,487
2019,Pune,3815
2019,Raigad,183
2019,Ratnagiri,232
2019,Sangli,745
2019,Satara,933
2019,Sindhudurg,104
2019,Solapur,1241
2019,Thane,3215
2019,Wardha,428
2019,Washim,388
2019,Yavatmal,876
2020,Ahilyanagar,1645
2020,Akola,721
2020,Amravati,1229
2020,Beed,780
