District,Year,Select Offense,Cases
Total,2018,Credit Card/Debit Card Fraud,143
Total,2018,ATM Fraud,304
Total,2018,Online Banking Fraud,328
Total,2018,OTP Frauds,82
Total,2018,Other Frauds,179
Wardha,2018,Credit Card/Debit Card Fraud,8
Wardha,2018,ATM Fraud,2
Wardha,2018,Online Banking Fraud,1
Wardha,2018,OTP Frauds,19
Wardha,2018,Other Frauds,8
Washim,2018,Credit Card/Debit Card Fraud,0
Washim,2018,ATM Fraud,0
Washim,2018,Online Banking Fraud,0
Washim,2018,OTP Frauds,0
Washim,2018,Other Frauds,0
Yavatmal,2018,Credit Card/Debit Card Fraud,0
Yavatmal,2018,ATM Fraud,11
Yavatmal,2018,Online Banking Fraud,0
Yavatmal,2018,OTP Frauds,0
Yavatmal,2018,Other Frauds,1
Ahilyanagar,2019,Credit Card/Debit Card Fraud,0
Ahilyanagar,2019,ATM Fraud,0
Ahilyanagar,2019,Online Banking Fraud,0
Ahilyanagar,2019,OTP Frauds,0
Ahilyanagar,2019,Other Frauds,0
Akola,2019,Credit Card/Debit Card Fraud,0
Akola,2019,ATM Fraud,2
Akola,2019,Online Banking Fraud,0
Akola,2019,OTP Frauds,1
Akola,2019,Other Frauds,4
Beed,2019,Credit Card/Debit Card Fraud,1
Beed,2019,ATM Fraud,1
Beed,2019,Online Banking Fraud,6
Beed,2019,OTP Frauds,1
Beed,2019,Other Frauds,2
Bhandara,2019,Credit Card/Debit Card Fraud,2
Bhandara,2019,ATM Fraud,5
Bhandara,2019,Online Banking Fraud,1
Bhandara,2019,OTP Frauds,0
Bhandara,2019,Other Frauds,1
Buldhana,2019,Credit Card/Debit Card Fraud,2
Buldhana,2019,ATM Fraud,7
Buldhana,2019,Online Banking Fraud,8
Buldhana,2019,OTP Frauds,2
Buldhana,2019,Other Frauds,2
Chandrapur,2019,Credit Card/Debit Card Fraud,2
Chandrapur,2019,ATM Fraud,5
Chandrapur,2019,Online Banking Fraud,25
Chandrapur,2019,OTP Frauds,13
Chandrapur,2019,Other Frauds,9
Dhule,2019,Credit Card/Debit Card Fraud,6
Dhule,2019,ATM Fraud,7
Dhule,2019,Online Banking Fraud,2
Dhule,2019,OTP Frauds,3
Dhule,2019,Other Frauds,1
Gadchiroli,2019,Credit Card/Debit Card Fraud,1
Gadchiroli,2019,ATM Fraud,4
Gadchiroli,2019,Online Banking Fraud,3
Gadchiroli,2019,OTP Frauds,4
Gadchiroli,2019,Other Frauds,0
Gondia,2019,Credit Card/Debit Card Fraud,0
Gondia,2019,ATM Fraud,5
Gondia,2019,Online Banking Fraud,8
Gondia,2019,OTP Frauds,0
Gondia,2019,Other Frauds,2
Hingoli,2019,Credit Card/Debit Card Fraud,0
Hingoli,2019,ATM Fraud,2
Hingoli,2019,Online Banking Fraud,2
Hingoli,2019,OTP Frauds,0
Hingoli,2019,Other Frauds,0
Jalgaon,2019,Credit Card/Debit Card Fraud,0
Jalgaon,2019,ATM Fraud,1
Jalgaon,2019,Online Banking Fraud,0
Jalgaon,2019,OTP Frauds,1
Jalgaon,2019,Other Frauds,2
Jalna,2019,Credit Card/Debit Card Fraud,4
Jalna,2019,ATM Fraud,2
Jalna,2019,Online Banking Fraud,0
Jalna,2019,OTP Frauds,0
Jalna,2019,Other Frauds,0
Kolhapur,2019,Credit Card/Debit Card Fraud,2
Kolhapur,2019,ATM Fraud,2
Kolhapur,2019,Online Banking Fraud,9
Kolhapur,2019,OTP Frauds,2
Kolhapur,2019,Other Frauds,0
Latur,2019,Credit Card/Debit Card Fraud,0
Latur,2019,ATM Fraud,3
Latur,2019,Online Banking Fraud,0
Latur,2019,OTP Frauds,2
Latur,2019,Other Frauds,0
Nanded,2019,Credit Card/Debit Card Fraud,0
Nanded,2019,ATM Fraud,14
Nanded,2019,Online Banking Fraud,0
Nanded,2019,OTP Frauds,0
Nanded,2019,Other Frauds,0
Nandurbar,2019,Credit Card/Debit Card Fraud,0
Nandurbar,2019,ATM Fraud,1
Nandurbar,2019,Online Banking Fraud,2
Nandurbar,2019,OTP Frauds,0
Nandurbar,2019,Other Frauds,3
Dharashiv,2019,Credit Card/Debit Card Fraud,0
Dharashiv,2019,ATM Fraud,3
Dharashiv,2019,Online Banking Fraud,1
Dharashiv,2019,OTP Frauds,1
Dharashiv,2019,Other Frauds,1
Palghar,2019,Credit Card/Debit Card Fraud,0
Palghar,2019,ATM Fraud,1
Palghar,2019,Online Banking Fraud,2
Palghar,2019,OTP Frauds,6
Palghar,2019,Other Frauds,0
Parbhani,2019,Credit Card/Debit Card Fraud,0
Parbhani,2019,ATM Fraud,0
Parbhani,2019,Online Banking Fraud,0
Parbhani,2019,OTP Frauds,0
Parbhani,2019,Other Frauds,0
Raigad,2019,Credit Card/Debit Card Fraud,3
Raigad,2019,ATM Fraud,4
Raigad,2019,Online Banking Fraud,24
Raigad,2019,OTP Frauds,8
Raigad,2019,Other Frauds,0
Ratnagiri,2019,Credit Card/Debit Card Fraud,0
Ratnagiri,2019,ATM Fraud,7
Ratnagiri,2019,Online Banking Fraud,2
Ratnagiri,2019,OTP Frauds,21
Ratnagiri,2019,Other Frauds,2
Sangli,2019,Credit Card/Debit Card Fraud,0
Sangli,2019,ATM Fraud,2
Sangli,2019,Online Banking Fraud,4
Sangli,2019,OTP Frauds,2
Sangli,2019,Other Frauds,2
Satara,2019,Credit Card/Debit Card Fraud,0
Satara,2019,ATM Fraud,5
Satara,2019,Online Banking Fraud,0
Satara,2019,OTP Frauds,0
Satara,2019,Other Frauds,0
Sindhudurg,2019,Credit Card/Debit Card Fraud,1
Sindhudurg,2019,ATM Fraud,3
Sindhudurg,2019,Online Banking Fraud,8
Sindhudurg,2019,OTP Frauds,1
Sindhudurg,2019,Other Frauds,1
Total,2019,Credit Card/Debit Card Fraud,159
Total,2019,ATM Fraud,454
Total,2019,Online Banking Fraud,552
Total,2019,OTP Frauds,131
Total,2019,Other Frauds,385
Wardha,2019,Credit Card/Debit Card Fraud,5
Wardha,2019,ATM Fraud,12
Wardha,2019,Online Banking Fraud,2
Wardha,2019,OTP Frauds,3
Wardha,2019,Other Frauds,9
Washim,2019,Credit Card/Debit Card Fraud,2
Washim,2019,ATM Fraud,2
Washim,2019,Online Banking Fraud,0
Washim,2019,OTP Frauds,0
Washim,2019,Other Frauds,0
Yavatmal,2019,Credit Card/Debit Card Fraud,0
Yavatmal,2019,ATM Fraud,5
Yavatmal,2019,Online Banking Fraud,0
Yavatmal,2019,OTP Frauds,0
Yavatmal,2019,Other Frauds,6
Ahilyanagar,2020,Credit Card/Debit Card Fraud,0
Ahilyanagar,2020,ATM Fraud,0
Ahilyanagar,2020,Online Banking Fraud,0
Ahilyanagar,2020,OTP Frauds,0
Ahilyanagar,2020,Other Frauds,0
Akola,2020,Credit Card/Debit Card Fraud,0
Akola,2020,ATM Fraud,2
Akola,2020,Online Banking Fraud,0
Akola,2020,OTP Frauds,1
Akola,2020,Other Frauds,8
Beed,2020,Credit Card/Debit Card Fraud,0
Beed,2020,ATM Fraud,2
Beed,2020,Online Banking Fraud,11
Beed,2020,OTP Frauds,2
Beed,2020,Other Frauds,0
Bhandara,2020,Credit Card/Debit Card Fraud,0
Bhandara,2020,ATM Fraud,4
Bhandara,2020,Online Banking Fraud,19
Bhandara,2020,OTP Frauds,1
Bhandara,2020,Other Frauds,6
Buldhana,2020,Credit Card/Debit Card Fraud,0
Buldhana,2020,ATM Fraud,5
Buldhana,2020,Online Banking Fraud,12
Buldhana,2020,OTP Frauds,6
Buldhana,2020,Other Frauds,7
Chandrapur,2020,Credit Card/Debit Card Fraud,1
Chandrapur,2020,ATM Fraud,3
Chandrapur,2020,Online Banking Fraud,17
Chandrapur,2020,OTP Frauds,3
Chandrapur,2020,Other Frauds,7
Dhule,2020,Credit Card/Debit Card Fraud,3
Dhule,2020,ATM Fraud,0
Dhule,2020,Online Banking Fraud,3
Dhule,2020,OTP Frauds,2
Dhule,2020,Other Frauds,1
Gadchiroli,2020,Credit Card/Debit Card Fraud,0
Gadchiroli,2020,ATM Fraud,2
Gadchiroli,2020,Online Banking Fraud,7
Gadchiroli,2020,OTP Frauds,0
Gadchiroli,2020,Other Frauds,0
Gondia,2020,Credit Card/Debit Card Fraud,0
Gondia,2020,ATM Fraud,1
Gondia,2020,Online Banking Fraud,5
Gondia,2020,OTP Frauds,1
Gondia,2020,Other Frauds,1
Hingoli,2020,Credit Card/Debit Card Fraud,0
Hingoli,2020,ATM Fraud,1
Hingoli,2020,Online Banking Fraud,2
Hingoli,2020,OTP Frauds,0
Hingoli,2020,Other Frauds,0
Jalgaon,2020,Credit Card/Debit Card Fraud,6
Jalgaon,2020,ATM Fraud,8
Jalgaon,2020,Online Banking Fraud,19
Jalgaon,2020,OTP Frauds,7
Jalgaon,2020,Other Frauds,11
Jalna,2020,Credit Card/Debit Card Fraud,0
Jalna,2020,ATM Fraud,3
Jalna,2020,Online Banking Fraud,4
Jalna,2020,OTP Frauds,1
Jalna,2020,Other Frauds,15
Kolhapur,2020,Credit Card/Debit Card Fraud,2
Kolhapur,2020,ATM Fraud,2
Kolhapur,2020,Online Banking Fraud,9
Kolhapur,2020,OTP Frauds,2
Kolhapur,2020,Other Frauds,2
Latur,2020,Credit Card/Debit Card Fraud,3
Latur,2020,ATM Fraud,7
Latur,2020,Online Banking Fraud,7
Latur,2020,OTP Frauds,0
Latur,2020,Other Frauds,4
Nanded,2020,Credit Card/Debit Card Fraud,0
Nanded,2020,ATM Fraud,0
Nanded,2020,Online Banking Fraud,0
Nanded,2020,OTP Frauds,0
Nanded,2020,Other Frauds,0
Nandurbar,2020,Credit Card/Debit Card Fraud,0
Nandurbar,2020,ATM Fraud,2
Nandurbar,2020,Online Banking Fraud,5
Nandurbar,2020,OTP Frauds,0
Nandurbar,2020,Other Frauds,6
Dharashiv,2020,Credit Card/Debit Card Fraud,2
Dharashiv,2020,ATM Fraud,3
Dharashiv,2020,Online Banking Fraud,8
Dharashiv,2020,OTP Frauds,9
Dharashiv,2020,Other Frauds,11
Palghar,2020,Credit Card/Debit Card Fraud,0
Palghar,2020,ATM Fraud,0
Palghar,2020,Online Banking Fraud,0
Palghar,2020,OTP Frauds,0
Palghar,2020,Other Frauds,5
Parbhani,2020,Credit Card/Debit Card Fraud,3
Parbhani,2020,ATM Fraud,4
Parbhani,2020,Online Banking Fraud,2
Parbhani,2020,OTP Frauds,10
Parbhani,2020,Other Frauds,17
Raigad,2020,Credit Card/Debit Card Fraud,2
Raigad,2020,ATM Fraud,3
Raigad,2020,Online Banking Fraud,12
Raigad,2020,OTP Frauds,2
Raigad,2020,Other Frauds,0
Ratnagiri,2020,Credit Card/Debit Card Fraud,2
Ratnagiri,2020,ATM Fraud,18
Ratnagiri,2020,Online Banking Fraud,6
Ratnagiri,2020,OTP Frauds,4
Ratnagiri,2020,Other Frauds,0
Sangli,2020,Credit Card/Debit Card Fraud,0
