Year,District,Select Offense,Cases
2014,Thane,Counterfeiting,32
2014,Thane,Cheating,1830
2014,Thane,Forgery,3
2014,Wardha,Counterfeiting,0
2014,Wardha,Cheating,95
2014,Wardha,Forgery,4
2014,Washim,Counterfeiting,0
2014,Washim,Cheating,55
2014,Washim,Forgery,0
2014,Yavatmal,Counterfeiting,1
2014,Yavatmal,Cheating,151
2014,Yavatmal,Forgery,0
2015,Ahilyanagar,Counterfeiting,1
2015,Ahilyanagar,Cheating,167
2015,Ahilyanagar,Forgery,0
2015,Akola,Counterfeiting,3
2015,Akola,Cheating,93
2015,Akola,Forgery,2
2015,Amravati,Counterfeiting,3
2015,Amravati,Cheating,222
2015,Amravati,Forgery,34
2015,Chhatrapati Sambhaji Nagar,Counterfeiting,3
2015,Chhatrapati Sambhaji Nagar,Cheating,468
2015,Chhatrapati Sambhaji Nagar,Forgery,4
2015,Beed,Counterfeiting,1
2015,Beed,Cheating,94
2015,Beed,Forgery,2
2015,Bhandara,Counterfeiting,1
2015,Bhandara,Cheating,42
2015,Bhandara,Forgery,1
2015,Buldhana,Counterfeiting,9
2015,Buldhana,Cheating,103
2015,Buldhana,Forgery,0
2015,Chandrapur,Counterfeiting,1
2015,Chandrapur,Cheating,92
2015,Chandrapur,Forgery,0
2015,Dhule,Counterfeiting,1
2015,Dhule,Cheating,60
2015,Dhule,Forgery,0
2015,Gadchiroli,Counterfeiting,1
2015,Gadchiroli,Cheating,37
2015,Gadchiroli,Forgery,0
2015,Gondia,Counterfeiting,1
2015,Gondia,Cheating,62
2015,Gondia,Forgery,0
2015,Hingoli,Counterfeiting,0
2015,Hingoli,Cheating,23
2015,Hingoli,Forgery,0
2015,Jalgaon,Counterfeiting,3
2015,Jalgaon,Cheating,154
2015,Jalgaon,Forgery,0
2015,Jalna,Counterfeiting,0
2015,Jalna,Cheating,118
2015,Jalna,Forgery,0
2015,Kolhapur,Counterfeiting,0
2015,Kolhapur,Cheating,284
2015,Kolhapur,Forgery,0
2015,Latur,Counterfeiting,0
2015,Latur,Cheating,105
2015,Latur,Forgery,0
2015,Mumbai,Counterfeiting,51
2015,Mumbai,Cheating,3015
2015,Mumbai,Forgery,754
2015,Nagpur,Counterfeiting,9
2015,Nagpur,Cheating,372
2015,Nagpur,Forgery,77
2015,Nanded,Counterfeiting,3
2015,Nanded,Cheating,150
2015,Nanded,Forgery,3
2015,Nandurbar,Counterfeiting,1
2015,Nandurbar,Cheating,19
2015,Nandurbar,Forgery,4
2015,Nasik,Counterfeiting,17
2015,Nasik,Cheating,340
2015,Nasik,Forgery,1
2015,Dharashiv,Counterfeiting,1
2015,Dharashiv,Cheating,106
2015,Dharashiv,Forgery,0
2015,Palghar,Counterfeiting,5
2015,Palghar,Cheating,267
2015,Palghar,Forgery,8
2015,Parbhani,Counterfeiting,1
2015,Parbhani,Cheating,132
2015,Parbhani,Forgery,0
2015,Pune,Counterfeiting,17
2015,Pune,Cheating,1098
2015,Pune,Forgery,3
2015,Raigad,Counterfeiting,3
2015,Raigad,Cheating,200
2015,Raigad,Forgery,4
2015,Ratnagiri,Counterfeiting,1
2015,Ratnagiri,Cheating,89
2015,Ratnagiri,Forgery,3
2015,Sangli,Counterfeiting,5
2015,Sangli,Cheating,162
2015,Sangli,Forgery,2
2015,Satara,Counterfeiting,4
2015,Satara,Cheating,177
2015,Satara,Forgery,13
2015,Sindhudurg,Counterfeiting,7
2015,Sindhudurg,Cheating,17
2015,Sindhudurg,Forgery,13
2015,Solapur,Counterfeiting,7
2015,Solapur,Cheating,149
2015,Solapur,Forgery,71
2015,Thane,Counterfeiting,23
2015,Thane,Cheating,1767
2015,Thane,Forgery,11
2015,Wardha,Counterfeiting,4
2015,Wardha,Cheating,96
2015,Wardha,Forgery,1
2015,Washim,Counterfeiting,1
2015,Washim,Cheating,63
2015,Washim,Forgery,0
2015,Yavatmal,Counterfeiting,2
2015,Yavatmal,Cheating,147
2015,Yavatmal,Forgery,0
2016,Ahilyanagar,Counterfeiting,5
2016,Ahilyanagar,Cheating,102
2016,Ahilyanagar,Forgery,3
2016,Akola,Counterfeiting,1
2016,Akola,Cheating,86
2016,Akola,Forgery,1
2016,Amravati,Counterfeiting,1
2016,Amravati,Cheating,175
2016,Amravati,Forgery,47
2016,Chhatrapati Sambhaji Nagar,Counterfeiting,8
2016,Chhatrapati Sambhaji Nagar,Cheating,483
2016,Chhatrapati Sambhaji Nagar,Forgery,0
2016,Beed,Counterfeiting,0
2016,Beed,Cheating,98
2016,Beed,Forgery,2
2016,Bhandara,Counterfeiting,2
2016,Bhandara,Cheating,58
2016,Bhandara,Forgery,0
2016,Buldhana,Counterfeiting,6
2016,Buldhana,Cheating,80
2016,Buldhana,Forgery,0
2016,Chandrapur,Counterfeiting,0
2016,Chandrapur,Cheating,83
2016,Chandrapur,Forgery,0
2016,Dhule,Counterfeiting,1
2016,Dhule,Cheating,80
2016,Dhule,Forgery,0
2016,Gadchiroli,Counterfeiting,1
2016,Gadchiroli,Cheating,31
2016,Gadchiroli,Forgery,0
2016,Gondia,Counterfeiting,0
2016,Gondia,Cheating,72
2016,Gondia,Forgery,0
2016,Hingoli,Counterfeiting,0
2016,Hingoli,Cheating,26
2016,Hingoli,Forgery,0
2016,Jalgaon,Counterfeiting,3
2016,Jalgaon,Cheating,160
2016,Jalgaon,Forgery,1
2016,Jalna,Counterfeiting,1
2016,Jalna,Cheating,122
2016,Jalna,Forgery,0
2016,Kolhapur,Counterfeiting,1
2016,Kolhapur,Cheating,210
2016,Kolhapur,Forgery,0
2016,Latur,Counterfeiting,1
2016,Latur,Cheating,115
2016,Latur,Forgery,0
2016,Mumbai,Counterfeiting,24
2016,Mumbai,Cheating,2705
2016,Mumbai,Forgery,808
2016,Nagpur,Counterfeiting,2
2016,Nagpur,Cheating,463
2016,Nagpur,Forgery,15
2016,Nanded,Counterfeiting,1
2016,Nanded,Cheating,117
2016,Nanded,Forgery,5
2016,Nandurbar,Counterfeiting,1
2016,Nandurbar,Cheating,28
2016,Nandurbar,Forgery,7
2016,Nasik,Counterfeiting,15
2016,Nasik,Cheating,320
2016,Nasik,Forgery,50
2016,Dharashiv,Counterfeiting,2
2016,Dharashiv,Cheating,58
2016,Dharashiv,Forgery,0
2016,Palghar,Counterfeiting,3
2016,Palghar,Cheating,371
2016,Palghar,Forgery,16
2016,Parbhani,Counterfeiting,2
2016,Parbhani,Cheating,76
2016,Parbhani,Forgery,0
2016,Pune,Counterfeiting,8
2016,Pune,Cheating,1235
2016,Pune,Forgery,21
2016,Raigad,Counterfeiting,4
2016,Raigad,Cheating,180
2016,Raigad,Forgery,0
2016,Ratnagiri,Counterfeiting,0
2016,Ratnagiri,Cheating,103
2016,Ratnagiri,Forgery,4
2016,Sangli,Counterfeiting,0
2016,Sangli,Cheating,142
2016,Sangli,Forgery,1
2016,Satara,Counterfeiting,1
2016,Satara,Cheating,150
2016,Satara,Forgery,5
2016,Sindhudurg,Counterfeiting,2
2016,Sindhudurg,Cheating,20
2016,Sindhudurg,Forgery,9
2016,Solapur,Counterfeiting,8
2016,Solapur,Cheating,186
2016,Solapur,Forgery,19
2016,Thane,Counterfeiting,16
2016,Thane,Cheating,1421
2016,Thane,Forgery,34
2016,Wardha,Counterfeiting,1
2016,Wardha,Cheating,102
2016,Wardha,Forgery,8
2016,Washim,Counterfeiting,0
2016,Washim,Cheating,33
2016,Washim,Forgery,0
2016,Yavatmal,Counterfeiting,3
2016,Yavatmal,Cheating,101
2016,Yavatmal,Forgery,0
2017,Ahilyanagar,Counterfeiting,2
2017,Ahilyanagar,Cheating,173
2017,Ahilyanagar,Forgery,0
2017,Ahilyanagar,"Forgery, Cheating & Fraud",175
2017,Akola,Counterfeiting,1
2017,Akola,Cheating,64
2017,Akola,Forgery,2
2017,Akola,"Forgery, Cheating & Fraud",71
2017,Amravati,Counterfeiting,0
2017,Amravati,Cheating,133
2017,Amravati,Forgery,27
2017,Amravati,"Forgery, Cheating & Fraud",268
2017,Chhatrapati Sambhaji Nagar,Counterfeiting,3
2017,Chhatrapati Sambhaji Nagar,Cheating,194
2017,Chhatrapati Sambhaji Nagar,Forgery,16
2017,Chhatrapati Sambhaji Nagar,"Forgery, Cheating & Fraud",437
2017,Beed,Counterfeiting,1
2017,Beed,Cheating,56
2017,Beed,Forgery,29
2017,Beed,"Forgery, Cheating & Fraud",89
2017,Bhandara,Counterfeiting,1
2017,Bhandara,Cheating,16
2017,Bhandara,Forgery,0
2017,Bhandara,"Forgery, Cheating & Fraud",53
2017,Buldhana,Counterfeiting,2
2017,Buldhana,Cheating,108
2017,Buldhana,Forgery,2
2017,Buldhana,"Forgery, Cheating & Fraud",120
2017,Chandrapur,Counterfeiting,0
2017,Chandrapur,Cheating,81
2017,Chandrapur,Forgery,0
2017,Chandrapur,"Forgery, Cheating & Fraud",106
2017,Dhule,Counterfeiting,0
2017,Dhule,Cheating,86
2017,Dhule,Forgery,0
2017,Dhule,"Forgery, Cheating & Fraud",86
2017,Gadchiroli,Counterfeiting,0
2017,Gadchiroli,Cheating,19
2017,Gadchiroli,Forgery,0
2017,Gadchiroli,"Forgery, Cheating & Fraud",33
2017,Gondia,Counterfeiting,0
2017,Gondia,Cheating,38
2017,Gondia,Forgery,0
2017,Gondia,"Forgery, Cheating & Fraud",69
2017,Hingoli,Counterfeiting,1
2017,Hingoli,Cheating,7
2017,Hingoli,Forgery,0
2017,Hingoli,"Forgery, Cheating & Fraud",17
2017,Jalgaon,Counterfeiting,2
2017,Jalgaon,Cheating,148
2017,Jalgaon,Forgery,11
2017,Jalgaon,"Forgery, Cheating & Fraud",172
2017,Jalna,Counterfeiting,0
2017,Jalna,Cheating,85
2017,Jalna,Forgery,15
2017,Jalna,"Forgery, Cheating & Fraud",104
