District,Year,Type of Court,Functioning Courts
Akola,2019,Industrial Court,1.0
Akola,2019,Labor Court,1.0
Akola,2019,Public Court,
Akola,2020,Civil Court,43.0
Akola,2020,Consumer Forum,1.0
Akola,2020,Criminal Court,33.0
Akola,2020,District Magistrate And Executive Magistrate,7.0
Akola,2020,"Family Court
",1.0
Akola,2020,Industrial Court,1.0
Akola,2020,Labor Court,1.0
Akola,2020,Public Court,
Akola,2021,Civil Court,3.0
Akola,2021,Consumer Forum,1.0
Akola,2021,Criminal Court,33.0
Akola,2021,District Magistrate And Executive Magistrate,2.0
Akola,2021,"Family Court
",1.0
Akola,2021,Industrial Court,1.0
Akola,2021,Labor Court,1.0
Akola,2021,Public Court,
Amravati,2006,Civil Court,
Amravati,2006,Consumer Forum,
Amravati,2006,Criminal Court,
Amravati,2006,District Magistrate And Executive Magistrate,
Amravati,2006,Family Court,
Amravati,2006,Industrial Court,
Amravati,2006,Labor Court,
Amravati,2006,Public Court,
Amravati,2008,Civil Court,
Amravati,2008,Consumer Forum,
Amravati,2008,Criminal Court,
Amravati,2008,District Magistrate And Executive Magistrate,
Amravati,2008,Family Court,
Amravati,2008,Industrial Court,
Amravati,2008,Labor Court,
Amravati,2008,Public Court,
Amravati,2009,Civil Court,55.0
Amravati,2009,Consumer Forum,1.0
Amravati,2009,Criminal Court,48.0
Amravati,2009,District Magistrate And Executive Magistrate,21.0
Amravati,2009,Family Court,1.0
Amravati,2009,Industrial Court,1.0
Amravati,2009,Labor Court,1.0
Amravati,2009,Public Court,
Amravati,2010,Civil Court,54.0
Amravati,2010,Consumer Forum,1.0
Amravati,2010,Criminal Court,47.0
Amravati,2010,District Magistrate And Executive Magistrate,21.0
Amravati,2010,Family Court,1.0
Amravati,2010,Industrial Court,1.0
Amravati,2010,Labor Court,1.0
Amravati,2010,Public Court,
Amravati,2011,Civil Court,52.0
Amravati,2011,Consumer Forum,1.0
Amravati,2011,Criminal Court,47.0
Amravati,2011,District Magistrate And Executive Magistrate,22.0
Amravati,2011,Family Court,1.0
Amravati,2011,Industrial Court,1.0
Amravati,2011,Labor Court,1.0
Amravati,2011,Public Court,
Amravati,2012,Civil Court,51.0
Amravati,2012,Consumer Forum,1.0
Amravati,2012,Criminal Court,46.0
Amravati,2012,District Magistrate And Executive Magistrate,22.0
Amravati,2012,Family Court,
Amravati,2012,Industrial Court,1.0
Amravati,2012,Labor Court,1.0
Amravati,2012,Public Court,
Amravati,2013,Civil Court,56.0
Amravati,2013,Consumer Forum,1.0
Amravati,2013,Criminal Court,48.0
Amravati,2013,District Magistrate And Executive Magistrate,
Amravati,2013,"Family Court
",1.0
Amravati,2013,Industrial Court,1.0
Amravati,2013,Labor Court,1.0
Amravati,2013,Public Court,
Amravati,2014,Civil Court,41.0
Amravati,2014,Consumer Forum,1.0
Amravati,2014,Criminal Court,
Amravati,2014,District Magistrate And Executive Magistrate,
Amravati,2014,"Family Court
",1.0
Amravati,2014,Industrial Court,1.0
Amravati,2014,Labor Court,1.0
Amravati,2014,Public Court,
Amravati,2015,Civil Court,54.0
Amravati,2015,Consumer Forum,1.0
Amravati,2015,Criminal Court,
Amravati,2015,District Magistrate And Executive Magistrate,23.0
Amravati,2015,"Family Court
",1.0
Amravati,2015,Industrial Court,1.0
Amravati,2015,Labor Court,1.0
Amravati,2015,Public Court,
Amravati,2016,Civil Court,59.0
Amravati,2016,Consumer Forum,1.0
Amravati,2016,Criminal Court,
Amravati,2016,District Magistrate And Executive Magistrate,
Amravati,2016,Family Court,1.0
Amravati,2016,Industrial Court,1.0
Amravati,2016,Labor Court,1.0
Amravati,2016,Public Court,
Amravati,2017,Civil Court,56.0
Amravati,2017,Consumer Forum,1.0
Amravati,2017,Criminal Court,
Amravati,2017,District Magistrate And Executive Magistrate,
Amravati,2017,"Family Court
",1.0
Amravati,2017,Industrial Court,1.0
Amravati,2017,Labor Court,1.0
Amravati,2017,Public Court,
Amravati,2018,Civil Court,65.0
Amravati,2018,Consumer Forum,1.0
Amravati,2018,Criminal Court,
Amravati,2018,District Magistrate And Executive Magistrate,25.0
Amravati,2018,"Family Court
",1.0
Amravati,2018,Industrial Court,1.0
Amravati,2018,Labor Court,1.0
Amravati,2018,Public Court,
Amravati,2019,Civil Court,67.0
Amravati,2019,Consumer Forum,1.0
Amravati,2019,Criminal Court,
Amravati,2019,District Magistrate And Executive Magistrate,31.0
Amravati,2019,"Family Court
",1.0
Amravati,2019,Industrial Court,1.0
Amravati,2019,Labor Court,1.0
Amravati,2019,Public Court,
Amravati,2020,Civil Court,64.0
Amravati,2020,Consumer Forum,1.0
Amravati,2020,Criminal Court,
Amravati,2020,District Magistrate And Executive Magistrate,4.0
Amravati,2020,"Family Court
",1.0
Amravati,2020,Industrial Court,1.0
Amravati,2020,Labor Court,1.0
Amravati,2020,Public Court,
Amravati,2021,Civil Court,68.0
Amravati,2021,Consumer Forum,1.0
Amravati,2021,Criminal Court,
Amravati,2021,District Magistrate And Executive Magistrate,41.0
Amravati,2021,"Family Court
",1.0
Amravati,2021,Industrial Court,1.0
Amravati,2021,Labor Court,1.0
Amravati,2021,Public Court,
Beed,2013,Civil Court,48.0
Beed,2013,Consumer Forum,1.0
Beed,2013,Criminal Court,1.0
Beed,2013,District Magistrate And Executive Magistrate,
Beed,2013,"Family Court
",
Beed,2013,Industrial Court,1.0
Beed,2013,Labor Court,2.0
Beed,2013,Public Court,
Beed,2014,Civil Court,47.0
Beed,2014,Consumer Forum,1.0
Beed,2014,Criminal Court,1.0
Beed,2014,District Magistrate And Executive Magistrate,
Beed,2014,"Family Court
",
Beed,2014,Industrial Court,1.0
Beed,2014,Labor Court,2.0
Beed,2014,Public Court,
Beed,2015,Civil Court,51.0
Beed,2015,Consumer Forum,1.0
Beed,2015,Criminal Court,1.0
Beed,2015,District Magistrate And Executive Magistrate,
Beed,2015,"Family Court
",
Beed,2015,Industrial Court,1.0
Beed,2015,Labor Court,2.0
Beed,2015,Public Court,
Beed,2016,Civil Court,54.0
Beed,2016,Consumer Forum,1.0
Beed,2016,Criminal Court,55.0
Beed,2016,District Magistrate And Executive Magistrate,
Beed,2016,Family Court,
Beed,2016,Industrial Court,
Beed,2016,Labor Court,
Beed,2016,Public Court,
Beed,2017,Civil Court,53.0
Beed,2017,Consumer Forum,1.0
Beed,2017,Criminal Court,54.0
Beed,2017,District Magistrate And Executive Magistrate,
Beed,2017,"Family Court
",
Beed,2017,Industrial Court,
Beed,2017,Labor Court,
Beed,2017,Public Court,
Beed,2018,Civil Court,58.0
Beed,2018,Consumer Forum,1.0
Beed,2018,Criminal Court,59.0
Beed,2018,District Magistrate And Executive Magistrate,
Beed,2018,"Family Court
",
Beed,2018,Industrial Court,
Beed,2018,Labor Court,
Beed,2018,Public Court,
Beed,2019,Civil Court,6.0
Beed,2019,Consumer Forum,1.0
Beed,2019,Criminal Court,58.0
Beed,2019,District Magistrate And Executive Magistrate,
Beed,2019,"Family Court
",
Beed,2019,Industrial Court,
Beed,2019,Labor Court,
Beed,2019,Public Court,
Beed,2020,Civil Court,58.0
Beed,2020,Consumer Forum,1.0
Beed,2020,Criminal Court,59.0
Beed,2020,District Magistrate And Executive Magistrate,
Beed,2020,"Family Court
",1.0
Beed,2020,Industrial Court,
Beed,2020,Labor Court,
Beed,2020,Public Court,
Beed,2021,Civil Court,55.0
Beed,2021,Consumer Forum,1.0
Beed,2021,Criminal Court,56.0
Beed,2021,District Magistrate And Executive Magistrate,18.0
Beed,2021,"Family Court
",1.0
Beed,2021,Industrial Court,
Beed,2021,Labor Court,
Beed,2021,Public Court,
Bhandara,2012,Civil Court,1.0
Bhandara,2012,Consumer Forum,1.0
Bhandara,2012,Criminal Court,18.0
Bhandara,2012,District Magistrate And Executive Magistrate,
Bhandara,2012,Family Court,
Bhandara,2012,Industrial Court,1.0
Bhandara,2012,Labor Court,1.0
Bhandara,2012,Public Court,
Bhandara,2013,Civil Court,1.0
Bhandara,2013,Consumer Forum,1.0
Bhandara,2013,Criminal Court,18.0
Bhandara,2013,District Magistrate And Executive Magistrate,
Bhandara,2013,"Family Court
",
Bhandara,2013,Industrial Court,1.0
Bhandara,2013,Labor Court,1.0
Bhandara,2013,Public Court,
Bhandara,2014,Civil Court,1.0
Bhandara,2014,Consumer Forum,1.0
Bhandara,2014,Criminal Court,2.0
Bhandara,2014,District Magistrate And Executive Magistrate,
Bhandara,2014,"Family Court
",
Bhandara,2014,Industrial Court,1.0
Bhandara,2014,Labor Court,1.0
Bhandara,2014,Public Court,
Bhandara,2015,Civil Court,2.0
Bhandara,2015,Consumer Forum,1.0
Bhandara,2015,Criminal Court,23.0
Bhandara,2015,District Magistrate And Executive Magistrate,
Bhandara,2015,"Family Court
",
Bhandara,2015,Industrial Court,1.0
Bhandara,2015,Labor Court,1.0
Bhandara,2015,Public Court,
