District,Year,Type of Court,Functioning Courts
Nanded,2020,Criminal Court,1.0
Nanded,2020,District Magistrate And Executive Magistrate,25.0
Nanded,2020,"Family Court
",1.0
Nanded,2020,Industrial Court,1.0
Nanded,2020,Labor Court,1.0
Nanded,2020,Public Court,1.0
Nanded,2021,Civil Court,54.0
Nanded,2021,Consumer Forum,1.0
Nanded,2021,Criminal Court,54.0
Nanded,2021,District Magistrate And Executive Magistrate,25.0
Nanded,2021,"Family Court
",1.0
Nanded,2021,Industrial Court,
Nanded,2021,Labor Court,1.0
Nanded,2021,Public Court,55.0
Nandurbar,2006,Civil Court,
Nandurbar,2006,Consumer Forum,
Nandurbar,2006,Criminal Court,
Nandurbar,2006,District Magistrate And Executive Magistrate,
Nandurbar,2006,Family Court,
Nandurbar,2006,Industrial Court,
Nandurbar,2006,Labor Court,
Nandurbar,2006,Public Court,
Nandurbar,2008,Civil Court,
Nandurbar,2008,Consumer Forum,
Nandurbar,2008,Criminal Court,
Nandurbar,2008,District Magistrate And Executive Magistrate,
Nandurbar,2008,Family Court,
Nandurbar,2008,Industrial Court,
Nandurbar,2008,Labor Court,
Nandurbar,2008,Public Court,
Nandurbar,2009,Civil Court,2.0
Nandurbar,2009,Consumer Forum,1.0
Nandurbar,2009,Criminal Court,15.0
Nandurbar,2009,District Magistrate And Executive Magistrate,1.0
Nandurbar,2009,Family Court,
Nandurbar,2009,Industrial Court,1.0
Nandurbar,2009,Labor Court,1.0
Nandurbar,2009,Public Court,5.0
Nandurbar,2010,Civil Court,4.0
Nandurbar,2010,Consumer Forum,1.0
Nandurbar,2010,Criminal Court,15.0
Nandurbar,2010,District Magistrate And Executive Magistrate,1.0
Nandurbar,2010,Family Court,
Nandurbar,2010,Industrial Court,1.0
Nandurbar,2010,Labor Court,1.0
Nandurbar,2010,Public Court,5.0
Nandurbar,2011,Civil Court,4.0
Nandurbar,2011,Consumer Forum,1.0
Nandurbar,2011,Criminal Court,15.0
Nandurbar,2011,District Magistrate And Executive Magistrate,1.0
Nandurbar,2011,Family Court,
Nandurbar,2011,Industrial Court,1.0
Nandurbar,2011,Labor Court,1.0
Nandurbar,2011,Public Court,15.0
Nandurbar,2012,Civil Court,4.0
Nandurbar,2012,Consumer Forum,1.0
Nandurbar,2012,Criminal Court,1.0
Nandurbar,2012,District Magistrate And Executive Magistrate,7.0
Nandurbar,2012,Family Court,
Nandurbar,2012,Industrial Court,1.0
Nandurbar,2012,Labor Court,1.0
Nandurbar,2012,Public Court,1.0
Nandurbar,2013,Civil Court,4.0
Nandurbar,2013,Consumer Forum,1.0
Nandurbar,2013,Criminal Court,1.0
Nandurbar,2013,District Magistrate And Executive Magistrate,7.0
Nandurbar,2013,"Family Court
",
Nandurbar,2013,Industrial Court,1.0
Nandurbar,2013,Labor Court,1.0
Nandurbar,2013,Public Court,1.0
Nandurbar,2014,Civil Court,2.0
Nandurbar,2014,Consumer Forum,1.0
Nandurbar,2014,Criminal Court,13.0
Nandurbar,2014,District Magistrate And Executive Magistrate,7.0
Nandurbar,2014,"Family Court
",
Nandurbar,2014,Industrial Court,1.0
Nandurbar,2014,Labor Court,1.0
Nandurbar,2014,Public Court,1.0
Nandurbar,2015,Civil Court,2.0
Nandurbar,2015,Consumer Forum,1.0
Nandurbar,2015,Criminal Court,18.0
Nandurbar,2015,District Magistrate And Executive Magistrate,1.0
Nandurbar,2015,"Family Court
",
Nandurbar,2015,Industrial Court,1.0
Nandurbar,2015,Labor Court,1.0
Nandurbar,2015,Public Court,1.0
Nandurbar,2016,Civil Court,2.0
Nandurbar,2016,Consumer Forum,1.0
Nandurbar,2016,Criminal Court,18.0
Nandurbar,2016,District Magistrate And Executive Magistrate,1.0
Nandurbar,2016,Family Court,
Nandurbar,2016,Industrial Court,1.0
Nandurbar,2016,Labor Court,1.0
Nandurbar,2016,Public Court,1.0
Nandurbar,2017,Civil Court,2.0
Nandurbar,2017,Consumer Forum,1.0
Nandurbar,2017,Criminal Court,18.0
Nandurbar,2017,District Magistrate And Executive Magistrate,1.0
Nandurbar,2017,"Family Court
",
Nandurbar,2017,Industrial Court,1.0
Nandurbar,2017,Labor Court,1.0
Nandurbar,2017,Public Court,1.0
Nandurbar,2018,Civil Court,3.0
Nandurbar,2018,Consumer Forum,1.0
Nandurbar,2018,Criminal Court,12.0
Nandurbar,2018,District Magistrate And Executive Magistrate,1.0
Nandurbar,2018,"Family Court
",
Nandurbar,2018,Industrial Court,1.0
Nandurbar,2018,Labor Court,1.0
Nandurbar,2018,Public Court,1.0
Nandurbar,2019,Civil Court,2.0
Nandurbar,2019,Consumer Forum,1.0
Nandurbar,2019,Criminal Court,12.0
Nandurbar,2019,District Magistrate And Executive Magistrate,1.0
Nandurbar,2019,"Family Court
",
Nandurbar,2019,Industrial Court,1.0
Nandurbar,2019,Labor Court,1.0
Nandurbar,2019,Public Court,1.0
Nandurbar,2020,Civil Court,2.0
Nandurbar,2020,Consumer Forum,1.0
Nandurbar,2020,Criminal Court,13.0
Nandurbar,2020,District Magistrate And Executive Magistrate,16.0
Nandurbar,2020,"Family Court
",
Nandurbar,2020,Industrial Court,1.0
Nandurbar,2020,Labor Court,1.0
Nandurbar,2020,Public Court,1.0
Nandurbar,2021,Civil Court,4.0
Nandurbar,2021,Consumer Forum,1.0
Nandurbar,2021,Criminal Court,1.0
Nandurbar,2021,District Magistrate And Executive Magistrate,17.0
Nandurbar,2021,"Family Court
",
Nandurbar,2021,Industrial Court,1.0
Nandurbar,2021,Labor Court,1.0
Nandurbar,2021,Public Court,1.0
Nashik,2012,Civil Court,7.0
Nashik,2012,Consumer Forum,1.0
Nashik,2012,Criminal Court,72.0
Nashik,2012,District Magistrate And Executive Magistrate,
Nashik,2012,Family Court,1.0
Nashik,2012,Industrial Court,1.0
Nashik,2012,Labor Court,1.0
Nashik,2012,Public Court,1.0
Nashik,2013,Civil Court,71.0
Nashik,2013,Consumer Forum,1.0
Nashik,2013,Criminal Court,73.0
Nashik,2013,District Magistrate And Executive Magistrate,24.0
Nashik,2013,"Family Court
",1.0
Nashik,2013,Industrial Court,1.0
Nashik,2013,Labor Court,2.0
Nashik,2013,Public Court,1.0
Nashik,2014,Civil Court,66.0
Nashik,2014,Consumer Forum,1.0
Nashik,2014,Criminal Court,6.0
Nashik,2014,District Magistrate And Executive Magistrate,24.0
Nashik,2014,"Family Court
",1.0
Nashik,2014,Industrial Court,1.0
Nashik,2014,Labor Court,2.0
Nashik,2014,Public Court,1.0
Nashik,2015,Civil Court,67.0
Nashik,2015,Consumer Forum,1.0
Nashik,2015,Criminal Court,62.0
Nashik,2015,District Magistrate And Executive Magistrate,25.0
Nashik,2015,"Family Court
",1.0
Nashik,2015,Industrial Court,1.0
Nashik,2015,Labor Court,2.0
Nashik,2015,Public Court,1.0
Nashik,2016,Civil Court,73.0
Nashik,2016,Consumer Forum,1.0
Nashik,2016,Criminal Court,7.0
Nashik,2016,District Magistrate And Executive Magistrate,25.0
Nashik,2016,Family Court,1.0
Nashik,2016,Industrial Court,1.0
Nashik,2016,Labor Court,2.0
Nashik,2016,Public Court,1.0
Nashik,2017,Civil Court,73.0
Nashik,2017,Consumer Forum,1.0
Nashik,2017,Criminal Court,7.0
Nashik,2017,District Magistrate And Executive Magistrate,25.0
Nashik,2017,"Family Court
",1.0
Nashik,2017,Industrial Court,1.0
Nashik,2017,Labor Court,2.0
Nashik,2017,Public Court,1.0
Nashik,2018,Civil Court,83.0
Nashik,2018,Consumer Forum,1.0
Nashik,2018,Criminal Court,8.0
Nashik,2018,District Magistrate And Executive Magistrate,25.0
Nashik,2018,"Family Court
",1.0
Nashik,2018,Industrial Court,1.0
Nashik,2018,Labor Court,2.0
Nashik,2018,Public Court,5.0
Nashik,2019,Civil Court,84.0
Nashik,2019,Consumer Forum,1.0
Nashik,2019,Criminal Court,84.0
Nashik,2019,District Magistrate And Executive Magistrate,25.0
Nashik,2019,"Family Court
",1.0
Nashik,2019,Industrial Court,1.0
Nashik,2019,Labor Court,2.0
Nashik,2019,Public Court,5.0
Nashik,2020,Civil Court,82.0
Nashik,2020,Consumer Forum,1.0
Nashik,2020,Criminal Court,82.0
Nashik,2020,District Magistrate And Executive Magistrate,26.0
Nashik,2020,"Family Court
",1.0
Nashik,2020,Industrial Court,1.0
Nashik,2020,Labor Court,2.0
Nashik,2020,Public Court,
Nashik,2021,Civil Court,82.0
Nashik,2021,Consumer Forum,1.0
Nashik,2021,Criminal Court,82.0
Nashik,2021,District Magistrate And Executive Magistrate,26.0
Nashik,2021,"Family Court
",1.0
Nashik,2021,Industrial Court,1.0
Nashik,2021,Labor Court,2.0
Nashik,2021,Public Court,1.0
Palghar,2019,Civil Court,16.0
Palghar,2019,Consumer Forum,1.0
Palghar,2019,Criminal Court,23.0
Palghar,2019,District Magistrate And Executive Magistrate,8.0
Palghar,2019,"Family Court
",1.0
Palghar,2019,Industrial Court,3.0
Palghar,2019,Labor Court,4.0
Palghar,2019,Public Court,
Palghar,2020,Civil Court,16.0
Palghar,2020,Consumer Forum,1.0
Palghar,2020,Criminal Court,23.0
Palghar,2020,District Magistrate And Executive Magistrate,8.0
Palghar,2020,"Family Court
",1.0
Palghar,2020,Industrial Court,3.0
Palghar,2020,Labor Court,4.0
Palghar,2020,Public Court,
Palghar,2021,Civil Court,18.0
Palghar,2021,Consumer Forum,1.0
Palghar,2021,Criminal Court,23.0
Palghar,2021,District Magistrate And Executive Magistrate,8.0
Palghar,2021,"Family Court
",1.0
Palghar,2021,Industrial Court,3.0
Palghar,2021,Labor Court,4.0
Palghar,2021,Public Court,4.0
Parbhani,2013,Civil Court,28.0
Parbhani,2013,Consumer Forum,1.0
Parbhani,2013,Criminal Court,27.0
Parbhani,2013,District Magistrate And Executive Magistrate,15.0
Parbhani,2013,"Family Court
",1.0
Parbhani,2013,Industrial Court,1.0
Parbhani,2013,Labor Court,1.0
Parbhani,2013,Public Court,
Parbhani,2014,Civil Court,28.0
Parbhani,2014,Consumer Forum,1.0
Parbhani,2014,Criminal Court,29.0
Parbhani,2014,District Magistrate And Executive Magistrate,24.0
Parbhani,2014,"Family Court
",1.0
Parbhani,2014,Industrial Court,1.0
Parbhani,2014,Labor Court,1.0
Parbhani,2014,Public Court,
Parbhani,2015,Civil Court,35.0
Parbhani,2015,Consumer Forum,1.0
Parbhani,2015,Criminal Court,35.0
Parbhani,2015,District Magistrate And Executive Magistrate,24.0
Parbhani,2015,"Family Court
",1.0
Parbhani,2015,Industrial Court,1.0
Parbhani,2015,Labor Court,1.0
Parbhani,2015,Public Court,
Parbhani,2016,Civil Court,35.0
Parbhani,2016,Consumer Forum,1.0
Parbhani,2016,Criminal Court,35.0
Parbhani,2016,District Magistrate And Executive Magistrate,24.0
Parbhani,2016,Family Court,
Parbhani,2016,Industrial Court,1.0
Parbhani,2016,Labor Court,
Parbhani,2016,Public Court,
Parbhani,2017,Civil Court,31.0
Parbhani,2017,Consumer Forum,1.0
Parbhani,2017,Criminal Court,31.0
Parbhani,2017,District Magistrate And Executive Magistrate,24.0
Parbhani,2017,"Family Court
",
Parbhani,2017,Industrial Court,1.0
Parbhani,2017,Labor Court,
Parbhani,2017,Public Court,
Parbhani,2018,Civil Court,36.0
Parbhani,2018,Consumer Forum,1.0
Parbhani,2018,Criminal Court,36.0
Parbhani,2018,District Magistrate And Executive Magistrate,24.0
Parbhani,2018,"Family Court
",
Parbhani,2018,Industrial Court,
Parbhani,2018,Labor Court,
Parbhani,2018,Public Court,
Parbhani,2019,Civil Court,32.0
Parbhani,2019,Consumer Forum,1.0
Parbhani,2019,Criminal Court,32.0
Parbhani,2019,District Magistrate And Executive Magistrate,15.0
Parbhani,2019,"Family Court
",
Parbhani,2019,Industrial Court,
Parbhani,2019,Labor Court,
Parbhani,2019,Public Court,
Parbhani,2020,Civil Court,33.0
Parbhani,2020,Consumer Forum,1.0
Parbhani,2020,Criminal Court,33.0
Parbhani,2020,District Magistrate And Executive Magistrate,15.0
Parbhani,2020,"Family Court
",1.0
Parbhani,2020,Industrial Court,
Parbhani,2020,Labor Court,1.0
Parbhani,2020,Public Court,
Parbhani,2021,Civil Court,33.0
Parbhani,2021,Consumer Forum,1.0
Parbhani,2021,Criminal Court,
Parbhani,2021,District Magistrate And Executive Magistrate,15.0
Parbhani,2021,"Family Court
",1.0
Parbhani,2021,Industrial Court,
Parbhani,2021,Labor Court,
Parbhani,2021,Public Court,
Raigad,2019,Civil Court,41.0
Raigad,2019,Consumer Forum,1.0
Raigad,2019,Criminal Court,38.0
Raigad,2019,District Magistrate And Executive Magistrate,25.0
Raigad,2019,Family Court,
Raigad,2019,Industrial Court,3.0
Raigad,2019,Labor Court,1.0
Raigad,2019,Public Court,
Raigad,2020,Civil Court,41.0
Raigad,2020,Consumer Forum,1.0
Raigad,2020,Criminal Court,27.0
Raigad,2020,District Magistrate And Executive Magistrate,25.0
Raigad,2020,Family Court,
Raigad,2020,Industrial Court,3.0
Raigad,2020,Labor Court,1.0
Raigad,2020,Public Court,1.0
Raigad,2021,Civil Court,41.0
Raigad,2021,Consumer Forum,1.0
Raigad,2021,Criminal Court,27.0
Raigad,2021,District Magistrate And Executive Magistrate,25.0
Raigad,2021,Family Court,1.0
Raigad,2021,Industrial Court,3.0
Raigad,2021,Labor Court,1.0
Raigad,2021,Public Court,3.0
Ratnagiri,2019,Civil Court,29.0
Ratnagiri,2019,Consumer Forum,1.0
Ratnagiri,2019,Criminal Court,24.0
Ratnagiri,2019,District Magistrate And Executive Magistrate,1.0
Ratnagiri,2019,"Family Court
",7.0
Ratnagiri,2019,Industrial Court,2.0
Ratnagiri,2019,Labor Court,1.0
Ratnagiri,2019,Public Court,8.0
Ratnagiri,2020,Civil Court,29.0
Ratnagiri,2020,Consumer Forum,7.0
Ratnagiri,2020,Criminal Court,24.0
Ratnagiri,2020,District Magistrate And Executive Magistrate,1.0
Ratnagiri,2020,"Family Court
",1.0
Ratnagiri,2020,Industrial Court,2.0
Ratnagiri,2020,Labor Court,1.0
Ratnagiri,2020,Public Court,8.0
Ratnagiri,2021,Civil Court,25.0
Ratnagiri,2021,Consumer Forum,1.0
Ratnagiri,2021,Criminal Court,21.0
Ratnagiri,2021,District Magistrate And Executive Magistrate,1.0
Ratnagiri,2021,"Family Court
",7.0
Ratnagiri,2021,Industrial Court,2.0
Ratnagiri,2021,Labor Court,1.0
Ratnagiri,2021,Public Court,8.0
Satara,2014,Civil Court,61.0
Satara,2014,Criminal Court,55.0
Satara,2014,District Consumer Forum,1.0
Satara,2014,District Magistrate And Executive Magistrate,
Satara,2014,Family Court,
Satara,2014,Industrial Court,1.0
Satara,2014,Labor Court,1.0
Satara,2014,Public Court,
Satara,2015,Civil Court,63.0
Satara,2015,Criminal Court,56.0
Satara,2015,District Consumer Forum,1.0
Satara,2015,District Magistrate And Executive Magistrate,2.0
Satara,2015,Family Court,
Satara,2015,Industrial Court,1.0
Satara,2015,Labor Court,1.0
Satara,2015,Public Court,
Satara,2016,Civil Court,63.0
Satara,2016,Criminal Court,56.0
Satara,2016,District Consumer Forum,1.0
Satara,2016,District Magistrate And Executive Magistrate,
Satara,2016,Family Court,
Satara,2016,Industrial Court,1.0
Satara,2016,Labor Court,1.0
Satara,2016,Public Court,
Satara,2017,Civil Court,65.0
Satara,2017,Criminal Court,6.0
Satara,2017,District Consumer Forum,1.0
Satara,2017,District Magistrate And Executive Magistrate,2.0
Satara,2017,Family Court,
Satara,2017,Industrial Court,1.0
Satara,2017,Labor Court,1.0
Satara,2017,Public Court,
Satara,2018,Civil Court,68.0
Satara,2018,Criminal Court,57.0
Satara,2018,District Consumer Forum,1.0
Satara,2018,District Magistrate And Executive Magistrate,2.0
Satara,2018,Family Court,
Satara,2018,Industrial Court,1.0
Satara,2018,Labor Court,1.0
Satara,2018,Public Court,
Satara,2019,Civil Court,62.0
Satara,2019,Criminal Court,6.0
Satara,2019,District Consumer Forum,1.0
Satara,2019,District Magistrate And Executive Magistrate,2.0
Satara,2019,Family Court,
Satara,2019,Industrial Court,1.0
Satara,2019,Labor Court,1.0
Satara,2019,Public Court,
Satara,2020,Civil Court,62.0
Satara,2020,Criminal Court,6.0
Satara,2020,District Consumer Forum,1.0
Satara,2020,District Magistrate And Executive Magistrate,2.0
Satara,2020,Family Court,
Satara,2020,Industrial Court,1.0
Satara,2020,Labor Court,1.0
Satara,2020,Public Court,
Satara,2021,Civil Court,8.0
Satara,2021,Criminal Court,64.0
Satara,2021,District Consumer Forum,1.0
Satara,2021,District Magistrate And Executive Magistrate,2.0
Satara,2021,Family Court,
Satara,2021,Industrial Court,1.0
Satara,2021,Labor Court,1.0
Satara,2021,Public Court,
Sindhudurg,2019,Civil Court,16.0
Sindhudurg,2019,Consumer Forum,1.0
Sindhudurg,2019,Criminal Court,16.0
Sindhudurg,2019,District Magistrate And Executive Magistrate,12.0
Sindhudurg,2019,"Family Court
",
Sindhudurg,2019,Industrial Court,2.0
Sindhudurg,2019,Labor Court,1.0
Sindhudurg,2019,Public Court,16.0
Sindhudurg,2020,Civil Court,17.0
Sindhudurg,2020,Consumer Forum,1.0
Sindhudurg,2020,Criminal Court,17.0
Sindhudurg,2020,District Magistrate And Executive Magistrate,12.0
Sindhudurg,2020,"Family Court
",
Sindhudurg,2020,Industrial Court,2.0
Sindhudurg,2020,Labor Court,1.0
Sindhudurg,2020,Public Court,17.0
Sindhudurg,2021,Civil Court,17.0
Sindhudurg,2021,Consumer Forum,1.0
Sindhudurg,2021,Criminal Court,17.0
Sindhudurg,2021,District Magistrate And Executive Magistrate,13.0
Sindhudurg,2021,"Family Court
",
Sindhudurg,2021,Industrial Court,2.0
Sindhudurg,2021,Labor Court,1.0
Sindhudurg,2021,Public Court,17.0
Solapur,2011,Civil Court,8.0
Solapur,2011,Consumer Forum,1.0
Solapur,2011,Criminal Court,53.0
Solapur,2011,District Magistrate,16.0
Solapur,2011,Family Court,
Solapur,2011,Industrial Court,1.0
Solapur,2011,Labor Court,1.0
Solapur,2011,Public Court,
Solapur,2012,Civil Court,15.0
Solapur,2012,Consumer Forum,1.0
Solapur,2012,Criminal Court,46.0
Solapur,2012,District Magistrate,18.0
Solapur,2012,Family Court,1.0
Solapur,2012,Industrial Court,1.0
Solapur,2012,Labor Court,1.0
Solapur,2012,Public Court,
Solapur,2013,Civil Court,15.0
Solapur,2013,Consumer Forum,1.0
Solapur,2013,Criminal Court,46.0
Solapur,2013,District Magistrate,18.0
Solapur,2013,Family Court,1.0
Solapur,2013,Industrial Court,1.0
Solapur,2013,Labor Court,1.0
Solapur,2013,Public Court,
Solapur,2014,Civil Court,15.0
Solapur,2014,Consumer Forum,1.0
Solapur,2014,Criminal Court,46.0
Solapur,2014,District Magistrate,18.0
Solapur,2014,Family Court,1.0
Solapur,2014,Industrial Court,1.0
Solapur,2014,Labor Court,1.0
Solapur,2014,Public Court,
Solapur,2016,Civil Court,18.0
Solapur,2016,Consumer Forum,1.0
Solapur,2016,Criminal Court,
Solapur,2016,District Magistrate,18.0
Solapur,2016,Family Court,1.0
Solapur,2016,Industrial Court,1.0
Solapur,2016,Labor Court,1.0
Solapur,2016,Public Court,
Solapur,2018,Civil Court,18.0
Solapur,2018,Consumer Forum,1.0
Solapur,2018,Criminal Court,
Solapur,2018,District Magistrate,2.0
Solapur,2018,Family Court,1.0
Solapur,2018,Industrial Court,1.0
Solapur,2018,Labor Court,1.0
Solapur,2018,Public Court,1.0
Solapur,2019,Civil Court,18.0
Solapur,2019,Consumer Forum,1.0
Solapur,2019,Criminal Court,
Solapur,2019,District Magistrate,2.0
Solapur,2019,Family Court,1.0
Solapur,2019,Industrial Court,1.0
Solapur,2019,Labor Court,1.0
Solapur,2019,Public Court,
Solapur,2020,Civil Court,18.0
Solapur,2020,Consumer Forum,1.0
Solapur,2020,Criminal Court,
Solapur,2020,District Magistrate,2.0
Solapur,2020,Family Court,1.0
Solapur,2020,Industrial Court,1.0
Solapur,2020,Labor Court,1.0
Solapur,2020,Public Court,
Solapur,2021,Civil Court,18.0
Solapur,2021,Consumer Forum,1.0
Solapur,2021,Criminal Court,
Solapur,2021,District Magistrate,21.0
Solapur,2021,Family Court,1.0
Solapur,2021,Industrial Court,1.0
Solapur,2021,Labor Court,1.0
Solapur,2021,Public Court,
Thane,2019,Civil Court,21.0
Thane,2019,Consumer Forum,1.0
Thane,2019,Criminal Court,22.0
Thane,2019,District Magistrate And Executive Magistrate,11.0
Thane,2019,"Family Court
",1.0
Thane,2019,Industrial Court,3.0
Thane,2019,Labor Court,4.0
Thane,2019,Public Court,
Thane,2020,Civil Court,16.0
Thane,2020,Consumer Forum,1.0
Thane,2020,Criminal Court,19.0
Thane,2020,District Magistrate And Executive Magistrate,15.0
Thane,2020,"Family Court
",1.0
Thane,2020,Industrial Court,3.0
Thane,2020,Labor Court,4.0
Thane,2020,Public Court,4.0
Thane,2021,Civil Court,18.0
Thane,2021,Consumer Forum,1.0
Thane,2021,Criminal Court,2.0
Thane,2021,District Magistrate And Executive Magistrate,15.0
Thane,2021,"Family Court
",1.0
Thane,2021,Industrial Court,3.0
Thane,2021,Labor Court,4.0
Thane,2021,Public Court,4.0
Wardha,2012,Civil Court,38.0
Wardha,2012,Consumer Forum,1.0
Wardha,2012,Criminal Court,34.0
Wardha,2012,District Magistrate And Executive Magistrate,41.0
Wardha,2012,Family Court,
Wardha,2012,Industrial Court,
Wardha,2012,Labor Court,1.0
Wardha,2012,Public Court,9.0
Wardha,2013,Civil Court,35.0
Wardha,2013,Consumer Forum,1.0
Wardha,2013,Criminal Court,34.0
Wardha,2013,District Magistrate And Executive Magistrate,28.0
Wardha,2013,"Family Court
",
Wardha,2013,Industrial Court,
Wardha,2013,Labor Court,1.0
Wardha,2013,Public Court,9.0
Wardha,2014,Civil Court,35.0
Wardha,2014,Consumer Forum,1.0
Wardha,2014,Criminal Court,34.0
Wardha,2014,District Magistrate And Executive Magistrate,28.0
Wardha,2014,"Family Court
",
Wardha,2014,Industrial Court,
Wardha,2014,Labor Court,1.0
Wardha,2014,Public Court,8.0
Wardha,2015,Civil Court,3.0
Wardha,2015,Consumer Forum,1.0
Wardha,2015,Criminal Court,31.0
Wardha,2015,District Magistrate And Executive Magistrate,28.0
Wardha,2015,"Family Court
",
Wardha,2015,Industrial Court,
Wardha,2015,Labor Court,1.0
Wardha,2015,Public Court,8.0
Wardha,2016,Civil Court,39.0
Wardha,2016,Consumer Forum,1.0
Wardha,2016,Criminal Court,36.0
Wardha,2016,District Magistrate And Executive Magistrate,28.0
Wardha,2016,Family Court,
Wardha,2016,Industrial Court,
Wardha,2016,Labor Court,1.0
Wardha,2016,Public Court,8.0
Wardha,2017,Civil Court,38.0
Wardha,2017,Consumer Forum,1.0
Wardha,2017,Criminal Court,35.0
Wardha,2017,District Magistrate And Executive Magistrate,28.0
Wardha,2017,"Family Court
",
Wardha,2017,Industrial Court,
Wardha,2017,Labor Court,1.0
Wardha,2017,Public Court,5.0
Wardha,2018,Civil Court,37.0
Wardha,2018,Consumer Forum,1.0
Wardha,2018,Criminal Court,29.0
Wardha,2018,District Magistrate And Executive Magistrate,28.0
Wardha,2018,"Family Court
",
Wardha,2018,Industrial Court,5.0
Wardha,2018,Labor Court,1.0
Wardha,2018,Public Court,5.0
Wardha,2019,Civil Court,41.0
Wardha,2019,Consumer Forum,1.0
Wardha,2019,Criminal Court,34.0
Wardha,2019,District Magistrate And Executive Magistrate,28.0
Wardha,2019,"Family Court
",
Wardha,2019,Industrial Court,5.0
Wardha,2019,Labor Court,1.0
Wardha,2019,Public Court,5.0
Wardha,2020,Civil Court,42.0
Wardha,2020,Consumer Forum,1.0
Wardha,2020,Criminal Court,37.0
Wardha,2020,District Magistrate And Executive Magistrate,28.0
Wardha,2020,"Family Court
",
Wardha,2020,Industrial Court,5.0
Wardha,2020,Labor Court,1.0
Wardha,2020,Public Court,1.0
Wardha,2021,Civil Court,38.0
Wardha,2021,Consumer Forum,1.0
Wardha,2021,Criminal Court,34.0
Wardha,2021,District Magistrate And Executive Magistrate,23.0
Wardha,2021,"Family Court
",
Wardha,2021,Industrial Court,5.0
Wardha,2021,Labor Court,1.0
Wardha,2021,Public Court,4.0
Washim,2008,Civil Court,
Washim,2008,Consumer Forum,
Washim,2008,Criminal Court,
Washim,2008,District Magistrate And Executive Magistrate,
Washim,2008,Family Court,
Washim,2008,Industrial Court,
Washim,2008,Labor Court,
Washim,2008,Public Court,
Washim,2009,Civil Court,18.0
Washim,2009,Consumer Forum,56.0
Washim,2009,Criminal Court,18.0
Washim,2009,District Magistrate And Executive Magistrate,18.0
Washim,2009,Family Court,
Washim,2009,Industrial Court,1.0
Washim,2009,Labor Court,1.0
Washim,2009,Public Court,
Washim,2010,Civil Court,17.0
Washim,2010,Consumer Forum,56.0
Washim,2010,Criminal Court,18.0
Washim,2010,District Magistrate And Executive Magistrate,18.0
Washim,2010,Family Court,
Washim,2010,Industrial Court,1.0
Washim,2010,Labor Court,1.0
Washim,2010,Public Court,
Washim,2011,Civil Court,18.0
Washim,2011,Consumer Forum,1.0
Washim,2011,Criminal Court,17.0
Washim,2011,District Magistrate And Executive Magistrate,18.0
Washim,2011,Family Court,
Washim,2011,Industrial Court,1.0
Washim,2011,Labor Court,1.0
Washim,2011,Public Court,
Washim,2012,Civil Court,2.0
Washim,2012,Consumer Forum,1.0
Washim,2012,Criminal Court,2.0
Washim,2012,District Magistrate And Executive Magistrate,18.0
Washim,2012,Family Court,
Washim,2012,Industrial Court,1.0
Washim,2012,Labor Court,1.0
Washim,2012,Public Court,
Washim,2013,Civil Court,17.0
Washim,2013,Consumer Forum,1.0
Washim,2013,Criminal Court,15.0
Washim,2013,District Magistrate And Executive Magistrate,18.0
Washim,2013,"Family Court
",
Washim,2013,Industrial Court,1.0
Washim,2013,Labor Court,1.0
Washim,2013,Public Court,
Washim,2014,Civil Court,2.0
Washim,2014,Consumer Forum,1.0
Washim,2014,Criminal Court,17.0
Washim,2014,District Magistrate And Executive Magistrate,11.0
Washim,2014,"Family Court
",
Washim,2014,Industrial Court,1.0
Washim,2014,Labor Court,1.0
Washim,2014,Public Court,
Washim,2015,Civil Court,21.0
Washim,2015,Criminal Court,19.0
Washim,2015,District Magistrate And Executive Magistrate,15.0
Washim,2015,"Family Court
",
Washim,2015,Industrial Court,1.0
Washim,2015,Labor Court,1.0
Washim,2015,Public Court,
Washim,2016,Civil Court,24.0
Washim,2016,Consumer Forum,1.0
Washim,2016,Consumer Forum,1.0
Washim,2016,Criminal Court,23.0
Washim,2016,District Magistrate And Executive Magistrate,15.0
Washim,2016,Family Court,1.0
Washim,2016,Industrial Court,1.0
Washim,2016,Labor Court,1.0
Washim,2016,Public Court,
Washim,2017,Civil Court,25.0
Washim,2017,Consumer Forum,26.0
Washim,2017,Consumer Forum,
Washim,2017,Criminal Court,
Washim,2017,District Magistrate And Executive Magistrate,1.0
Washim,2017,"Family Court
",15.0
Washim,2017,Industrial Court,1.0
Washim,2017,Labor Court,1.0
Washim,2017,Public Court,1.0
Washim,2018,Civil Court,24.0
Washim,2018,Consumer Forum,1.0
Washim,2018,Criminal Court,22.0
Washim,2018,District Magistrate And Executive Magistrate,15.0
Washim,2018,"Family Court
",1.0
Washim,2018,Industrial Court,1.0
Washim,2018,Labor Court,1.0
Washim,2018,Public Court,
Washim,2019,Civil Court,5.0
Washim,2019,Consumer Forum,1.0
Washim,2019,Criminal Court,1.0
Washim,2019,District Magistrate And Executive Magistrate,15.0
Washim,2019,"Family Court
",1.0
Washim,2019,Industrial Court,1.0
Washim,2019,Labor Court,1.0
Washim,2019,Public Court,1.0
Washim,2020,Civil Court,23.0
Washim,2020,Consumer Forum,1.0
Washim,2020,Criminal Court,19.0
