District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Akola,2018,Customer Forum,1,183,1,1,129,54,0,0
Akola,2019,Civil Court,43,16805,43,43,11863,2752,732,1458
Akola,2019,Criminal Court,33,60837,33,33,14736,43120,2449,532
Akola,2019,Public Court,0,1456,0,0,411,1010,0,35
Akola,2019,Labor Court,1,260,1,1,222,38,0,0
Akola,2019,Industrial Court,1,159,1,1,60,15,84,0
Akola,2019,Family Court,1,617,1,1,610,7,0,0
Akola,2019,District Magistrate And Executive Magistrate,7,2703,20,20,2008,0,695,0
Akola,2019,Customer Forum,1,673,1,1,538,135,0,0
Akola,2020,Civil Court,43,19790,43,43,13563,3776,718,1733
Akola,2020,Criminal Court,33,72030,33,33,16995,51937,2927,171
Akola,2020,Public Court,0,1326,0,0,396,930,0,42
Akola,2020,Labor Court,1,452,1,1,39,17,0,0
Akola,2020,Industrial Court,1,46,1,1,23,0,23,0
Akola,2020,Family Court,1,256,1,1,254,2,0,0
Akola,2020,District Magistrate And Executive Magistrate,7,2332,20,19,1638,0,694,0
Akola,2020,Customer Forum,1,331,1,1,277,54,0,0
Akola,2021,Civil Court,30,7267,30,30,913,6207,110,37
Akola,2021,Criminal Court,33,29067,33,33,1863,27204,0,0
Akola,2021,Public Court,0,26026,0,0,1255,51667,0,0
Akola,2021,Labor Court,1,933,1,1,115,58,0,0
Akola,2021,Industrial Court,1,105,1,1,56,6,42,1
Akola,2021,Family Court,1,1671,1,1,1656,14,0,0
Akola,2021,District Magistrate And Executive Magistrate,20,2527,20,20,1032,345,930,220
Akola,2021,Customer Forum,1,342,1,1,309,33,0,0
Amravati,2012,Civil Court,51,5185,52,50,2132,1288,810,955
Amravati,2012,Criminal Court,46,28569,47,45,19035,6968,1069,1497
Amravati,2012,Public Court,,,,,,,,
Amravati,2012,Labor Court,1,133,1,1,116,17,0,0
Amravati,2012,Industrial Court,1,777,1,1,515,9,253,0
Amravati,2012,Family Court,,,,,,,,
Amravati,2012,District Magistrate And Executive Magistrate,22,9449,22,22,5020,4429,0,0
Amravati,2012,Customer Forum,1,238,1,1,131,107,0,0
Amravati,2013,Civil Court,56,8537,56,56,4297,3871,301,68
Amravati,2013,Criminal Court,48,23904,48,48,18780,4818,115,191
Amravati,2013,Public Court,,,,,,,,
Amravati,2013,Labor Court,1,744,1,1,705,39,0,0
Amravati,2013,Industrial Court,1,856,1,1,550,15,289,2
Amravati,2013,Family Court,1,1130,13,12,361,99,,
