District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Jalna,2013,Civil Court,27,2791,27,27,956,1506,232,97
Jalna,2013,Criminal Court,1,11520,1,1,8258,3169,38,55
Jalna,2013,Public Court,,1061,,,497,564,,
Jalna,2013,Labor Court,1,119,1,1,119,,,
Jalna,2013,Industrial Court,1,667,1,1,667,,,
Jalna,2013,Family Court,,,,,,,,
Jalna,2013,District Magistrate And Executive Magistrate,,4873,,,4873,,,
Jalna,2013,Customer Forum,1,3272,3,3,165,31,,
Jalna,2014,Civil Court,32,3640,32,32,973,2368,208,91
Jalna,2014,Criminal Court,1,10526,1,1,6986,3357,44,95
Jalna,2014,Public Court,0,1023,0,0,0,0,0,0
Jalna,2014,Labor Court,1,121,1,1,121,,,
Jalna,2014,Industrial Court,1,235,1,1,86,,149,
Jalna,2014,Family Court,0,0,0,0,0,0,0,0
Jalna,2014,District Magistrate And Executive Magistrate,0,2152,0,0,2152,0,0,0
Jalna,2014,Customer Forum,1,3524,3,3,154,28,0,0
Jalna,2015,Civil Court,32,3640,32,32,973,2368,208,91
Jalna,2015,Criminal Court,1,10526,1,1,6986,3357,88,95
Jalna,2015,Public Court,,1023,,,317,706,,
Jalna,2015,Labor Court,1,102,1,1,102,,,
Jalna,2015,Industrial Court,1,150,1,1,86,,64,
Jalna,2015,Family Court,,,,,,,,
Jalna,2015,District Magistrate And Executive Magistrate,,2152,,,2152,,,
Jalna,2015,Customer Forum,1,3388,3,3,136,32,,
Jalna,2016,Civil Court,,,,,,,,
Jalna,2016,Criminal Court,,,,,,,,
Jalna,2016,Public Court,,,,,,,,
Jalna,2016,Labor Court,,,,,,,,
Jalna,2016,Industrial Court,,,,,,,,
Jalna,2016,Family Court,,,,,,,,
Jalna,2016,District Magistrate And Executive Magistrate,,,,,,,,
Jalna,2016,Customer Forum,,,,,,,,
Jalna,2017,Civil Court,35,4581,35,35,1755,1767,5,1054
Jalna,2017,Criminal Court,27,17194,27,27,12450,4563,83,98
Jalna,2017,Public Court,  ,846,  ,  ,337,458,  ,51
Jalna,2017,Labor Court,1,174,1,1,174,  ,  ,  
Jalna,2017,Industrial Court,1,922,1,1,726,23,135,38
Jalna,2017,Family Court,  ,  ,  ,  ,  ,  ,  ,  
Jalna,2017,District Magistrate And Executive Magistrate,  ,2713,  ,  ,2713,  ,  ,  
Jalna,2017,Customer Forum,1,4012,3,3,175,47,,
Jalna,2018,Civil Court,,,,,,,,
Jalna,2018,Criminal Court,,,,,,,,
Jalna,2018,Public Court,,,,,,,,
Jalna,2018,Labor Court,,,,,,,,
Jalna,2018,Industrial Court,,,,,,,,
Jalna,2018,Family Court,,,,,,,,
Jalna,2018,District Magistrate And Executive Magistrate,,,,,,,,
Jalna,2018,Customer Forum,,,,,,,,
Jalna,2019,Civil Court,37,4319,37,37,1136,3003,120,60
Jalna,2019,Criminal Court,  ,10281,  ,  ,5878,4270,55,78
Jalna,2019,Public Court,1,812,1,1,288,431,54,39
Jalna,2019,Labor Court,1,93,1,1,93,  ,  ,  
Jalna,2019,Industrial Court,1,17,1,1,12,2,3,0
Jalna,2019,Family Court,1,657,1,1,364,293,  ,  
Jalna,2019,District Magistrate And Executive Magistrate,36,5018,36,36,5018,  ,  ,  
Jalna,2019,Customer Forum,1,5213,3,3,4625,588,0,0
Jalna,2020,Civil Court,34,1764,34,34,425,1257,39,43
Jalna,2020,Criminal Court,  ,9748,  ,  ,5143,4537,31,37
Jalna,2020,Public Court,1,424,1,1,120,268,13,23
Jalna,2020,Labor Court,1,18,1,1,3,15,0,0
Jalna,2020,Industrial Court,1,87,1,1,57,7,23,  
Jalna,2020,Family Court,1,103,1,1,103,  ,  ,  
Jalna,2020,District Magistrate And Executive Magistrate,36,3303,36,36,3303,  ,  ,  
Jalna,2020,Customer Forum,1,5147,3,3,5073,74,0,0
Jalna,2021,Civil Court,36,4028,36,36,449,3454,88,37
Jalna,2021,Criminal Court,1,6016,1,1,1329,4386,187,114
Jalna,2021,Public Court,4,1239,  ,  ,1078,138,23,  
Jalna,2021,Labor Court,1,188,1,1,188,  ,  ,  
Jalna,2021,Industrial Court,1,65,1,1,44,1,20,0
Jalna,2021,Family Court,1,592,1,1,262,330,0,0
Jalna,2021,District Magistrate And Executive Magistrate,14,3885,14,14,3885,  ,  ,  
Jalna,2021,Customer Forum,1,3671,3,3,3343,328,0,0
Kolhapur,2012,Civil Court,58,10598,58,58,3756,4115,1645,1082
Kolhapur,2012,Criminal Court,,20183,,,7649,10425,442,1667
Kolhapur,2012,Public Court,,,,,,,,
Kolhapur,2012,Labor Court,2,977,2,2,,,,
Kolhapur,2012,Industrial Court,2,527,2,2,215,197,81,34
Kolhapur,2012,Family Court,1,16,1,1,16,,,
Kolhapur,2012,District Magistrate And Executive Magistrate,16,7557,16,16,2893,4665,,
Kolhapur,2012,Customer Forum,,,,,,,,
Kolhapur,2013,Civil Court,56,8325,56,56,3356,2892,1320,757
Kolhapur,2013,Criminal Court,,16343,,,6801,7585,271,1686
Kolhapur,2013,Public Court,,,,,,,,
Kolhapur,2013,Labor Court,2,1466,2,2,853,,,
Kolhapur,2013,Industrial Court,2,624,2,2,417,122,85,0
Kolhapur,2013,Family Court,1,637,1,1,620,17,,
Kolhapur,2013,District Magistrate And Executive Magistrate,19,7679,19,19,6646,1033,0,0
Kolhapur,2013,Customer Forum,1,515,1,1,331,184,0,0
Kolhapur,2014,Civil Court,54,8983,54,54,3480,2661,1892,950
Kolhapur,2014,Criminal Court,,22560,,,11144,9142,473,1801
Kolhapur,2014,Public Court,,,,,,,,
Kolhapur,2014,Labor Court,2,556,2,2,323,233,0,0
Kolhapur,2014,Industrial Court,2,602,2,2,280,47,275,0
Kolhapur,2014,Family Court,1,529,1,1,408,121,0,0
Kolhapur,2014,District Magistrate And Executive Magistrate,19,8818,19,19,8671,147,0,0
Kolhapur,2014,Customer Forum,1,561,1,1,359,202,0,0
Kolhapur,2015,Civil Court,53,10272,53,53,4104,2744,1778,1646
Kolhapur,2015,Criminal Court,,20647,,,8448,9491,671,2037
Kolhapur,2015,Public Court,,,,,,,,
Kolhapur,2015,Labor Court,2,499,2,1,308,191,,
Kolhapur,2015,Industrial Court,2,963,2,2,656,,307,
Kolhapur,2015,Family Court,1,523,1,1,462,61,,
Kolhapur,2015,District Magistrate And Executive Magistrate,,,,,,,,
Kolhapur,2015,Customer Forum,1,760,1,1,491,269,,
Kolhapur,2016,Civil Court,70,10180,70,70,3965,2500,1896,1819
Kolhapur,2016,Criminal Court,,20104,,,8102,9471,663,1868
Kolhapur,2016,Public Court,,,,,,,,
Kolhapur,2016,Labor Court,2,530,2,2,402,128,0,0
Kolhapur,2016,Industrial Court,2,485,2,2,276,0,209,0
Kolhapur,2016,Family Court,1,553,1,1,511,42,0,0
Kolhapur,2016,District Magistrate And Executive Magistrate,19,5946,19,19,5946,0,0,0
Kolhapur,2016,Customer Forum,1,760,1,1,481,269,0,0
Kolhapur,2017,Civil Court,69,18464,69,69,4830,9660,1324,2650
Kolhapur,2017,Criminal Court,,30276,,,9140,18282,952,1902
Kolhapur,2017,Public Court,,,,,,,,
Kolhapur,2017,Labor Court,2,450,2,2,384,66,0,0
Kolhapur,2017,Industrial Court,2,449,2,2,313,19,117,0
Kolhapur,2017,Family Court,1,647,1,1,470,177,0,0
Kolhapur,2017,District Magistrate And Executive Magistrate,19,5542,19,19,5542,0,0,0
Kolhapur,2017,Customer Forum,1,1476,1,1,771,705,0,0
Kolhapur,2018,Civil Court,69,9599,68,68,3496,3598,1659,846
Kolhapur,2018,Criminal Court,,23484,,,9634,10648,595,2607
Kolhapur,2018,Public Court,,,,,,,,
Kolhapur,2018,Labor Court,2,542,2,2,423,119,0,0
Kolhapur,2018,Industrial Court,2,389,2,2,192,66,131,0
Kolhapur,2018,Family Court,1,499,1,1,371,128,0,0
Kolhapur,2018,District Magistrate And Executive Magistrate,18,9316,18,18,9285,31,0,0
Kolhapur,2018,Customer Forum,1,1704,1,1,962,742,0,0
Kolhapur,2019,Civil Court,67,9232,67,66,3351,3627,1519,735
Kolhapur,2019,Criminal Court,,21995,,,8635,10203,548,2609
Kolhapur,2019,Public Court,,,,,,,,
Kolhapur,2019,Labor Court,2,403,2,2,369,34,0,0
Kolhapur,2019,Industrial Court,2,877,2,1,467,88,322,0
Kolhapur,2019,Family Court,1,476,1,1,380,96,0,0
Kolhapur,2019,District Magistrate And Executive Magistrate,18,9237,18,18,9216,21,0,0
Kolhapur,2019,Customer Forum,1,2209,1,1,1397,812,0,0
Kolhapur,2020,Civil Court,69,3455,69,68,944,1765,506,240
Kolhapur,2020,Criminal Court,,9841,,,2858,4501,295,2187
Kolhapur,2020,Public Court,,,,,,,,
Kolhapur,2020,Labor Court,2,223,2,2,154,69,0,0
Kolhapur,2020,Industrial Court,2,79,2,1,50,0,29,0
Kolhapur,2020,Family Court,1,843,1,1,660,183,0,0
Kolhapur,2020,District Magistrate And Executive Magistrate,,,,,,,,
Kolhapur,2020,Customer Forum,1,141,1,1,131,10,0,0
Kolhapur,2021,Civil Court,69,7520,70,69,2561,3379,1002,578
Kolhapur,2021,Criminal Court,,20395,,,7754,9815,449,2377
Kolhapur,2021,Public Court,,,,,,,,
Kolhapur,2021,Labor Court,2,479,2,2,463,16,0,0
Kolhapur,2021,Industrial Court,2,305,2,2,82,12,211,0
Kolhapur,2021,Family Court,1,1656,1,1,1330,326,0,0
Kolhapur,2021,District Magistrate And Executive Magistrate,18,6328,18,18,6284,44,0,0
Kolhapur,2021,Customer Forum,1,315,1,1,266,49,0,0
Latur,2012,Civil Court,48,27075,48,48,4255,6493,588,3002
Latur,2012,Criminal Court,37,28786,37,37,6092,7343,153,1565
Latur,2012,Public Court,,,,,2790,,,
Latur,2012,Labor Court,1,1576,1,1,1492,84,,
Latur,2012,Industrial Court,1,371,1,1,322,11,35,3
Latur,2012,Family Court,,,,,,,,
Latur,2012,District Magistrate And Executive Magistrate,,113,,,113,,,
Latur,2012,Customer Forum,1,119,1,1,98,21,,
Latur,2013,Civil Court,48,10411,48,47,3258,5180,567,1406
Latur,2013,Criminal Court,45,12458,45,44,3720,6677,325,1736
Latur,2013,Public Court,1,3221,1,1,1061,1812,,348
Latur,2013,Labor Court,1,88,1,1,30,39,12,7
Latur,2013,Industrial Court,1,573,1,1,448,44,70,11
Latur,2013,Family Court,,,,,,,,
Latur,2013,District Magistrate And Executive Magistrate,1,7,1,1,7,,,
Latur,2013,Customer Forum,1,214,1,1,176,38,,
Latur,2014,Civil Court,50,10238,50,50,3690,4794,407,1347
Latur,2014,Criminal Court,39,15178,39,39,3287,10325,110,1456
Latur,2014,Public Court,1,2991,1,1,1278,1713,0,0
Latur,2014,Labor Court,1,349,1,1,241,108,0,0
Latur,2014,Industrial Court,1,298,1,1,235,0,63,0
Latur,2014,Family Court,0,0,0,0,0,0,0,0
Latur,2014,District Magistrate And Executive Magistrate,1,3,1,1,3,0,0,0
Latur,2014,Customer Forum,1,509,1,1,446,63,0,0
Latur,2015,Civil Court,55,11387,55,55,6186,2856,1202,1143
Latur,2015,Criminal Court,45,17478,45,45,11795,4002,718,963
Latur,2015,Public Court,0,0,0,0,0,0,0,0
Latur,2015,Labor Court,1,188,1,1,163,25,0,0
Latur,2015,Industrial Court,1,351,1,0,282,51,18,0
Latur,2015,Family Court,0,0,0,0,0,0,0,0
Latur,2015,District Magistrate And Executive Magistrate,1,2,1,1,2,0,0,0
Latur,2015,Customer Forum,1,717,1,1,502,215,0,0
Latur,2016,Civil Court,55,12936,55,55,6534,3774,1221,1407
Latur,2016,Criminal Court,40,13804,40,40,8294,3815,765,930
Latur,2016,Public Court,0,0,0,0,0,0,0,0
Latur,2016,Labor Court,1,177,1,1,112,65,0,0
Latur,2016,Industrial Court,1,450,1,1,405,33,12,0
Latur,2016,Family Court,0,0,0,0,0,0,0,0
Latur,2016,District Magistrate And Executive Magistrate,1,34,1,1,34,0,0,0
Latur,2016,Customer Forum,1,441,1,0,105,336,0,0
Latur,2017,Civil Court,47,13749,47,47,7501,3691,1217,1340
Latur,2017,Criminal Court,40,14464,40,40,10529,2448,598,889
Latur,2017,Public Court,0,0,0,0,0,0,0,0
Latur,2017,Labor Court,1,259,1,1,192,26,41,0
Latur,2017,Industrial Court,1,589,1,1,523,53,13,0
Latur,2017,Family Court,1,763,1,1,281,482,0,0
Latur,2017,District Magistrate And Executive Magistrate,1,2,1,1,2,0,0,0
Latur,2017,Customer Forum,1,631,2,2,273,358,0,0
Latur,2018,Civil Court,46,13131,46,46,5092,6113,832,1094
Latur,2018,Criminal Court,40,11328,40,40,6326,3030,856,1116
Latur,2018,Public Court,0,0,0,0,0,0,0,0
Latur,2018,Labor Court,1,501,1,1,422,79,0,0
Latur,2018,Industrial Court,1,748,1,1,605,19,124,0
Latur,2018,Family Court,1,448,1,1,394,54,0,0
Latur,2018,District Magistrate And Executive Magistrate,1,6,1,1,2,0,4,0
Latur,2018,Customer Forum,1,319,2,2,253,66,0,0
Latur,2019,Civil Court,47,12178,47,47,4907,5494,929,848
Latur,2019,Criminal Court,40,11981,40,40,7070,2993,673,1245
Latur,2019,Public Court,0,0,0,0,0,0,0,0
Latur,2019,Labor Court,1,294,1,1,239,55,0,0
Latur,2019,Industrial Court,1,776,1,1,678,0,98,0
Latur,2019,Family Court,1,414,1,1,261,153,0,0
Latur,2019,District Magistrate And Executive Magistrate,1,3,1,1,1,0,2,0
Latur,2019,Customer Forum,1,547,2,2,446,101,0,0
Latur,2020,Civil Court,47,7706,47,47,2089,4894,302,421
Latur,2020,Criminal Court,39,7219,39,39,1531,4302,281,1105
Latur,2020,Public Court,0,0,0,0,0,0,0,0
Latur,2020,Labor Court,1,78,1,1,58,20,0,0
Latur,2020,Industrial Court,1,711,1,1,677,0,34,0
Latur,2020,Family Court,1,625,1,1,602,23,0,0
Latur,2020,District Magistrate And Executive Magistrate,1,7,1,1,1,0,6,0
Latur,2020,Customer Forum,1,693,2,2,573,120,0,0
Latur,2021,Civil Court,45,16944,45,45,6169,9334,605,836
Latur,2021,Criminal Court,33,13789,33,33,5339,6577,433,1440
Latur,2021,Public Court,0,0,0,0,0,0,0,0
Latur,2021,Labor Court,1,193,1,1,111,82,0,0
Latur,2021,Industrial Court,1,887,1,1,762,94,31,0
Latur,2021,Family Court,1,509,1,1,362,147,0,0
Latur,2021,District Magistrate And Executive Magistrate,1,7,1,1,0,0,7,0
Latur,2021,Customer Forum,1,807,2,2,669,138,0,0
Mumbai,2013,Civil Court,26,28107,26,37,17707,10209,94,97
Mumbai,2013,Criminal Court,33,25527,33,47,3687,20820,1020,0
Mumbai,2013,Public Court,0,38690,0,0,0,0,0,0
Mumbai,2013,Labor Court,9,2739,9,11,2045,694,0,0
Mumbai,2013,Industrial Court,5,1288,5,9,850,223,215,0
Mumbai,2013,Family Court,7,8255,7,7,6631,1624,0,0
Mumbai,2013,District Magistrate And Executive Magistrate,74,178560,74,75,158034,20526,0,0
Mumbai,2013,Customer Forum,,,,,,,,
Mumbai,2014,Civil Court,57,30850,57,86,11659,19106,85,0
Mumbai,2014,Criminal Court,,22548,,,970,20887,91,0
Mumbai,2014,Public Court,,471560,,,,,,
Mumbai,2014,Labor Court,9,2017,9,11,1518,499,0,0
Mumbai,2014,Industrial Court,5,1544,5,9,769,395,380,0
Mumbai,2014,Family Court,7,8098,7,7,6530,1568,0,0
Mumbai,2014,District Magistrate And Executive Magistrate,40,113720,40,40,109594,4126,0,0
Mumbai,2014,Customer Forum,2,517,*2,*2,517,,,
Mumbai,2015,Civil Court,67,24639,67,86,10299,14188,0,152
Mumbai,2015,Criminal Court,,26909,,,1096,24426,1387,0
Mumbai,2015,Public Court,,256259,,,,,,
Mumbai,2015,Labor Court,3,1241,3,11,696,193,352,0
Mumbai,2015,Industrial Court,5,1356,5,9,988,368,0,0
Mumbai,2015,Family Court,7,8155,7,7,6548,1607,0,0
Mumbai,2015,District Magistrate And Executive Magistrate,73,746456,73,75,720882,25574,0,0
Mumbai,2015,Customer Forum,2,410,*2,*2,410,,,
Mumbai,2016,Civil Court,67,21117,67,86,7928,13021,0,168
Mumbai,2016,Criminal Court,,26607,,,1294,23699,1615,0
Mumbai,2016,Public Court,,86273,,,,,,
Mumbai,2016,Labor Court,11,757,11,11,474,143,140,0
Mumbai,2016,Industrial Court,4,1460,4,9,998,462,0,0
Mumbai,2016,Family Court,7,7831,7,7,6571,1260,0,0
Mumbai,2016,District Magistrate And Executive Magistrate,74,953944,74,75,930427,23517,0,0
Mumbai,2016,Customer Forum,2,486,*2,*2,486,,,
Mumbai,2017,Civil Court,54,16147,54,72,4839,11308,0,0
Mumbai,2017,Criminal Court,,20786,,,2684,17167,935,0
Mumbai,2017,Public Court,,583806,,,,,,
Mumbai,2017,Labor Court,6,2374,6,6,1869,505,0,0
Mumbai,2017,Industrial Court,4,1070,4,6,634,164,272,0
Mumbai,2017,Family Court,7,7409,7,7,6388,1021,0,0
Mumbai,2017,District Magistrate And Executive Magistrate,29,136744,29,37,131315,5429,0,0
Mumbai,2017,Customer Forum,2,548,*2,*2,486,62,,
Mumbai,2018,Civil Court,73,23292,65,73,8141,15151,0,0
Mumbai,2018,Criminal Court,,29022,,,3344,24647,1031,0
Mumbai,2018,Public Court,,,,,,,,
Mumbai,2018,Labor Court,0,3457,0,0,2754,703,0,0
Mumbai,2018,Industrial Court,0,1293,0,0,782,255,256,0
Mumbai,2018,Family Court,0,8028,0,0,6912,1116,0,0
Mumbai,2018,District Magistrate And Executive Magistrate,29,138420,37,37,130697,7723,0,0
Mumbai,2018,Customer Forum,2,669,*2,*2,541,128,,
Mumbai,2019,Civil Court,68,22010,68,54,8120,13890,0,0
Mumbai,2019,Criminal Court,0,31416,0,0,3392,27231,793,0
Mumbai,2019,Public Court,,,,,,,,
Mumbai,2019,Labor Court,0,3793,0,0,3236,557,0,0
Mumbai,2019,Industrial Court,0,1392,0,0,742,337,313,0
Mumbai,2019,Family Court,0,7507,0,0,6580,927,0,0
Mumbai,2019,District Magistrate And Executive Magistrate,37,190004,37,35,183498,6506,0,0
Mumbai,2019,Customer Forum,2,665,2,2,528,137,0,0
Mumbai,2020,Civil Court,58,4290,89,58,1824,2466,0,0
Mumbai,2020,Criminal Court,58,13506,89,58,678,12700,128,0
Mumbai,2020,Public Court,,,,,,,,
Mumbai,2020,Labor Court,0,366,0,0,175,107,84,0
Mumbai,2020,Industrial Court,0,719,0,0,545,174,0,0
Mumbai,2020,Family Court,0,3796,0,0,3548,248,0,0
Mumbai,2020,District Magistrate And Executive Magistrate,37,61502,37,37,52697,8805,0,0
Mumbai,2020,Customer Forum,2,1018,2,1,798,220,0,0
Mumbai,2021,Civil Court,84,10263,4,80,3633,6630,0,0
Mumbai,2021,Criminal Court,,22070,,,1814,19870,386,0
Mumbai,2021,Public Court,,,,,,,,
Mumbai,2021,Labor Court,11,2028,11,11,1655,373,0,0
Mumbai,2021,Industrial Court,9,829,7,7,431,164,234,0
Mumbai,2021,Family Court,7,7093,6,6,6427,666,0,0
Mumbai,2021,District Magistrate And Executive Magistrate,36,43010,36,36,39581,3429,0,0
Mumbai,2021,Customer Forum,2,10643,1,2,9470,1173,0,0
Mumbai Suburban,2016,Civil Court,12,6502,86,12,2185,4317,0,0
Mumbai Suburban,2016,Criminal Court,,4445,,,161,4172,112,0
Mumbai Suburban,2016,Public Court,,354805,,,,,,
Mumbai Suburban,2016,Labor Court,11,1460,11,11,998,462,0,0
Mumbai Suburban,2016,Industrial Court,4,757,9,4,474,143,140,0
Mumbai Suburban,2016,Family Court,7,7831,7,7,6571,1260,0,0
Mumbai Suburban,2016,District Magistrate And Executive Magistrate,38,636441,75,38,630698,5743,0,0
Mumbai Suburban,2016,Customer Forum,2,2940,2,2,2258,682,,
Mumbai Suburban,2017,Civil Court,12,6875,14,12,2546,4329,0,0
Mumbai Suburban,2017,Criminal Court,,5259,,,438,4687,134,0
Mumbai Suburban,2017,Public Court,,555,,,,,,
Mumbai Suburban,2017,Labor Court,10,2345,11,10,1725,620,0,0
Mumbai Suburban,2017,Industrial Court,7,1061,9,7,736,226,99,0
Mumbai Suburban,2017,Family Court,7,7409,7,7,6388,1021,0,0
Mumbai Suburban,2017,District Magistrate And Executive Magistrate,37,788617,38,37,772004,13313,0,0
Mumbai Suburban,2017,Customer Forum,2,2969,2,2,2300,669,,
Mumbai Suburban,2018,Civil Court,11,8446,14,11,3006,5440,0,0
Mumbai Suburban,2018,Criminal Court,,6078,,,355,5577,146,0
Mumbai Suburban,2018,Public Court,,756,,,,,,
Mumbai Suburban,2018,Labor Court,11,3481,11,11,2781,700,0,0
Mumbai Suburban,2018,Industrial Court,7,1310,9,7,890,270,150,0
Mumbai Suburban,2018,Family Court,7,8028,7,7,6912,1116,0,0
Mumbai Suburban,2018,District Magistrate And Executive Magistrate,33,613665,38,33,600205,13460,0,0
Mumbai Suburban,2018,Customer Forum,2,18296,2,2,16139,2157,0,0
Mumbai Suburban,2019,Civil Court,14,22010,14,14,8120,13890,0,0
Mumbai Suburban,2019,Criminal Court,14,31416,14,14,3392,27231,793,0
Mumbai Suburban,2019,Public Court,0,180,0,0,,,,
Mumbai Suburban,2019,Labor Court,11,3793,11,11,3236,557,0,
Mumbai Suburban,2019,Industrial Court,11,1392,11,11,742,337,313,
Mumbai Suburban,2019,Family Court,7,7507,7,7,6580,927,0,0
Mumbai Suburban,2019,District Magistrate And Executive Magistrate,38,104033,38,35,97490,6543,0,0
Mumbai Suburban,2019,Customer Forum,2,2330,2,2,1790,540,0,0
Mumbai Suburban,2020,Civil Court,15,3045,15,15,983,2062,0,0
Mumbai Suburban,2020,Criminal Court,15,5715,15,15,179,5491,45,0
Mumbai Suburban,2020,Public Court,0,0,0,0,0,0,0,0
Mumbai Suburban,2020,Labor Court,11,719,11,10,545,174,0,0
Mumbai Suburban,2020,Industrial Court,9,366,9,8,175,107,84,0
Mumbai Suburban,2020,Family Court,7,3796,7,7,3548,248,0,0
Mumbai Suburban,2020,District Magistrate And Executive Magistrate,38,16448,38,34,14111,2337,0,0
Mumbai Suburban,2020,Customer Forum,2,2162,2,1,1128,1034,0,0
Mumbai Suburban,2021,Civil Court,15,8433,15,14,3736,4697,0,0
Mumbai Suburban,2021,Criminal Court,15,7293,15,14,179,7021,93,0
Mumbai Suburban,2021,Public Court,0,0,0,0,0,0,0,0
Mumbai Suburban,2021,Labor Court,11,2028,11,11,1655,373,0,0
Mumbai Suburban,2021,Industrial Court,9,829,9,7,431,164,234,0
Mumbai Suburban,2021,Family Court,7,7115,7,6,6427,688,0,0
Mumbai Suburban,2021,District Magistrate And Executive Magistrate,38,93957,38,35,88007,5950,0,0
Mumbai Suburban,2021,Customer Forum,2,18542,2,1,16365,2177,0,0
Nagpur,2012,Civil Court,18,11241,18,17,5297,4766,841,337
Nagpur,2012,Criminal Court,79,139615,79,78,133137,2893,448,3137
Nagpur,2012,Public Court,1,60,1,1,52,6,2,
Nagpur,2012,Labor Court,4,1263,4,3,1263,,,
Nagpur,2012,Industrial Court,4,1398,5,3,1398,,,
Nagpur,2012,Family Court,4,7421,4,4,3183,1063,,
Nagpur,2012,District Magistrate And Executive Magistrate,20,5324,20,20,5324,,,
Nagpur,2012,Customer Forum,3,490,4,3,406,84,,
Nagpur,2013,Civil Court,18,9766,17,15,5544,3603,413,206
Nagpur,2013,Criminal Court,79,90578,79,76,84493,2571,295,3219
Nagpur,2013,Public Court,1,65,1,1,54,6,5,0
Nagpur,2013,Labor Court,4,2263,4,3,1245,0,1018,0
Nagpur,2013,Industrial Court,4,1007,5,3,576,0,431,0
Nagpur,2013,Family Court,4,3113,4,4,2376,737,0,0
Nagpur,2013,District Magistrate And Executive Magistrate,20,5420,20,18,5420,0,0,0
Nagpur,2013,Customer Forum,3,5020,5,5,833,166,4021,0
Nagpur,2014,Civil Court,18,11099,17,16,3896,6006,811,386
Nagpur,2014,Criminal Court,79,78977,75,72,72508,2833,280,3356
Nagpur,2014,Public Court,1,65,1,1,54,6,5,0
Nagpur,2014,Labor Court,4,897,4,2,702,195,0,0
Nagpur,2014,Industrial Court,4,914,5,2,667,,247,
Nagpur,2014,Family Court,4,5029,4,4,3359,1670, , 
Nagpur,2014,District Magistrate And Executive Magistrate,20,5862,20,18,5862,0,0,0
Nagpur,2014,Customer Forum,4,2110,5,5,945,291,694,180
Nagpur,2015,Civil Court,20,11350,20,18,6039,4442,552,317
Nagpur,2015,Criminal Court,76,73437,76,75,62538,7329,197,3373
Nagpur,2015,Public Court,1,,1,1,,,,
Nagpur,2015,Labor Court,4,496,4,2,358,138,0,0
Nagpur,2015,Industrial Court,4,2846,5,3,2088,,758,
Nagpur,2015,Family Court,4,5905,4,4,3617,2288,,
Nagpur,2015,District Magistrate And Executive Magistrate,20,,20,18,,,,
Nagpur,2015,Customer Forum,2,1397,4,4,1192,205,0,0
Nagpur,2016,Civil Court,22,13910,22,22,7183,5578,729,420
Nagpur,2016,Criminal Court,80,91526,80,78,79931,7753,298,3544
Nagpur,2016,Public Court,1,,1,1,,,,
Nagpur,2016,Labor Court,4,826,4,3,578,248,0,0
Nagpur,2016,Industrial Court,5,865,5,3,453,72,340,0
Nagpur,2016,Family Court,4,6129,4,4,3777,2352,0,0
Nagpur,2016,District Magistrate And Executive Magistrate,20,,20,18,,,,
Nagpur,2016,Customer Forum,3,3565,4,4,1008,129,2244,184
Nagpur,2017,Civil Court,22,13632,22,22,6818,5652,820,342
Nagpur,2017,Criminal Court,80,133383,80,76,121591,7855,306,3631
Nagpur,2017,Public Court,1,,1,1,,,,
Nagpur,2017,Labor Court,4,970,4,3,755,215,0,0
Nagpur,2017,Industrial Court,5,398,5,4,179,65,154,0
Nagpur,2017,Family Court,4,6126,4,4,3751,2375,0,0
Nagpur,2017,District Magistrate And Executive Magistrate,20,,20,18,,,,
Nagpur,2017,Customer Forum,4,4809,6,6,1626,257,2763,163
Nagpur,2018,Civil Court,30,4747,30,30,3247,1500,,
Nagpur,2018,Criminal Court,71,136262,71,64,14775,120221,739,527
Nagpur,2018,Public Court,3,507,3,3,305,202,0,0
Nagpur,2018,Labor Court,4,3239,4,4,2978,261,0,0
Nagpur,2018,Industrial Court,5,1027,5,4,527,87,407,6
Nagpur,2018,Family Court,4,6507,4,3,3997,2510,0,0
Nagpur,2018,District Magistrate And Executive Magistrate,22,6732,98,85,6728,0,4,0
Nagpur,2018,Customer Forum,4,4721,6,6,1894,819,706,59
Nagpur,2019,Civil Court,25,6188,25,22,4086,2102,,
Nagpur,2019,Criminal Court,72,116645,72,66,10437,100997,1571,3640
Nagpur,2019,Public Court,3,625,3,3,365,260,,
Nagpur,2019,Labor Court,4,2847,4,4,2530,317,0,0
Nagpur,2019,Industrial Court,5,825,5,3,497,52,259,17
Nagpur,2019,Family Court,4,7283,4,4,4493,2790,0,0
Nagpur,2019,District Magistrate And Executive Magistrate,22,5739,98,85,5735,0,0,0
Nagpur,2019,Customer Forum,4,4859,6,4,1788,896,1821,207
Nagpur,2020,Civil Court,25,2585,25,25,1616,969,0,0
Nagpur,2020,Criminal Court,75,47503,75,68,3497,39256,725,4025
Nagpur,2020,Public Court,3,194,3,3,110,84,0,0
Nagpur,2020,Labor Court,4,354,4,4,241,113,0,0
Nagpur,2020,Industrial Court,5,65,5,3,33,4,23,5
Nagpur,2020,Family Court,4,8261,4,4,6572,1689,0,0
Nagpur,2020,District Magistrate And Executive Magistrate,22,8933,98,85,8933,0,0,0
Nagpur,2020,Customer Forum,4,2216,6,3,1150,1021,29,16
Nagpur,2021,Civil Court,29,5709,29,29,3785,1924,0,0
