Year,District,Select Offense Under,Cases
2018,Beed,Scheduled Castes and Scheduled Tribes Related Acts,1
2018,Beed,Information Technology/ Intellectual Property Related Acts,4
2018,Beed,"The Negotiable Instruments Act, 1881",0
2018,Beed,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Beed,"Prevention of Corruption Act, 1988",24
2018,Beed,Finance & Economic Acts,25
2018,Beed,Environment & Pollution Related Acts,0
2018,Beed,Railway Related Acts,0
2018,Beed,Telegraph/ Cinematograph Acts,0
2018,Beed,"Food, Drugs and Essential Commodities Acts",13
2018,Beed,"The Mental Health Act, 1987",0
2018,Bhandara,"The Arms Act, 1959",6
2018,Bhandara,"The Narcotic Drugs & Psychotropic Substances Act, 1985",6
2018,Bhandara,The Gambling Act,436
2018,Bhandara,"The Excise Act, 1944",0
2018,Bhandara,Prohibition Act (State),1755
2018,Bhandara,Indian Railways Act,0
2018,Bhandara,Essential Commodities Act,7
2018,Bhandara,"The Antiques and Art Treasures Act, 1972",0
2018,Bhandara,"The Copy Right Act, 1957",0
2018,Bhandara,"The Information Technology Act, 2000",7
2018,Bhandara,"The Electricity Act, 2003",26
2018,Bhandara,Wildlife Protection Act,0
2018,Bhandara,Environmental (Protection) Act,0
2018,Bhandara,The Air & The Water Prevention & Control of Pollution Act,0
2018,Bhandara,Railway Property (Unlawful Possession) Act,0
2018,Bhandara,"The Prevention of Damage to Public Property Act, 1984",4
2018,Bhandara,"The Transplantation of Human Organs Act, 1994",0
2018,Bhandara,"The Trade Marks Act, 1999",0
2018,Bhandara,"The Citizenship Act, 1955",0
2018,Bhandara,"The Representation of the People Act, 1951",1
2018,Bhandara,Crime Against Women and Related Acts,5
2018,Bhandara,Children Related Acts,52
2018,Bhandara,Scheduled Castes and Scheduled Tribes Related Acts,1
2018,Bhandara,Information Technology/ Intellectual Property Related Acts,7
2018,Bhandara,"The Negotiable Instruments Act, 1881",0
2018,Bhandara,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Bhandara,"Prevention of Corruption Act, 1988",23
2018,Bhandara,Finance & Economic Acts,23
2018,Bhandara,Environment & Pollution Related Acts,0
2018,Bhandara,Railway Related Acts,0
2018,Bhandara,Telegraph/ Cinematograph Acts,0
2018,Bhandara,"Food, Drugs and Essential Commodities Acts",7
2018,Bhandara,"The Mental Health Act, 1987",0
2018,Buldhana,"The Arms Act, 1959",6
2018,Buldhana,"The Narcotic Drugs & Psychotropic Substances Act, 1985",3
2018,Buldhana,The Gambling Act,1818
2018,Buldhana,"The Excise Act, 1944",0
2018,Buldhana,Prohibition Act (State),4130
2018,Buldhana,Indian Railways Act,0
2018,Buldhana,Essential Commodities Act,8
2018,Buldhana,"The Antiques and Art Treasures Act, 1972",0
2018,Buldhana,"The Copy Right Act, 1957",0
2018,Buldhana,"The Information Technology Act, 2000",2
2018,Buldhana,"The Electricity Act, 2003",31
2018,Buldhana,Wildlife Protection Act,0
2018,Buldhana,Environmental (Protection) Act,0
2018,Buldhana,The Air & The Water Prevention & Control of Pollution Act,0
2018,Buldhana,Railway Property (Unlawful Possession) Act,0
2018,Buldhana,"The Prevention of Damage to Public Property Act, 1984",4
2018,Buldhana,"The Transplantation of Human Organs Act, 1994",0
2018,Buldhana,"The Trade Marks Act, 1999",0
2018,Buldhana,"The Citizenship Act, 1955",0
