District,Year,Taluka,Rape,Kidnapping and Abduction,Dowry Cases,Sexual Assault,Unethical Business,Other Crimes against Women,Murder (Womb),Murder (other),Child Rape,Kidnapping and Abduction (Children),Abandonment,Other Crimes against Children
Amravati,2020,Anjangaon Su,7,4,0,21,0,14,0,1,4.0,18,1,4
Amravati,2020,Achalpur,11,13,0,36,0,32,0,0,7.0,31,0,14
Amravati,2020,Chandurbazar,12,15,0,41,0,24,0,2,6.0,38,0,11
Amravati,2020,Morshi,7,8,0,15,0,21,0,2,6.0,12,0,3
Amravati,2020,Warud,8,13,0,22,0,20,0,0,7.0,19,0,5
Amravati,2020,Tivas,3,3,1,17,0,6,0,0,1.0,16,0,7
Amravati,2020,Amravati,75,62,0,16,1,372,0,2,24.0,83,0,75
Amravati,2020,Bhatkuli,5,5,0,3,0,11,0,0,1.0,6,0,0
Amravati,2020,Daryapur,6,8,0,19,0,11,0,1,5.0,17,0,9
Amravati,2020,Nandgaon Kh,3,8,0,17,0,10,0,0,0.0,16,0,5
Amravati,2020,Chandur Railway,6,0,0,9,0,14,0,0,4.0,8,0,1
Amravati,2020,Dhamangaon Re,11,6,0,40,0,6,0,0,7.0,37,0,14
Amravati,2021,Dharani,5,21,0,31,0,6,0,0,3.0,20,0,6
Amravati,2021,Chikhraldara,4,7,0,12,0,4,0,0,1.0,7,0,2
Amravati,2021,Anjangaon Su,2,6,0,17,0,27,0,0,2.0,4,0,6
Amravati,2021,Achalpur,18,26,0,25,0,43,0,0,8.0,24,0,6
Amravati,2021,Chandurbazar,10,8,1,36,0,27,0,0,6.0,13,0,7
Amravati,2021,Morshi,2,14,0,8,0,42,0,0,2.0,13,0,4
Amravati,2021,Warud,12,23,0,27,0,37,0,1,7.0,22,0,5
Amravati,2021,Tivas,3,8,0,7,0,15,0,0,2.0,8,0,2
Amravati,2021,Amravati,111,94,1,16,2,428,0,0,41.0,113,0,95
Amravati,2021,Bhatkuli,5,7,0,5,0,11,0,0,3.0,6,0,1
Amravati,2021,Daryapur,5,8,0,16,0,16,0,1,2.0,7,0,7
