Year,District,Crime,Cases
2018,Nagpur,Rape/Attempt to Rape,
2018,Nanded,Rape/Attempt to Rape,
2018,Nandurbar,Rape/Attempt to Rape,
2018,Nasik,Rape/Attempt to Rape,
2018,Dharashiv,Rape/Attempt to Rape,
2018,Palghar,Rape/Attempt to Rape,
2018,Parbhani,Rape/Attempt to Rape,
2018,Pune,Rape/Attempt to Rape,
2018,Raigad,Rape/Attempt to Rape,
2018,Ratnagiri,Rape/Attempt to Rape,
2018,Sangli,Rape/Attempt to Rape,
2018,Satara,Rape/Attempt to Rape,
2018,Sindhudurg,Rape/Attempt to Rape,
2018,Solapur,Rape/Attempt to Rape,
2018,Thane,Rape/Attempt to Rape,
2018,Wardha,Rape/Attempt to Rape,
2018,Washim,Rape/Attempt to Rape,
2018,Yavatmal,Rape/Attempt to Rape,
2020,Ahilyanagar,Rape/Attempt to Rape,
2020,Akola,Rape/Attempt to Rape,
2020,Amravati,Rape/Attempt to Rape,
2020,Chhatrapati Sambhaji Nagar,Rape/Attempt to Rape,
2020,Beed,Rape/Attempt to Rape,
2020,Bhandara,Rape/Attempt to Rape,
2020,Buldhana,Rape/Attempt to Rape,
2020,Chandrapur,Rape/Attempt to Rape,
2020,Dhule,Rape/Attempt to Rape,
2020,Gadchiroli,Rape/Attempt to Rape,
2020,Gondia,Rape/Attempt to Rape,
2020,Hingoli,Rape/Attempt to Rape,
2020,Jalgaon,Rape/Attempt to Rape,
2020,Jalna,Rape/Attempt to Rape,
2020,Kolhapur,Rape/Attempt to Rape,
2020,Latur,Rape/Attempt to Rape,
2020,Mumbai City,Rape/Attempt to Rape,
2020,Nagpur,Rape/Attempt to Rape,
2020,Nanded,Rape/Attempt to Rape,
2020,Nandurbar,Rape/Attempt to Rape,
2020,Nasik,Rape/Attempt to Rape,
2020,Dharashiv,Rape/Attempt to Rape,
2020,Palghar,Rape/Attempt to Rape,
2020,Parbhani,Rape/Attempt to Rape,
2020,Pune,Rape/Attempt to Rape,
2020,Raigad,Rape/Attempt to Rape,
2020,Ratnagiri,Rape/Attempt to Rape,
2020,Sangli,Rape/Attempt to Rape,
2020,Satara,Rape/Attempt to Rape,
2020,Sindhudurg,Rape/Attempt to Rape,
