Year,District,Crime,Cases
2017,Jalna,Missing Children Deemed as Kidnapped,
2017,Kolhapur,Missing Children Deemed as Kidnapped,31.0
2017,Latur,Missing Children Deemed as Kidnapped,
2017,Mumbai,Missing Children Deemed as Kidnapped,70.0
2017,Nagpur,Missing Children Deemed as Kidnapped,42.0
2017,Nanded,Missing Children Deemed as Kidnapped,123.0
2017,Nandurbar,Missing Children Deemed as Kidnapped,10.0
2017,Nashik,Missing Children Deemed as Kidnapped,206.0
2017,Dharashiv,Missing Children Deemed as Kidnapped,30.0
2017,Palghar,Missing Children Deemed as Kidnapped,327.0
2017,Parbhani,Missing Children Deemed as Kidnapped,88.0
2017,Pune,Missing Children Deemed as Kidnapped,683.0
2017,Raigad,Missing Children Deemed as Kidnapped,86.0
2017,Ratnagiri,Missing Children Deemed as Kidnapped,60.0
2017,Sangli,Missing Children Deemed as Kidnapped,65.0
2017,Satara,Missing Children Deemed as Kidnapped,171.0
2017,Sindhudurg,Missing Children Deemed as Kidnapped,
2017,Solapur,Missing Children Deemed as Kidnapped,78.0
2017,Thane,Missing Children Deemed as Kidnapped,443.0
2017,Wardha,Missing Children Deemed as Kidnapped,
2017,Washim,Missing Children Deemed as Kidnapped,
2017,Yavatmal,Missing Children Deemed as Kidnapped,18.0
2018,Ahilyanagar,Missing Children Deemed as Kidnapped,165.0
2018,Akola,Missing Children Deemed as Kidnapped,73.0
2018,Amravati,Missing Children Deemed as Kidnapped,125.0
2018,Chh. Sambhaji Nagar,Missing Children Deemed as Kidnapped,227.0
2018,Beed,Missing Children Deemed as Kidnapped,69.0
2018,Bhandara,Missing Children Deemed as Kidnapped,99.0
2018,Buldhana,Missing Children Deemed as Kidnapped,47.0
2018,Chandrapur,Missing Children Deemed as Kidnapped,130.0
2018,Dhule,Missing Children Deemed as Kidnapped,79.0
2018,Gadchiroli,Missing Children Deemed as Kidnapped,44.0
2018,Gondia,Missing Children Deemed as Kidnapped,
2018,Hingoli,Missing Children Deemed as Kidnapped,
2018,Jalgaon,Missing Children Deemed as Kidnapped,
2018,Jalna,Missing Children Deemed as Kidnapped,
