Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2011,Nandurbar,Born elsewhere in the district of enumeration,419297,155373,263924,359361,125234,234127,59936,30139,29797
2011,Nandurbar,Born in other districts of the state,151671,60264,91407,88006,32510,55496,63665,27754,35911
2011,Dhule,Born in the place of enumeration,1019707,632326,387381,737423,468539,268884,282284,163787,118497
2011,Dhule,Born elsewhere in the district of enumeration,576660,246843,329817,458875,186689,272186,117785,60154,57631
2011,Dhule,Born in other districts of the state,382401,147315,235086,237803,87275,150528,144598,60040,84558
2011,Jalgaon,Born in the place of enumeration,2007640,1305387,702253,1379936,925068,454868,627704,380319,247385
2011,Jalgaon,Born elsewhere in the district of enumeration,1563478,643788,919690,1119248,436157,683091,444230,207631,236599
2011,Jalgaon,Born in other districts of the state,488373,178190,310183,293173,101704,191469,195200,76486,118714
2011,Buldana,Born in the place of enumeration,1422500,953855,468645,1129247,772555,356692,293253,181300,111953
2011,Buldana,Born elsewhere in the district of enumeration,798831,270906,527925,659262,210080,449182,139569,60826,78743
2011,Buldana,Born in other districts of the state,335682,100526,235156,232595,65579,167016,103087,34947,68140
2011,Akola,Born in the place of enumeration,1038329,660904,377425,614186,413768,200418,424143,247136,177007
2011,Akola,Born elsewhere in the district of enumeration,427305,159094,268211,304148,102579,201569,123157,56515,66642
2011,Akola,Born in other districts of the state,318906,100574,218332,168717,44624,124093,150189,55950,94239
2011,Washim,Born in the place of enumeration,710793,474978,235815,587186,399329,187857,123607,75649,47958
2011,Washim,Born elsewhere in the district of enumeration,275975,89196,186779,242025,74077,167948,33950,15119,18831
2011,Washim,Born in other districts of the state,203658,53136,150522,153006,36604,116402,50652,16532,34120
2011,Amravati,Born in the place of enumeration,1654679,1051215,603464,1055389,702621,352768,599290,348594,250696
2011,Amravati,Born elsewhere in the district of enumeration,806245,291206,515039,566709,183309,383400,239536,107897,131639
2011,Amravati,Born in other districts of the state,339485,106708,232777,176196,46633,129563,163289,60075,103214
2011,Wardha,Born in the place of enumeration,531675,362670,169005,375966,264433,111533,155709,98237,57472
2011,Wardha,Born elsewhere in the district of enumeration,448172,192689,255483,313056,125473,187583,135116,67216,67900
2011,Wardha,Born in other districts of the state,285759,96166,189593,173968,54729,119239,111791,41437,70354
2011,Nagpur,Born in the place of enumeration,2583046,1492764,1090282,782972,522481,260491,1800074,970283,829791
2011,Nagpur,Born elsewhere in the district of enumeration,963076,391665,571411,430259,135667,294592,532817,255998,276819
2011,Nagpur,Born in other districts of the state,604584,255564,349020,153916,50059,103857,450668,205505,245163
2011,Bhandara,Born in the place of enumeration,686479,453173,233306,579390,388299,191091,107089,64874,42215
