Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Satara,Born Abroad,3900,2160,1740,3110,1690,1420,790,470,320
1991,Satara,Unclassifiable,60,0,60,30,0,30,30,0,30
1991,Sangli,Born in India,2208508,1128221,1080287,1706521,868327,838194,501987,259894,242093
1991,Sangli,Born Abroad,900,290,610,470,110,360,430,180,250
1991,Sangli,Unclassifiable,80,10,70,50,10,40,30,0,30
1991,Solapur,Born in India,3230357,1670166,1560191,2301434,1192525,1108909,928923,477641,451282
1991,Solapur,Born Abroad,600,310,290,120,40,80,480,270,210
1991,Solapur,Unclassifiable,100,40,60,20,10,10,80,30,50
1991,Kolhapur,Born in India,2987057,1523452,1463605,2202385,1113498,1088887,784672,409954,374718
1991,Kolhapur,Born Abroad,2350,1230,1120,100,80,20,2250,1150,1100
1991,Kolhapur,Unclassifiable,100,50,50,20,10,10,80,40,40
1991,Chhatrapati Sambhaji Nagar,Born in India,2212899,1151203,1061696,1488476,766746,721730,724423,384457,339966
1991,Chhatrapati Sambhaji Nagar,Born Abroad,850,470,380,140,60,80,710,410,300
1991,Chhatrapati Sambhaji Nagar,Unclassifiable,30,20,10,20,10,10,10,10,0
1991,Jalna,Born in India,1364137,696658,667479,1133609,577270,556339,230528,119388,111140
1991,Jalna,Born Abroad,268,120,148,88,20,68,180,100,80
1991,Jalna,Unclassifiable,20,20,0,0,0,0,20,20,0
1991,Parbhani,Born in India,2116775,1083634,1033141,1640416,835966,804450,476359,247668,228691
1991,Parbhani,Born Abroad,230,150,80,0,0,0,230,150,80
1991,Parbhani,Unclassifiable,30,10,20,20,10,10,10,0,10
1991,Beed,Born in India,1821882,937320,884562,1495034,765809,729225,326848,171511,155337
1991,Beed,Born Abroad,150,70,80,70,40,30,80,30,50
1991,Beed,Unclassifiable,40,20,20,0,0,0,40,20,20
1991,Nanded,Born in India,2329514,1197576,1131938,1823724,933171,890553,505790,264405,241385
1991,Nanded,Born Abroad,320,150,170,40,30,10,280,120,160
1991,Nanded,Unclassifiable,540,150,390,470,110,360,70,40,30
1991,Dharashiv,Born in India,1276237,658836,617401,1082407,557044,525363,193830,101792,92038
1991,Dharashiv,Born Abroad,80,50,30,40,20,20,40,30,10
1991,Dharashiv,Unclassifiable,10,10,0,0,0,0,10,10,0
1991,Latur,Born in India,1676100,862912,813188,1334473,682916,651557,341627,179996,161631
1991,Latur,Born Abroad,511,281,230,300,150,150,211,131,80
1991,Latur,Unclassifiable,30,10,20,0,0,0,30,10,20
1991,Buldana,Born in India,1884239,965017,919222,1496964,764647,732317,387275,200370,186905
1991,Buldana,Born Abroad,2060,1000,1060,1000,460,540,1060,540,520
