Year,District,Rural/Urban,Location,Tap,Handpump,Tubewell,Well,All Others
2001,Satara,Urban,Within Premises,56131,615,1556,1050,130
2001,Satara,Urban,Near Premises,7584,1400,297,1174,402
2001,Satara,Urban,Away,1690,388,258,621,1189
2001,Ratnagiri,Total,Total,150453,8722,10129,157201,40100
2001,Ratnagiri,Total,Within Premises,81334,1918,3533,41686,522
2001,Ratnagiri,Total,Near Premises,62498,4981,4530,66377,17641
2001,Ratnagiri,Total,Away,6621,1823,2066,49138,21937
2001,Ratnagiri,Rural,Total,122467,8487,8829,149198,39549
2001,Ratnagiri,Rural,Within Premises,56401,1800,2387,35411,457
2001,Ratnagiri,Rural,Near Premises,60061,4872,4447,65130,17534
2001,Ratnagiri,Rural,Away,6005,1815,1995,48657,21558
2001,Ratnagiri,Urban,Total,27986,235,1300,8003,551
2001,Ratnagiri,Urban,Within Premises,24933,118,1146,6275,65
2001,Ratnagiri,Urban,Near Premises,2437,109,83,1247,107
2001,Ratnagiri,Urban,Away,616,8,71,481,379
2001,Sindhudurg,Total,Total,42523,3126,3530,130423,10676
2001,Sindhudurg,Total,Within Premises,31616,878,1294,49648,264
2001,Sindhudurg,Total,Near Premises,9609,1711,1360,55138,5685
2001,Sindhudurg,Total,Away,1298,537,876,25637,4727
2001,Sindhudurg,Rural,Total,36588,3091,3335,118520,10600
2001,Sindhudurg,Rural,Within Premises,26277,856,1147,41728,256
2001,Sindhudurg,Rural,Near Premises,9165,1701,1327,52365,5646
2001,Sindhudurg,Rural,Away,1146,534,861,24427,4698
2001,Sindhudurg,Urban,Total,5935,35,195,11903,76
2001,Sindhudurg,Urban,Within Premises,5339,22,147,7920,8
2001,Sindhudurg,Urban,Near Premises,444,10,33,2773,39
2001,Sindhudurg,Urban,Away,152,3,15,1210,29
2001,Kolhapur,Total,Total,530688,40197,38260,55830,25548
2001,Kolhapur,Total,Within Premises,414570,9483,14182,12781,2361
2001,Kolhapur,Total,Near Premises,101052,23390,16873,23883,13295
2001,Kolhapur,Total,Away,15066,7324,7205,19166,9892
2001,Kolhapur,Rural,Total,340917,34745,30816,52808,22621
