Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2011,Nanded,States in India beyond the state of enumeration,83216,18182,65034,44714,4959,39755,38502,13223,25279
2011,Hingoli,Within the state of enumeration,1172437,604312,568125,996668,513602,483066,175769,90710,85059
2011,Hingoli,States in India beyond the state of enumeration,4372,1727,2645,1517,622,895,2855,1105,1750
2011,Parbhani,Within the state of enumeration,1826147,938831,887316,1264144,651095,613049,562003,287736,274267
2011,Parbhani,States in India beyond the state of enumeration,8603,3383,5220,1395,438,957,7208,2945,4263
2011,Jalna,Within the state of enumeration,1946219,1005362,940857,1578554,815808,762746,367665,189554,178111
2011,Jalna,States in India beyond the state of enumeration,12146,5827,6319,2685,1342,1343,9461,4485,4976
2011,Chhatrapati Sambhaji Nagar,Within the state of enumeration,3632207,1888989,1743218,2072575,1077527,995048,1559632,811462,748170
2011,Chhatrapati Sambhaji Nagar,States in India beyond the state of enumeration,66674,34253,32421,7851,3976,3875,58823,30277,28546
2011,Nashik,Within the state of enumeration,5884117,3038331,2845786,3473291,1788206,1685085,2410826,1250125,1160701
2011,Nashik,States in India beyond the state of enumeration,216074,115188,100886,34524,15545,18979,181550,99643,81907
2011,Thane,Within the state of enumeration,8488311,4362993,4125318,2393727,1208593,1185134,6094584,3154400,2940184
2011,Thane,States in India beyond the state of enumeration,2523605,1476245,1047360,148663,90008,58655,2374942,1386237,988705
2011,Mumbai Suburban,Within the state of enumeration,6619681,3439613,3180068,0,0,0,6619681,3439613,3180068
2011,Mumbai Suburban,States in India beyond the state of enumeration,2665572,1552829,1112743,0,0,0,2665572,1552829,1112743
2011,Mumbai,Within the state of enumeration,2287520,1198635,1088885,0,0,0,2287520,1198635,1088885
2011,Mumbai,States in India beyond the state of enumeration,776423,474586,301837,0,0,0,776423,474586,301837
2011,Raigad,Within the state of enumeration,2389972,1203177,1186795,1603969,799009,804960,786003,404168,381835
2011,Raigad,States in India beyond the state of enumeration,238615,138225,100390,57830,36882,20948,180785,101343,79442
2011,Pune,Within the state of enumeration,8445104,4368014,4077090,3557518,1832029,1725489,4887586,2535985,2351601
2011,Pune,States in India beyond the state of enumeration,947990,537092,410898,115554,68961,46593,832436,468131,364305
2011,Ahilyanagar,Within the state of enumeration,4485762,2314760,2171002,3606854,1861208,1745646,878908,453552,425356
2011,Ahilyanagar,States in India beyond the state of enumeration,47177,24083,23094,16750,9074,7676,30427,15009,15418
2011,Beed,Within the state of enumeration,2575667,1345033,1230634,2067420,1081570,985850,508247,263463,244784
2011,Beed,States in India beyond the state of enumeration,8564,3781,4783,2827,1256,1571,5737,2525,3212
2011,Latur,Within the state of enumeration,2387747,1256626,1131121,1790821,944167,846654,596926,312459,284467
2011,Latur,States in India beyond the state of enumeration,65318,15948,49370,37759,5229,32530,27559,10719,16840
2011,Dharashiv,Within the state of enumeration,1629970,854240,775730,1357671,712110,645561,272299,142130,130169
2011,Dharashiv,States in India beyond the state of enumeration,25683,6276,19407,17283,3289,13994,8400,2987,5413
2011,Solapur,Within the state of enumeration,4165946,2174181,1991765,2852559,1497968,1354591,1313387,676213,637174
2011,Solapur,States in India beyond the state of enumeration,148724,52282,96442,64200,19580,44620,84524,32702,51822
2011,Satara,Within the state of enumeration,2937231,1476122,1461109,2398813,1201373,1197440,538418,274749,263669
2011,Satara,States in India beyond the state of enumeration,64291,33618,30673,33046,17649,15397,31245,15969,15276
2011,Ratnagiri,Within the state of enumeration,1572165,737030,835135,1326256,615633,710623,245909,121397,124512
2011,Ratnagiri,States in India beyond the state of enumeration,41057,22954,18103,23673,13668,10005,17384,9286,8098
2011,Sindhudurg,Within the state of enumeration,799812,394673,405139,705313,346823,358490,94499,47850,46649
2011,Sindhudurg,States in India beyond the state of enumeration,47439,21344,26095,35344,15353,19991,12095,5991,6104
2011,Kolhapur,Within the state of enumeration,3512353,1826678,1685675,2452645,1274738,1177907,1059708,551940,507768
2011,Kolhapur,States in India beyond the state of enumeration,360101,152200,207901,191732,73234,118498,168369,78966,89403
2011,Sangli,Within the state of enumeration,2633856,1360403,1273453,1992395,1029696,962699,641461,330707,310754
2011,Sangli,States in India beyond the state of enumeration,184464,73380,111084,107746,40059,67687,76718,33321,43397
