Year,District,Rural/Urban,Age Group,Population,Male,Female
1991,Buldhana,Urban,45-49,16216.0,8516.0,7700.0
1991,Buldhana,Urban,50-54,13264.0,7140.0,6124.0
1991,Buldhana,Urban,55-59,10470.0,5350.0,5120.0
1991,Buldhana,Urban,60-64,9940.0,4910.0,5030.0
1991,Buldhana,Urban,65-69,6510.0,3070.0,3440.0
1991,Buldhana,Urban,70-74,4750.0,2270.0,2480.0
1991,Buldhana,Urban,75-79,2080.0,1120.0,960.0
1991,Buldhana,Urban,80+,2800.0,1210.0,1590.0
1991,Chandrapur,Rural,0-4,150950.0,76730.0,74220.0
1991,Chandrapur,Rural,5-9,148570.0,74050.0,74520.0
1991,Chandrapur,Rural,10-14,151014.0,79410.0,71604.0
1991,Chandrapur,Rural,15-19,117109.0,60595.0,56514.0
1991,Chandrapur,Rural,20-24,109580.0,55690.0,53890.0
1991,Chandrapur,Rural,25-29,104565.0,50759.0,53806.0
1991,Chandrapur,Rural,30-34,89118.0,45380.0,43738.0
1991,Chandrapur,Rural,35-39,80225.0,41455.0,38770.0
1991,Chandrapur,Rural,40-44,65770.0,33830.0,31940.0
1991,Chandrapur,Rural,45-49,61624.0,30910.0,30714.0
1991,Chandrapur,Rural,50-54,53660.0,27380.0,26280.0
1991,Chandrapur,Rural,55-59,40340.0,21140.0,19200.0
1991,Chandrapur,Rural,60-64,39961.0,19951.0,20010.0
1991,Chandrapur,Rural,65-69,23434.0,11504.0,11930.0
1991,Chandrapur,Rural,70-74,18691.0,9160.0,9531.0
1991,Chandrapur,Rural,75-79,6690.0,3360.0,3330.0
1991,Chandrapur,Rural,80+,9770.0,4610.0,5160.0
1991,Chandrapur,Urban,0-4,56780.0,29680.0,27100.0
1991,Chandrapur,Urban,5-9,60150.0,30900.0,29250.0
1991,Chandrapur,Urban,10-14,58506.0,29308.0,29198.0
1991,Chandrapur,Urban,15-19,51865.0,27524.0,24341.0
1991,Chandrapur,Urban,20-24,52059.0,26553.0,25506.0
1991,Chandrapur,Urban,25-29,47240.0,24096.0,23144.0
1991,Chandrapur,Urban,30-34,38472.0,21224.0,17248.0
1991,Chandrapur,Urban,35-39,34373.0,18915.0,15458.0
1991,Chandrapur,Urban,40-44,26213.0,14777.0,11436.0
1991,Chandrapur,Urban,45-49,21113.0,12100.0,9013.0
1991,Chandrapur,Urban,50-54,14827.0,8567.0,6260.0
1991,Chandrapur,Urban,55-59,10010.0,5530.0,4480.0
1991,Chandrapur,Urban,60-64,9099.0,4279.0,4820.0
1991,Chandrapur,Urban,65-69,5260.0,2510.0,2750.0
1991,Chandrapur,Urban,70-74,4000.0,2030.0,1970.0
1991,Chandrapur,Urban,75-79,1960.0,980.0,980.0
1991,Chandrapur,Urban,80+,2576.0,1260.0,1316.0
1991,Chh. Sambhaji Nagar,Rural,0-4,212540.0,107840.0,104700.0
1991,Chh. Sambhaji Nagar,Rural,5-9,170115.0,89535.0,80580.0
1991,Chh. Sambhaji Nagar,Rural,10-14,221458.0,115270.0,106188.0
1991,Chh. Sambhaji Nagar,Rural,15-19,115675.0,69035.0,46640.0
1991,Chh. Sambhaji Nagar,Rural,20-24,113266.0,56136.0,57130.0
1991,Chh. Sambhaji Nagar,Rural,25-29,109690.0,54430.0,55260.0
1991,Chh. Sambhaji Nagar,Rural,30-34,96970.0,48380.0,48590.0
1991,Chh. Sambhaji Nagar,Rural,35-39,90754.0,47594.0,43160.0
1991,Chh. Sambhaji Nagar,Rural,40-44,72576.0,35380.0,37196.0
1991,Chh. Sambhaji Nagar,Rural,45-49,68770.0,34650.0,34120.0
1991,Chh. Sambhaji Nagar,Rural,50-54,57180.0,29340.0,27840.0
1991,Chh. Sambhaji Nagar,Rural,55-59,42486.0,21970.0,20516.0
1991,Chh. Sambhaji Nagar,Rural,60-64,43467.0,21377.0,22090.0
1991,Chh. Sambhaji Nagar,Rural,65-69,28109.0,13969.0,14140.0
1991,Chh. Sambhaji Nagar,Rural,70-74,20660.0,9630.0,11030.0
1991,Chh. Sambhaji Nagar,Rural,75-79,9040.0,4440.0,4600.0
1991,Chh. Sambhaji Nagar,Rural,80+,11910.0,5470.0,6440.0
1991,Chh. Sambhaji Nagar,Urban,0-4,97750.0,50280.0,47470.0
1991,Chh. Sambhaji Nagar,Urban,5-9,81550.0,43416.0,38134.0
1991,Chh. Sambhaji Nagar,Urban,10-14,99763.0,52496.0,47267.0
1991,Chh. Sambhaji Nagar,Urban,15-19,70345.0,38745.0,31600.0
1991,Chh. Sambhaji Nagar,Urban,20-24,78653.0,42413.0,36240.0
1991,Chh. Sambhaji Nagar,Urban,25-29,67912.0,34760.0,33152.0
1991,Chh. Sambhaji Nagar,Urban,30-34,53172.0,28602.0,24570.0
1991,Chh. Sambhaji Nagar,Urban,35-39,45621.0,25753.0,19868.0
1991,Chh. Sambhaji Nagar,Urban,40-44,33593.0,18935.0,14658.0
1991,Chh. Sambhaji Nagar,Urban,45-49,26725.0,14855.0,11870.0
1991,Chh. Sambhaji Nagar,Urban,50-54,20126.0,10342.0,9784.0
1991,Chh. Sambhaji Nagar,Urban,55-59,13674.0,6810.0,6864.0
1991,Chh. Sambhaji Nagar,Urban,60-64,13709.0,6430.0,7279.0
1991,Chh. Sambhaji Nagar,Urban,65-69,7720.0,3620.0,4100.0
1991,Chh. Sambhaji Nagar,Urban,70-74,6030.0,2910.0,3120.0
1991,Chh. Sambhaji Nagar,Urban,75-79,2470.0,1170.0,1300.0
1991,Chh. Sambhaji Nagar,Urban,80+,3830.0,1870.0,1960.0
1991,Dharashiv,Rural,0-4,143780.0,75020.0,68760.0
1991,Dharashiv,Rural,5-9,119410.0,62186.0,57224.0
1991,Dharashiv,Rural,10-14,147147.0,75614.0,71533.0
1991,Dharashiv,Rural,15-19,90152.0,49975.0,40177.0
1991,Dharashiv,Rural,20-24,86631.0,43411.0,43220.0
1991,Dharashiv,Rural,25-29,79383.0,39173.0,40210.0
1991,Dharashiv,Rural,30-34,69134.0,34230.0,34904.0
1991,Dharashiv,Rural,35-39,65590.0,33290.0,32300.0
1991,Dharashiv,Rural,40-44,57103.0,28630.0,28473.0
1991,Dharashiv,Rural,45-49,50500.0,25700.0,24800.0
1991,Dharashiv,Rural,50-54,44330.0,23030.0,21300.0
1991,Dharashiv,Rural,55-59,32690.0,17070.0,15620.0
1991,Dharashiv,Rural,60-64,35722.0,17950.0,17772.0
1991,Dharashiv,Rural,65-69,21343.0,11093.0,10250.0
1991,Dharashiv,Rural,70-74,17722.0,8932.0,8790.0
1991,Dharashiv,Rural,75-79,6830.0,3650.0,3180.0
1991,Dharashiv,Rural,80+,11840.0,6270.0,5570.0
1991,Dharashiv,Urban,0-4,25840.0,13270.0,12570.0
1991,Dharashiv,Urban,5-9,23770.0,12460.0,11310.0
1991,Dharashiv,Urban,10-14,25859.0,13237.0,12622.0
1991,Dharashiv,Urban,15-19,20640.0,11920.0,8720.0
1991,Dharashiv,Urban,20-24,17506.0,9362.0,8144.0
1991,Dharashiv,Urban,25-29,14903.0,7250.0,7653.0
1991,Dharashiv,Urban,30-34,12568.0,6700.0,5868.0
1991,Dharashiv,Urban,35-39,11848.0,5932.0,5916.0
1991,Dharashiv,Urban,40-44,9980.0,5520.0,4460.0
1991,Dharashiv,Urban,45-49,7700.0,4170.0,3530.0
1991,Dharashiv,Urban,50-54,6437.0,3497.0,2940.0
1991,Dharashiv,Urban,55-59,3945.0,1920.0,2025.0
1991,Dharashiv,Urban,60-64,4510.0,2180.0,2330.0
1991,Dharashiv,Urban,65-69,2630.0,1400.0,1230.0
1991,Dharashiv,Urban,70-74,2160.0,1160.0,1000.0
1991,Dharashiv,Urban,75-79,1004.0,494.0,510.0
1991,Dharashiv,Urban,80+,1600.0,800.0,800.0
1991,Dhule,Rural,0-4,256380.0,130110.0,126270.0
1991,Dhule,Rural,5-9,243043.0,126960.0,116083.0
1991,Dhule,Rural,10-14,278085.0,142306.0,135779.0
1991,Dhule,Rural,15-19,174870.0,93760.0,81110.0
